year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps_kp05
2011,NUTS,2010,AT,0,34.017
2012,NUTS,2010,AT,0,33.243
2013,NUTS,2010,AT,0,32.4
2014,NUTS,2010,AT,0,38.357
2015,NUTS,2010,AT,0,39.562
2016,NUTS,2010,AT,0,41.237
2017,NUTS,2010,AT,0,46.108
2018,NUTS,2010,AT,0,47.786
2019,NUTS,2010,AT,0,48.792
2020,NUTS,2010,AT,0,47.63
2011,NUTS,2010,AT1,1,31.397
2013,NUTS,2010,AT1,1,30.4
2015,NUTS,2010,AT1,1,36.77
2017,NUTS,2010,AT1,1,42.953
2019,NUTS,2010,AT1,1,44.926
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,14.105
2013,NUTS,2010,AT12,2,13.963
2015,NUTS,2010,AT12,2,16.202
2017,NUTS,2010,AT12,2,18.91
2011,NUTS,2010,AT13,2,17.292
2013,NUTS,2010,AT13,2,16.436
2015,NUTS,2010,AT13,2,20.569
2017,NUTS,2010,AT13,2,24.043
2019,NUTS,2010,AT13,2,26.031
2019,NUTS,2010,AT2,1,0.566
2011,NUTS,2010,AT21,2,0.395
2019,NUTS,2010,AT3,1,3.301
2011,NUTS,2010,AT31,2,0.957
2013,NUTS,2010,AT31,2,0.943
2015,NUTS,2010,AT31,2,0.569
2017,NUTS,2010,AT31,2,0.67
2019,NUTS,2010,AT31,2,1.042
2015,NUTS,2010,AT32,2,1.523
2017,NUTS,2010,AT32,2,2.022
2019,NUTS,2010,AT32,2,1.862
2011,NUTS,2010,AT33,2,0.152
2013,NUTS,2010,AT33,2,0.139
2019,NUTS,2010,AT33,2,0.398
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.149
2013,NUTS,2010,BA,0,0.093
2014,NUTS,2010,BA,0,0.88
2019,NUTS,2010,BA,0,0.026
2011,NUTS,2010,BE,0,61.0
2012,NUTS,2010,BE,0,28.628
2013,NUTS,2010,BE,0,27.422
2014,NUTS,2010,BE,0,34.739
2015,NUTS,2010,BE,0,43.611
2016,NUTS,2010,BE,0,50.818
2017,NUTS,2010,BE,0,50.169
2018,NUTS,2010,BE,0,70.986
2019,NUTS,2010,BE,0,83.089
2020,NUTS,2010,BE,0,90.876
2011,NUTS,2010,BE1,1,23.404
2012,NUTS,2010,BE1,1,16.723
