year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_eur_hab
2011,NUTS,2010,AT,0,988.2
2012,NUTS,2010,AT,0,1104.6
2013,NUTS,2010,AT,0,1132.4
2014,NUTS,2010,AT,0,1207.7
2015,NUTS,2010,AT,0,1223.0
2016,NUTS,2010,AT,0,1281.0
2017,NUTS,2010,AT,0,1286.9
2018,NUTS,2010,AT,0,1350.2
2019,NUTS,2010,AT,0,1404.4
2020,NUTS,2010,AT,0,1364.2
2011,NUTS,2010,AT1,1,1010.3
2013,NUTS,2010,AT1,1,1046.4
2015,NUTS,2010,AT1,1,1123.2
2017,NUTS,2010,AT1,1,1167.2
2019,NUTS,2010,AT1,1,1258.8
2011,NUTS,2010,AT11,2,199.8
2013,NUTS,2010,AT11,2,234.9
2015,NUTS,2010,AT11,2,276.5
2017,NUTS,2010,AT11,2,254.8
2019,NUTS,2010,AT11,2,273.2
2011,NUTS,2010,AT12,2,438.9
2013,NUTS,2010,AT12,2,500.3
2015,NUTS,2010,AT12,2,571.5
2017,NUTS,2010,AT12,2,628.8
2019,NUTS,2010,AT12,2,675.2
2011,NUTS,2010,AT13,2,1685.8
2013,NUTS,2010,AT13,2,1687.7
2015,NUTS,2010,AT13,2,1761.4
2017,NUTS,2010,AT13,2,1790.1
2019,NUTS,2010,AT13,2,1927.1
2011,NUTS,2010,AT2,1,1206.3
2013,NUTS,2010,AT2,1,1420.4
2015,NUTS,2010,AT2,1,1585.2
2017,NUTS,2010,AT2,1,1615.1
2019,NUTS,2010,AT2,1,1834.3
2011,NUTS,2010,AT21,2,862.4
2013,NUTS,2010,AT21,2,912.3
2015,NUTS,2010,AT21,2,1049.6
2017,NUTS,2010,AT21,2,1041.2
2019,NUTS,2010,AT21,2,1232.4
2011,NUTS,2010,AT22,2,1364.9
2013,NUTS,2010,AT22,2,1653.5
2015,NUTS,2010,AT22,2,1829.7
2017,NUTS,2010,AT22,2,1875.3
2019,NUTS,2010,AT22,2,2106.0
2011,NUTS,2010,AT3,1,834.3
2013,NUTS,2010,AT3,1,1068.3
2015,NUTS,2010,AT3,1,1134.5
2017,NUTS,2010,AT3,1,1244.9
2019,NUTS,2010,AT3,1,1337.8
2011,NUTS,2010,AT31,2,918.9
2013,NUTS,2010,AT31,2,1225.1
2015,NUTS,2010,AT31,2,1284.6
2017,NUTS,2010,AT31,2,1495.6
2019,NUTS,2010,AT31,2,1610.6
2011,NUTS,2010,AT32,2,544.9
2013,NUTS,2010,AT32,2,671.1
2015,NUTS,2010,AT32,2,714.2
2017,NUTS,2010,AT32,2,806.6
2019,NUTS,2010,AT32,2,911.6
2011,NUTS,2010,AT33,2,1030.1
2013,NUTS,2010,AT33,2,1263.2
2015,NUTS,2010,AT33,2,1324.4
2017,NUTS,2010,AT33,2,1297.6
2019,NUTS,2010,AT33,2,1357.1
2011,NUTS,2010,AT34,2,549.2
2013,NUTS,2010,AT34,2,663.4
2015,NUTS,2010,AT34,2,796.5
2017,NUTS,2010,AT34,2,817.7
2019,NUTS,2010,AT34,2,875.6
2012,NUTS,2010,BA,0,9.3
2011,NUTS,2010,BE,0,742.8
2012,NUTS,2010,BE,0,795.3
2013,NUTS,2010,BE,0,822.1
2014,NUTS,2010,BE,0,854.3
2015,NUTS,2010,BE,0,900.4
2016,NUTS,2010,BE,0,959.5
2017,NUTS,2010,BE,0,1045.5
2018,NUTS,2010,BE,0,1154.4
2019,NUTS,2010,BE,0,1319.0
2020,NUTS,2010,BE,0,1378.8
2011,NUTS,2010,BE1,1,841.8
2012,NUTS,2010,BE1,1,891.7
2013,NUTS,2010,BE1,1,935.0
2014,NUTS,2010,BE1,1,1053.3
2015,NUTS,2010,BE1,1,1130.2
2016,NUTS,2010,BE1,1,1269.5
2017,NUTS,2010,BE1,1,1402.3
2018,NUTS,2010,BE1,1,1572.6
2019,NUTS,2010,BE1,1,1674.5
2011,NUTS,2010,BE10,2,841.8
2012,NUTS,2010,BE10,2,891.7
2013,NUTS,2010,BE10,2,935.0
2014,NUTS,2010,BE10,2,1053.3
2015,NUTS,2010,BE10,2,1130.2
2016,NUTS,2010,BE10,2,1269.5
2017,NUTS,2010,BE10,2,1402.3
2018,NUTS,2010,BE10,2,1572.6
2019,NUTS,2010,BE10,2,1674.5
2011,NUTS,2010,BE2,1,796.4
2012,NUTS,2010,BE2,1,876.6
2013,NUTS,2010,BE2,1,905.6
2014,NUTS,2010,BE2,1,941.1
2015,NUTS,2010,BE2,1,996.9
2016,NUTS,2010,BE2,1,1059.8
2017,NUTS,2010,BE2,1,1145.6
2018,NUTS,2010,BE2,1,1205.3
2019,NUTS,2010,BE2,1,1417.5
2011,NUTS,2010,BE21,2,1065.3
2012,NUTS,2010,BE21,2,1089.8
2013,NUTS,2010,BE21,2,1110.5
2014,NUTS,2010,BE21,2,1269.0
2015,NUTS,2010,BE21,2,1363.2
2016,NUTS,2010,BE21,2,1459.3
2017,NUTS,2010,BE21,2,1596.0
2011,NUTS,2010,BE22,2,326.7
2012,NUTS,2010,BE22,2,346.4
2013,NUTS,2010,BE22,2,372.2
2014,NUTS,2010,BE22,2,392.2
2015,NUTS,2010,BE22,2,408.1
2016,NUTS,2010,BE22,2,460.6
2017,NUTS,2010,BE22,2,507.4
2011,NUTS,2010,BE23,2,703.0
2012,NUTS,2010,BE23,2,812.1
2013,NUTS,2010,BE23,2,863.4
2014,NUTS,2010,BE23,2,815.6
2015,NUTS,2010,BE23,2,846.5
2016,NUTS,2010,BE23,2,955.3
2017,NUTS,2010,BE23,2,978.9
2011,NUTS,2010,BE24,2,1334.3
2012,NUTS,2010,BE24,2,1475.5
2013,NUTS,2010,BE24,2,1510.0
2014,NUTS,2010,BE24,2,1606.3
2015,NUTS,2010,BE24,2,1687.4
2016,NUTS,2010,BE24,2,1660.2
2017,NUTS,2010,BE24,2,1795.3
2011,NUTS,2010,BE25,2,343.3
2012,NUTS,2010,BE25,2,456.7
2013,NUTS,2010,BE25,2,465.7
2014,NUTS,2010,BE25,2,368.5
2015,NUTS,2010,BE25,2,399.5
2016,NUTS,2010,BE25,2,443.6
2017,NUTS,2010,BE25,2,508.0
2011,NUTS,2010,BE3,1,615.0
2012,NUTS,2010,BE3,1,619.0
2013,NUTS,2010,BE3,1,636.1
2014,NUTS,2010,BE3,1,633.7
2015,NUTS,2010,BE3,1,651.9
2016,NUTS,2010,BE3,1,676.5
2017,NUTS,2010,BE3,1,747.3
2018,NUTS,2010,BE3,1,923.6
2019,NUTS,2010,BE3,1,1022.1
2011,NUTS,2010,BE31,2,2962.3
2012,NUTS,2010,BE31,2,3309.0
2013,NUTS,2010,BE31,2,3345.9
2014,NUTS,2010,BE31,2,2682.3
2015,NUTS,2010,BE31,2,2613.8
2016,NUTS,2010,BE31,2,3223.0
2017,NUTS,2010,BE31,2,3513.6
2011,NUTS,2010,BE32,2,339.9
2012,NUTS,2010,BE32,2,301.0
2013,NUTS,2010,BE32,2,315.5
2014,NUTS,2010,BE32,2,375.5
2015,NUTS,2010,BE32,2,380.2
2016,NUTS,2010,BE32,2,304.5
2017,NUTS,2010,BE32,2,356.2
2011,NUTS,2010,BE33,2,395.8
2012,NUTS,2010,BE33,2,382.0
2013,NUTS,2010,BE33,2,406.9
2014,NUTS,2010,BE33,2,480.9
2015,NUTS,2010,BE33,2,546.5
2016,NUTS,2010,BE33,2,560.4
2017,NUTS,2010,BE33,2,610.6
2011,NUTS,2010,BE34,2,86.9
2012,NUTS,2010,BE34,2,59.2
2013,NUTS,2010,BE34,2,52.1
2014,NUTS,2010,BE34,2,163.0
2015,NUTS,2010,BE34,2,187.8
2016,NUTS,2010,BE34,2,63.9
2017,NUTS,2010,BE34,2,67.4
2011,NUTS,2010,BE35,2,290.0
2012,NUTS,2010,BE35,2,191.1
2013,NUTS,2010,BE35,2,192.0
2014,NUTS,2010,BE35,2,306.1
2015,NUTS,2010,BE35,2,315.7
2016,NUTS,2010,BE35,2,245.4
2017,NUTS,2010,BE35,2,269.2
2011,NUTS,2010,BG,0,29.8
2012,NUTS,2010,BG,0,34.6
2013,NUTS,2010,BG,0,36.6
2014,NUTS,2010,BG,0,46.9
2015,NUTS,2010,BG,0,60.4
2016,NUTS,2010,BG,0,52.5
2017,NUTS,2010,BG,0,54.7
2018,NUTS,2010,BG,0,60.1
2019,NUTS,2010,BG,0,73.2
2020,NUTS,2010,BG,0,75.3
2011,NUTS,2010,BG3,1,6.3
2012,NUTS,2010,BG3,1,7.1
2013,NUTS,2010,BG3,1,9.2
2014,NUTS,2010,BG3,1,11.7
2015,NUTS,2010,BG3,1,20.1
2016,NUTS,2010,BG3,1,20.7
2017,NUTS,2010,BG3,1,21.9
2018,NUTS,2010,BG3,1,22.6
2019,NUTS,2010,BG3,1,25.5
2011,NUTS,2010,BG31,2,4.3
2012,NUTS,2010,BG31,2,5.6
2013,NUTS,2010,BG31,2,6.6
2014,NUTS,2010,BG31,2,7.5
2015,NUTS,2010,BG31,2,21.3
2016,NUTS,2010,BG31,2,19.4
2017,NUTS,2010,BG31,2,20.8
2018,NUTS,2010,BG31,2,25.3
2019,NUTS,2010,BG31,2,22.1
2011,NUTS,2010,BG32,2,4.7
2012,NUTS,2010,BG32,2,4.5
2013,NUTS,2010,BG32,2,5.9
2014,NUTS,2010,BG32,2,6.5
2015,NUTS,2010,BG32,2,23.1
2016,NUTS,2010,BG32,2,19.2
2017,NUTS,2010,BG32,2,19.2
2018,NUTS,2010,BG32,2,17.1
2019,NUTS,2010,BG32,2,19.9
2011,NUTS,2010,BG33,2,9.4
2012,NUTS,2010,BG33,2,10.6
2013,NUTS,2010,BG33,2,15.9
2014,NUTS,2010,BG33,2,18.1
2015,NUTS,2010,BG33,2,19.1
2016,NUTS,2010,BG33,2,27.9
2017,NUTS,2010,BG33,2,28.1
2018,NUTS,2010,BG33,2,27.2
2019,NUTS,2010,BG33,2,35.1
2011,NUTS,2010,BG34,2,6.5
2012,NUTS,2010,BG34,2,7.4
2013,NUTS,2010,BG34,2,7.9
2014,NUTS,2010,BG34,2,13.2
2015,NUTS,2010,BG34,2,17.6
2016,NUTS,2010,BG34,2,16.5
2017,NUTS,2010,BG34,2,19.1
2018,NUTS,2010,BG34,2,20.7
2019,NUTS,2010,BG34,2,23.7
2011,NUTS,2010,BG4,1,54.2
2012,NUTS,2010,BG4,1,63.0
2013,NUTS,2010,BG4,1,64.8
2014,NUTS,2010,BG4,1,83.0
2015,NUTS,2010,BG4,1,101.4
2016,NUTS,2010,BG4,1,84.6
2017,NUTS,2010,BG4,1,87.8
2018,NUTS,2010,BG4,1,97.6
2019,NUTS,2010,BG4,1,120.5
2011,NUTS,2010,BG41,2,86.4
2012,NUTS,2010,BG41,2,100.0
2013,NUTS,2010,BG41,2,103.4
2014,NUTS,2010,BG41,2,132.4
2015,NUTS,2010,BG41,2,154.7
2016,NUTS,2010,BG41,2,126.0
2017,NUTS,2010,BG41,2,130.2
2018,NUTS,2010,BG41,2,146.4
2019,NUTS,2010,BG41,2,179.0
2011,NUTS,2010,BG42,2,7.8
2012,NUTS,2010,BG42,2,9.5
2013,NUTS,2010,BG42,2,8.6
2014,NUTS,2010,BG42,2,10.6
2015,NUTS,2010,BG42,2,23.0
2016,NUTS,2010,BG42,2,23.4
2017,NUTS,2010,BG42,2,24.9
2018,NUTS,2010,BG42,2,24.9
2019,NUTS,2010,BG42,2,33.3
2012,NUTS,2010,CH,0,1929.8
2015,NUTS,2010,CH,0,2337.5
2017,NUTS,2010,CH,0,2248.7
2019,NUTS,2010,CH,0,2407.6
2012,NUTS,2010,CH0,1,1929.8
2015,NUTS,2010,CH0,1,2337.5
2017,NUTS,2010,CH0,1,2248.7
2019,NUTS,2010,CH0,1,2407.6
2011,NUTS,2010,CY,0,107.0
2012,NUTS,2010,CY,0,99.0
2013,NUTS,2010,CY,0,101.0
2014,NUTS,2010,CY,0,104.3
2015,NUTS,2010,CY,0,100.7
2016,NUTS,2010,CY,0,116.5
2017,NUTS,2010,CY,0,128.9
2018,NUTS,2010,CY,0,154.0
2019,NUTS,2010,CY,0,187.7
2020,NUTS,2010,CY,0,199.5
2011,NUTS,2010,CY0,1,107.0
2012,NUTS,2010,CY0,1,99.0
2013,NUTS,2010,CY0,1,101.0
2014,NUTS,2010,CY0,1,104.3
2015,NUTS,2010,CY0,1,100.7
2016,NUTS,2010,CY0,1,116.5
2017,NUTS,2010,CY0,1,128.9
2018,NUTS,2010,CY0,1,154.0
2019,NUTS,2010,CY0,1,187.7
2020,NUTS,2010,CY0,1,199.5
2011,NUTS,2010,CY00,2,107.0
2012,NUTS,2010,CY00,2,99.0
2013,NUTS,2010,CY00,2,101.0
2014,NUTS,2010,CY00,2,104.3
2015,NUTS,2010,CY00,2,100.7
2016,NUTS,2010,CY00,2,116.5
2017,NUTS,2010,CY00,2,128.9
2018,NUTS,2010,CY00,2,154.0
2019,NUTS,2010,CY00,2,187.7
2020,NUTS,2010,CY00,2,199.5
2011,NUTS,2010,CZ,0,243.4
2012,NUTS,2010,CZ,0,273.9
2013,NUTS,2010,CZ,0,285.0
2014,NUTS,2010,CZ,0,294.0
2015,NUTS,2010,CZ,0,308.4
2016,NUTS,2010,CZ,0,280.8
2017,NUTS,2010,CZ,0,324.5
2018,NUTS,2010,CZ,0,377.6
2019,NUTS,2010,CZ,0,408.3
2020,NUTS,2010,CZ,0,400.8
2011,NUTS,2010,CZ0,1,243.4
2012,NUTS,2010,CZ0,1,273.9
2013,NUTS,2010,CZ0,1,285.0
2014,NUTS,2010,CZ0,1,294.0
2015,NUTS,2010,CZ0,1,308.4
2016,NUTS,2010,CZ0,1,280.8
2017,NUTS,2010,CZ0,1,324.5
2018,NUTS,2010,CZ0,1,377.6
2019,NUTS,2010,CZ0,1,408.3
2020,NUTS,2010,CZ0,1,400.8
2011,NUTS,2010,CZ01,2,756.0
2012,NUTS,2010,CZ01,2,790.6
2013,NUTS,2010,CZ01,2,807.8
2014,NUTS,2010,CZ01,2,860.1
2015,NUTS,2010,CZ01,2,960.8
2016,NUTS,2010,CZ01,2,806.4
2017,NUTS,2010,CZ01,2,950.3
2018,NUTS,2010,CZ01,2,1110.5
2019,NUTS,2010,CZ01,2,1194.2
2020,NUTS,2010,CZ01,2,1240.5
2011,NUTS,2010,CZ02,2,204.1
2012,NUTS,2010,CZ02,2,207.5
2013,NUTS,2010,CZ02,2,289.6
2014,NUTS,2010,CZ02,2,275.5
2015,NUTS,2010,CZ02,2,278.4
2016,NUTS,2010,CZ02,2,311.5
2017,NUTS,2010,CZ02,2,407.3
2018,NUTS,2010,CZ02,2,471.0
2019,NUTS,2010,CZ02,2,476.8
