year,nuts_id,nuts_year_spec,rd_government_eur_hab
2015,AT11,2016,
2017,AT11,2016,
2015,AT12,2016,47.5
2017,AT12,2016,62.6
2015,AT13,2016,133.0
2017,AT13,2016,250.4
2015,AT21,2016,
2017,AT21,2016,
2015,AT22,2016,
2017,AT22,2016,
2015,AT31,2016,14.9
2017,AT31,2016,25.9
2015,AT32,2016,52.8
2017,AT32,2016,48.2
2015,AT33,2016,
2017,AT33,2016,
2015,AT34,2016,34.0
2017,AT34,2016,32.7
2014,BE10,2016,117.0
2015,BE10,2016,129.1
2016,BE10,2016,129.8
2017,BE10,2016,133.1
2014,BE21,2016,
2015,BE21,2016,
2016,BE21,2016,
2017,BE21,2016,
2014,BE22,2016,
2015,BE22,2016,
2016,BE22,2016,
2017,BE22,2016,
2014,BE23,2016,
2015,BE23,2016,
2016,BE23,2016,
2017,BE23,2016,
2014,BE24,2016,
2015,BE24,2016,
2016,BE24,2016,
2017,BE24,2016,
2014,BE25,2016,
2015,BE25,2016,
2016,BE25,2016,
2017,BE25,2016,
2014,BE31,2016,
2015,BE31,2016,
2016,BE31,2016,
2017,BE31,2016,
2014,BE32,2016,
2015,BE32,2016,
2016,BE32,2016,
2017,BE32,2016,
2014,BE33,2016,
2015,BE33,2016,
2016,BE33,2016,
2017,BE33,2016,
2014,BE34,2016,
2015,BE34,2016,
2016,BE34,2016,
2017,BE34,2016,
2014,BE35,2016,
2015,BE35,2016,
2016,BE35,2016,
2017,BE35,2016,
2014,BG31,2016,
2015,BG31,2016,3.6
2016,BG31,2016,3.5
2017,BG31,2016,
2018,BG31,2016,4.7
2014,BG32,2016,0.6
2015,BG32,2016,0.2
2016,BG32,2016,0.2
2017,BG32,2016,0.2
2018,BG32,2016,0.2
2014,BG33,2016,
2015,BG33,2016,5.8
2016,BG33,2016,7.4
2017,BG33,2016,6.9
2018,BG33,2016,7.5
2014,BG34,2016,2.0
2015,BG34,2016,2.0
2016,BG34,2016,2.1
2017,BG34,2016,
2018,BG34,2016,2.1
2014,BG41,2016,33.3
2015,BG41,2016,35.5
2016,BG41,2016,30.3
2017,BG41,2016,35.0
2018,BG41,2016,36.0
2014,BG42,2016,2.1
2015,BG42,2016,2.6
2016,BG42,2016,2.3
2017,BG42,2016,2.8
2018,BG42,2016,3.4
2014,CY00,2016,14.4
2015,CY00,2016,13.1
2016,CY00,2016,12.3
2017,CY00,2016,12.9
2018,CY00,2016,12.9
2014,CZ01,2016,365.1
2015,CZ01,2016,416.3
2016,CZ01,2016,282.9
2017,CZ01,2016,291.6
2018,CZ01,2016,317.8
2014,CZ02,2016,31.2
2015,CZ02,2016,34.6
2016,CZ02,2016,64.7
2017,CZ02,2016,81.8
2018,CZ02,2016,91.4
2014,CZ03,2016,15.3
2015,CZ03,2016,18.2
2016,CZ03,2016,16.7
2017,CZ03,2016,21.8
2018,CZ03,2016,23.7
2014,CZ04,2016,0.9
2015,CZ04,2016,0.9
2016,CZ04,2016,0.9
2017,CZ04,2016,1.3
2018,CZ04,2016,1.5
2014,CZ05,2016,3.3
2015,CZ05,2016,3.6
2016,CZ05,2016,3.5
2017,CZ05,2016,3.3
2018,CZ05,2016,3.7
2014,CZ06,2016,37.4
2015,CZ06,2016,35.6
2016,CZ06,2016,37.0
2017,CZ06,2016,40.6
2018,CZ06,2016,45.0
2014,CZ07,2016,0.9
2015,CZ07,2016,0.9
2016,CZ07,2016,1.4
2017,CZ07,2016,2.8
2018,CZ07,2016,3.2
2014,CZ08,2016,2.7
2015,CZ08,2016,3.3
2016,CZ08,2016,2.6
2017,CZ08,2016,3.3
2018,CZ08,2016,3.2
2014,DE11,2016,99.6
2015,DE11,2016,117.3
2016,DE11,2016,114.0
2017,DE11,2016,111.7
2018,DE11,2016,112.6
2014,DE12,2016,359.2
2015,DE12,2016,374.8
2016,DE12,2016,372.1
2017,DE12,2016,400.4
2018,DE12,2016,393.2
2014,DE13,2016,156.8
2015,DE13,2016,126.9
2016,DE13,2016,125.0
2017,DE13,2016,137.4
2018,DE13,2016,148.4
2014,DE14,2016,120.8
2015,DE14,2016,69.9
2016,DE14,2016,72.8
2017,DE14,2016,76.7
2018,DE14,2016,80.1
2014,DE21,2016,274.1
2015,DE21,2016,281.3
2016,DE21,2016,300.9
2017,DE21,2016,310.2
2018,DE21,2016,331.2
2014,DE22,2016,1.4
2015,DE22,2016,6.0
2016,DE22,2016,6.9
2017,DE22,2016,5.1
2018,DE22,2016,6.2
2014,DE23,2016,18.1
2015,DE23,2016,20.7
2016,DE23,2016,20.5
2017,DE23,2016,23.9
2018,DE23,2016,26.5
2014,DE24,2016,52.9
2015,DE24,2016,55.9
2016,DE24,2016,36.7
2017,DE24,2016,50.3
2018,DE24,2016,53.8
2014,DE25,2016,125.1
2015,DE25,2016,158.2
2016,DE25,2016,149.3
2017,DE25,2016,158.6
2018,DE25,2016,153.1
2014,DE26,2016,31.6
2015,DE26,2016,37.5
2016,DE26,2016,32.4
2017,DE26,2016,34.4
2018,DE26,2016,36.6
2014,DE27,2016,17.1
2015,DE27,2016,19.0
2016,DE27,2016,20.0
2017,DE27,2016,23.6
2018,DE27,2016,30.1
2014,DE30,2016,406.8
2015,DE30,2016,426.8
2016,DE30,2016,417.2
2017,DE30,2016,464.6
2018,DE30,2016,513.4
2014,DE40,2016,201.1
2015,DE40,2016,188.8
2016,DE40,2016,205.8
2017,DE40,2016,210.0
2018,DE40,2016,204.5
2014,DE50,2016,494.4
2015,DE50,2016,514.3
2016,DE50,2016,496.9
2017,DE50,2016,536.3
2018,DE50,2016,546.1
2014,DE60,2016,294.0
2015,DE60,2016,282.9
2016,DE60,2016,278.8
2017,DE60,2016,244.3
2018,DE60,2016,245.4
2014,DE71,2016,153.0
2015,DE71,2016,150.2
2016,DE71,2016,168.5
2017,DE71,2016,183.1
2018,DE71,2016,197.6
2014,DE72,2016,41.6
2015,DE72,2016,25.1
2016,DE72,2016,28.4
2017,DE72,2016,30.6
2018,DE72,2016,32.7
2014,DE73,2016,21.8
2015,DE73,2016,20.4
2016,DE73,2016,22.8
2017,DE73,2016,23.0
2018,DE73,2016,25.0
2014,DE80,2016,175.4
2015,DE80,2016,157.2
2016,DE80,2016,163.4
2017,DE80,2016,173.0
2018,DE80,2016,177.2
2014,DE91,2016,441.9
2015,DE91,2016,469.2
2016,DE91,2016,466.6
2017,DE91,2016,505.9
2018,DE91,2016,480.7
2014,DE92,2016,100.6
2015,DE92,2016,79.8
2016,DE92,2016,77.7
2017,DE92,2016,77.0
2018,DE92,2016,96.0
2014,DE93,2016,17.2
2015,DE93,2016,15.7
2016,DE93,2016,15.6
2017,DE93,2016,16.8
2018,DE93,2016,14.9
2014,DE94,2016,22.4
2015,DE94,2016,22.7
2016,DE94,2016,21.2
2017,DE94,2016,22.3
2018,DE94,2016,24.4
2014,DEA1,2016,47.7
2015,DEA1,2016,52.7
2016,DEA1,2016,50.0
2017,DEA1,2016,53.8
2018,DEA1,2016,63.3
2014,DEA2,2016,357.3
2015,DEA2,2016,345.8
2016,DEA2,2016,331.1
2017,DEA2,2016,334.8
2018,DEA2,2016,360.5
2014,DEA3,2016,28.6
2015,DEA3,2016,20.1
2016,DEA3,2016,21.2
2017,DEA3,2016,23.9
2018,DEA3,2016,24.7
2014,DEA4,2016,20.4
2015,DEA4,2016,22.1
2016,DEA4,2016,24.2
2017,DEA4,2016,31.8
2018,DEA4,2016,28.6
2014,DEA5,2016,48.7
2015,DEA5,2016,51.9
2016,DEA5,2016,51.8
2017,DEA5,2016,54.1
2018,DEA5,2016,55.5
2014,DEB1,2016,15.1
2015,DEB1,2016,12.9
2016,DEB1,2016,12.1
2017,DEB1,2016,13.5
2018,DEB1,2016,13.9
2014,DEB2,2016,7.9
2015,DEB2,2016,7.7
2016,DEB2,2016,8.3
2017,DEB2,2016,8.0
2018,DEB2,2016,9.4
2014,DEB3,2016,79.1
2015,DEB3,2016,92.3
2016,DEB3,2016,104.7
2017,DEB3,2016,116.3
2018,DEB3,2016,121.0
2014,DEC0,2016,138.2
2015,DEC0,2016,132.0
2016,DEC0,2016,117.8
2017,DEC0,2016,127.5
2018,DEC0,2016,130.7
2014,DED2,2016,314.6
2015,DED2,2016,333.6
2016,DED2,2016,356.9
2017,DED2,2016,372.6
2018,DED2,2016,384.2
2014,DED4,2016,62.1
2015,DED4,2016,64.0
2016,DED4,2016,67.0
2017,DED4,2016,70.5
2018,DED4,2016,76.1
2014,DED5,2016,191.8
2015,DED5,2016,259.3
2016,DED5,2016,240.9
2017,DED5,2016,255.6
2018,DED5,2016,270.2
2014,DEE0,2016,121.6
2015,DEE0,2016,125.9
2016,DEE0,2016,129.9
2017,DEE0,2016,139.9
2018,DEE0,2016,146.3
2014,DEF0,2016,118.8
2015,DEF0,2016,104.6
2016,DEF0,2016,103.9
2017,DEF0,2016,109.0
2018,DEF0,2016,111.3
2014,DEG0,2016,126.3
2015,DEG0,2016,125.4
2016,DEG0,2016,129.5
2017,DEG0,2016,139.2
2018,DEG0,2016,150.3
2014,DK01,2016,55.8
2015,DK01,2016,49.1
2016,DK01,2016,47.0
2017,DK01,2016,87.0
2014,DK02,2016,15.8
2015,DK02,2016,36.3
2016,DK02,2016,27.1
2017,DK02,2016,36.3
2014,DK03,2016,22.3
2015,DK03,2016,23.0
2016,DK03,2016,26.3
2017,DK03,2016,26.5
2014,DK04,2016,29.8
2015,DK04,2016,30.8
2016,DK04,2016,40.8
2017,DK04,2016,29.4
2014,DK05,2016,3.7
