year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_f_fte
2011,NUTS,2010,AT,0,3541.0
2013,NUTS,2010,AT,0,4054.0
2015,NUTS,2010,AT,0,4319.0
2017,NUTS,2010,AT,0,4822.0
2019,NUTS,2010,AT,0,5439.0
2011,NUTS,2010,AT1,1,2007.0
2013,NUTS,2010,AT1,1,2071.0
2015,NUTS,2010,AT1,1,2141.0
2017,NUTS,2010,AT1,1,2008.0
2019,NUTS,2010,AT1,1,2214.0
2011,NUTS,2010,AT11,2,33.0
2013,NUTS,2010,AT11,2,29.0
2015,NUTS,2010,AT11,2,34.0
2017,NUTS,2010,AT11,2,46.0
2019,NUTS,2010,AT11,2,33.0
2011,NUTS,2010,AT12,2,434.0
2013,NUTS,2010,AT12,2,405.0
2015,NUTS,2010,AT12,2,409.0
2017,NUTS,2010,AT12,2,423.0
2019,NUTS,2010,AT12,2,602.0
2011,NUTS,2010,AT13,2,1541.0
2013,NUTS,2010,AT13,2,1637.0
2015,NUTS,2010,AT13,2,1699.0
2017,NUTS,2010,AT13,2,1539.0
2019,NUTS,2010,AT13,2,1580.0
2011,NUTS,2010,AT2,1,757.0
2013,NUTS,2010,AT2,1,863.0
2015,NUTS,2010,AT2,1,950.0
2017,NUTS,2010,AT2,1,1266.0
2019,NUTS,2010,AT2,1,1545.0
2011,NUTS,2010,AT21,2,174.0
2013,NUTS,2010,AT21,2,156.0
2015,NUTS,2010,AT21,2,209.0
2017,NUTS,2010,AT21,2,395.0
2019,NUTS,2010,AT21,2,461.0
2011,NUTS,2010,AT22,2,583.0
2013,NUTS,2010,AT22,2,706.0
2015,NUTS,2010,AT22,2,741.0
2017,NUTS,2010,AT22,2,871.0
2019,NUTS,2010,AT22,2,1084.0
2011,NUTS,2010,AT3,1,777.0
2013,NUTS,2010,AT3,1,1120.0
2015,NUTS,2010,AT3,1,1228.0
2017,NUTS,2010,AT3,1,1548.0
2019,NUTS,2010,AT3,1,1681.0
2011,NUTS,2010,AT31,2,353.0
2013,NUTS,2010,AT31,2,541.0
2015,NUTS,2010,AT31,2,591.0
2017,NUTS,2010,AT31,2,649.0
2019,NUTS,2010,AT31,2,860.0
2011,NUTS,2010,AT32,2,88.0
2013,NUTS,2010,AT32,2,103.0
2015,NUTS,2010,AT32,2,113.0
2017,NUTS,2010,AT32,2,152.0
2019,NUTS,2010,AT32,2,196.0
2011,NUTS,2010,AT33,2,282.0
2013,NUTS,2010,AT33,2,385.0
2015,NUTS,2010,AT33,2,432.0
2017,NUTS,2010,AT33,2,629.0
2019,NUTS,2010,AT33,2,497.0
2011,NUTS,2010,AT34,2,55.0
2013,NUTS,2010,AT34,2,92.0
2015,NUTS,2010,AT34,2,93.0
2017,NUTS,2010,AT34,2,118.0
2019,NUTS,2010,AT34,2,127.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,40.0
2013,NUTS,2010,BA,0,49.0
2014,NUTS,2010,BA,0,30.0
2019,NUTS,2010,BA,0,102.0
2011,NUTS,2010,BE,0,4658.0
2011,NUTS,2010,BE1,1,534.0
2011,NUTS,2010,BE10,2,534.0
2011,NUTS,2010,BE2,1,2862.0
2011,NUTS,2010,BE3,1,1261.0
2011,NUTS,2010,BG,0,721.0
2012,NUTS,2010,BG,0,916.0
2013,NUTS,2010,BG,0,1193.0
2014,NUTS,2010,BG,0,1426.0
2015,NUTS,2010,BG,0,2139.0
2016,NUTS,2010,BG,0,2401.0
2017,NUTS,2010,BG,0,2333.0
2018,NUTS,2010,BG,0,2746.0
2019,NUTS,2010,BG,0,2990.0
2011,NUTS,2010,BG3,1,117.0
2012,NUTS,2010,BG3,1,173.0
2015,NUTS,2010,BG3,1,562.0
2016,NUTS,2010,BG3,1,490.0
2017,NUTS,2010,BG3,1,559.0
2018,NUTS,2010,BG3,1,692.0
2019,NUTS,2010,BG3,1,747.0
2017,NUTS,2010,BG31,2,148.0
2018,NUTS,2010,BG31,2,186.0
2019,NUTS,2010,BG31,2,184.0
2011,NUTS,2010,BG32,2,14.0
2012,NUTS,2010,BG32,2,37.0
2013,NUTS,2010,BG32,2,53.0
2014,NUTS,2010,BG32,2,68.0
2016,NUTS,2010,BG32,2,107.0
2017,NUTS,2010,BG32,2,153.0
2018,NUTS,2010,BG32,2,190.0
2019,NUTS,2010,BG32,2,195.0
2011,NUTS,2010,BG33,2,30.0
2012,NUTS,2010,BG33,2,37.0
2014,NUTS,2010,BG33,2,27.0
2015,NUTS,2010,BG33,2,141.0
2017,NUTS,2010,BG33,2,148.0
2018,NUTS,2010,BG33,2,180.0
2019,NUTS,2010,BG33,2,214.0
2015,NUTS,2010,BG34,2,151.0
2016,NUTS,2010,BG34,2,101.0
2017,NUTS,2010,BG34,2,110.0
2018,NUTS,2010,BG34,2,136.0
2019,NUTS,2010,BG34,2,154.0
2011,NUTS,2010,BG4,1,604.0
2012,NUTS,2010,BG4,1,743.0
2015,NUTS,2010,BG4,1,1577.0
2016,NUTS,2010,BG4,1,1911.0
2017,NUTS,2010,BG4,1,1774.0
2018,NUTS,2010,BG4,1,2054.0
2019,NUTS,2010,BG4,1,2243.0
2011,NUTS,2010,BG41,2,468.0
2012,NUTS,2010,BG41,2,640.0
2015,NUTS,2010,BG41,2,1407.0
2016,NUTS,2010,BG41,2,1737.0
2017,NUTS,2010,BG41,2,1549.0
2018,NUTS,2010,BG41,2,1796.0
2019,NUTS,2010,BG41,2,1971.0
2011,NUTS,2010,BG42,2,136.0
2012,NUTS,2010,BG42,2,103.0
2014,NUTS,2010,BG42,2,79.0
2015,NUTS,2010,BG42,2,170.0
2016,NUTS,2010,BG42,2,174.0
2017,NUTS,2010,BG42,2,225.0
2018,NUTS,2010,BG42,2,258.0
2019,NUTS,2010,BG42,2,272.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,57.0
2012,NUTS,2010,CY,0,59.0
2013,NUTS,2010,CY,0,64.0
2014,NUTS,2010,CY,0,68.0
2015,NUTS,2010,CY,0,62.0
2016,NUTS,2010,CY,0,72.0
2017,NUTS,2010,CY,0,88.0
2018,NUTS,2010,CY,0,123.0
2019,NUTS,2010,CY,0,145.0
2011,NUTS,2010,CZ,0,1832.0
2012,NUTS,2010,CZ,0,2040.0
2013,NUTS,2010,CZ,0,2218.0
2014,NUTS,2010,CZ,0,2468.0
2015,NUTS,2010,CZ,0,2362.0
2016,NUTS,2010,CZ,0,2328.0
2017,NUTS,2010,CZ,0,2445.0
2018,NUTS,2010,CZ,0,2583.0
2019,NUTS,2010,CZ,0,2790.0
2020,NUTS,2010,CZ,0,3020.0
2011,NUTS,2010,CZ0,1,1832.0
2012,NUTS,2010,CZ0,1,2040.0
2013,NUTS,2010,CZ0,1,2218.0
2014,NUTS,2010,CZ0,1,2468.0
2015,NUTS,2010,CZ0,1,2362.0
2016,NUTS,2010,CZ0,1,2328.0
2017,NUTS,2010,CZ0,1,2445.0
2018,NUTS,2010,CZ0,1,2583.0
2019,NUTS,2010,CZ0,1,2790.0
2020,NUTS,2010,CZ0,1,3020.0
2011,NUTS,2010,CZ01,2,434.0
2012,NUTS,2010,CZ01,2,525.0
2013,NUTS,2010,CZ01,2,631.0
2014,NUTS,2010,CZ01,2,624.0
2015,NUTS,2010,CZ01,2,635.0
2016,NUTS,2010,CZ01,2,829.0
2017,NUTS,2010,CZ01,2,748.0
2018,NUTS,2010,CZ01,2,817.0
2019,NUTS,2010,CZ01,2,826.0
2020,NUTS,2010,CZ01,2,828.0
2011,NUTS,2010,CZ02,2,391.0
2012,NUTS,2010,CZ02,2,422.0
2013,NUTS,2010,CZ02,2,340.0
2014,NUTS,2010,CZ02,2,307.0
2015,NUTS,2010,CZ02,2,318.0
2016,NUTS,2010,CZ02,2,164.0
2017,NUTS,2010,CZ02,2,238.0
2018,NUTS,2010,CZ02,2,291.0
2019,NUTS,2010,CZ02,2,317.0
2020,NUTS,2010,CZ02,2,335.0
2011,NUTS,2010,CZ03,2,86.0
2012,NUTS,2010,CZ03,2,99.0
2013,NUTS,2010,CZ03,2,117.0
2014,NUTS,2010,CZ03,2,123.0
2015,NUTS,2010,CZ03,2,132.0
2016,NUTS,2010,CZ03,2,138.0
2017,NUTS,2010,CZ03,2,155.0
