year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_f_hc
2011,NUTS,2010,AT,0,10142.0
2013,NUTS,2010,AT,0,11434.0
2015,NUTS,2010,AT,0,12285.0
2017,NUTS,2010,AT,0,12117.0
2019,NUTS,2010,AT,0,13564.0
2011,NUTS,2010,AT1,1,4976.0
2013,NUTS,2010,AT1,1,5398.0
2015,NUTS,2010,AT1,1,5589.0
2017,NUTS,2010,AT1,1,4951.0
2019,NUTS,2010,AT1,1,5459.0
2011,NUTS,2010,AT11,2,158.0
2013,NUTS,2010,AT11,2,181.0
2015,NUTS,2010,AT11,2,140.0
2017,NUTS,2010,AT11,2,193.0
2019,NUTS,2010,AT11,2,146.0
2011,NUTS,2010,AT12,2,1207.0
2013,NUTS,2010,AT12,2,1291.0
2015,NUTS,2010,AT12,2,1345.0
2017,NUTS,2010,AT12,2,1241.0
2019,NUTS,2010,AT12,2,1551.0
2011,NUTS,2010,AT13,2,3611.0
2013,NUTS,2010,AT13,2,3926.0
2015,NUTS,2010,AT13,2,4104.0
2017,NUTS,2010,AT13,2,3517.0
2019,NUTS,2010,AT13,2,3761.0
2011,NUTS,2010,AT2,1,2602.0
2013,NUTS,2010,AT2,1,2959.0
2015,NUTS,2010,AT2,1,3242.0
2017,NUTS,2010,AT2,1,3235.0
2019,NUTS,2010,AT2,1,3730.0
2011,NUTS,2010,AT21,2,411.0
2013,NUTS,2010,AT21,2,434.0
2015,NUTS,2010,AT21,2,523.0
2017,NUTS,2010,AT21,2,664.0
2019,NUTS,2010,AT21,2,793.0
2011,NUTS,2010,AT22,2,2191.0
2013,NUTS,2010,AT22,2,2525.0
2015,NUTS,2010,AT22,2,2719.0
2017,NUTS,2010,AT22,2,2571.0
2019,NUTS,2010,AT22,2,2937.0
2011,NUTS,2010,AT3,1,2564.0
2013,NUTS,2010,AT3,1,3077.0
2015,NUTS,2010,AT3,1,3454.0
2017,NUTS,2010,AT3,1,3931.0
2019,NUTS,2010,AT3,1,4375.0
2011,NUTS,2010,AT31,2,1271.0
2013,NUTS,2010,AT31,2,1532.0
2015,NUTS,2010,AT31,2,1733.0
2017,NUTS,2010,AT31,2,1818.0
2019,NUTS,2010,AT31,2,2303.0
2011,NUTS,2010,AT32,2,258.0
2013,NUTS,2010,AT32,2,325.0
2015,NUTS,2010,AT32,2,371.0
2017,NUTS,2010,AT32,2,447.0
2019,NUTS,2010,AT32,2,515.0
2011,NUTS,2010,AT33,2,801.0
2013,NUTS,2010,AT33,2,965.0
2015,NUTS,2010,AT33,2,1052.0
2017,NUTS,2010,AT33,2,1300.0
2019,NUTS,2010,AT33,2,1166.0
2011,NUTS,2010,AT34,2,234.0
2013,NUTS,2010,AT34,2,255.0
2015,NUTS,2010,AT34,2,298.0
2017,NUTS,2010,AT34,2,366.0
2019,NUTS,2010,AT34,2,391.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,298.0
2013,NUTS,2010,BA,0,288.0
2014,NUTS,2010,BA,0,197.0
2019,NUTS,2010,BA,0,249.0
2011,NUTS,2010,BE,0,12666.0
2013,NUTS,2010,BE,0,13018.0
2015,NUTS,2010,BE,0,16778.0
2017,NUTS,2010,BE,0,20896.0
2019,NUTS,2010,BE,0,22451.0
2011,NUTS,2010,BE1,1,1484.0
2013,NUTS,2010,BE1,1,1707.0
2015,NUTS,2010,BE1,1,2418.0
2017,NUTS,2010,BE1,1,3335.0
2019,NUTS,2010,BE1,1,3825.0
2011,NUTS,2010,BE10,2,1484.0
2013,NUTS,2010,BE10,2,1707.0
2015,NUTS,2010,BE10,2,2418.0
2017,NUTS,2010,BE10,2,3335.0
2019,NUTS,2010,BE10,2,3825.0
2011,NUTS,2010,BE2,1,7215.0
2013,NUTS,2010,BE2,1,7634.0
2015,NUTS,2010,BE2,1,9369.0
2017,NUTS,2010,BE2,1,11347.0
2019,NUTS,2010,BE2,1,14294.0
2011,NUTS,2010,BE3,1,3967.0
2013,NUTS,2010,BE3,1,3677.0
2015,NUTS,2010,BE3,1,4991.0
2017,NUTS,2010,BE3,1,6214.0
2019,NUTS,2010,BE3,1,4332.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,1316.0
2012,NUTS,2010,BG,0,1531.0
2013,NUTS,2010,BG,0,1951.0
2014,NUTS,2010,BG,0,2479.0
2015,NUTS,2010,BG,0,4230.0
2016,NUTS,2010,BG,0,5115.0
2017,NUTS,2010,BG,0,5120.0
2018,NUTS,2010,BG,0,5850.0
2019,NUTS,2010,BG,0,6184.0
2011,NUTS,2010,BG3,1,389.0
2012,NUTS,2010,BG3,1,348.0
