year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_fte_f
2011,NUTS,2010,AT,0,6866.0
2013,NUTS,2010,AT,0,7322.0
2015,NUTS,2010,AT,0,7933.0
2017,NUTS,2010,AT,0,8226.0
2019,NUTS,2010,AT,0,9199.0
2012,NUTS,2010,BA,0,158.0
2013,NUTS,2010,BA,0,161.0
2014,NUTS,2010,BA,0,112.0
2019,NUTS,2010,BA,0,208.0
2011,NUTS,2010,BE,0,8923.0
2011,NUTS,2010,BG,0,1142.0
2012,NUTS,2010,BG,0,1348.0
2013,NUTS,2010,BG,0,1692.0
2014,NUTS,2010,BG,0,2153.0
2015,NUTS,2010,BG,0,3665.0
2016,NUTS,2010,BG,0,4290.0
2017,NUTS,2010,BG,0,4225.0
2018,NUTS,2010,BG,0,4882.0
2019,NUTS,2010,BG,0,5220.0
2011,NUTS,2010,CY,0,91.0
2012,NUTS,2010,CY,0,88.0
2013,NUTS,2010,CY,0,92.0
2014,NUTS,2010,CY,0,96.0
2015,NUTS,2010,CY,0,91.0
2016,NUTS,2010,CY,0,121.0
2017,NUTS,2010,CY,0,137.0
2018,NUTS,2010,CY,0,196.0
2019,NUTS,2010,CY,0,219.0
2011,NUTS,2010,CZ,0,5442.0
2012,NUTS,2010,CZ,0,5908.0
2013,NUTS,2010,CZ,0,6222.0
2014,NUTS,2010,CZ,0,6468.0
2015,NUTS,2010,CZ,0,6345.0
2016,NUTS,2010,CZ,0,6383.0
2017,NUTS,2010,CZ,0,6768.0
2018,NUTS,2010,CZ,0,7154.0
2019,NUTS,2010,CZ,0,7631.0
2020,NUTS,2010,CZ,0,8063.0
2011,NUTS,2010,DE,0,68896.0
2013,NUTS,2010,DE,0,67931.0
2015,NUTS,2010,DE,0,75372.0
2017,NUTS,2010,DE,0,81148.0
2019,NUTS,2010,DE,0,88177.0
2011,NUTS,2010,DK,0,10604.0
2012,NUTS,2010,DK,0,10527.0
2013,NUTS,2010,DK,0,10451.0
2015,NUTS,2010,DK,0,10436.0
2017,NUTS,2010,DK,0,12020.0
2019,NUTS,2010,DK,0,11894.0
2011,NUTS,2010,EE,0,668.0
2012,NUTS,2010,EE,0,605.0
2013,NUTS,2010,EE,0,636.0
2014,NUTS,2010,EE,0,575.0
2015,NUTS,2010,EE,0,532.0
2016,NUTS,2010,EE,0,550.0
2017,NUTS,2010,EE,0,610.0
2018,NUTS,2010,EE,0,639.0
2019,NUTS,2010,EE,0,765.0
2011,NUTS,2010,EL,0,2130.0
2013,NUTS,2010,EL,0,2049.0
2015,NUTS,2010,EL,0,2534.0
2017,NUTS,2010,EL,0,4039.0
2019,NUTS,2010,EL,0,4583.0
2011,NUTS,2010,ES,0,27645.0
2012,NUTS,2010,ES,0,27381.0
2013,NUTS,2010,ES,0,27767.0
2014,NUTS,2010,ES,0,26993.0
2015,NUTS,2010,ES,0,27437.0
2016,NUTS,2010,ES,0,27889.0
2017,NUTS,2010,ES,0,29916.0
2018,NUTS,2010,ES,0,32983.0
2019,NUTS,2010,ES,0,33923.0
2011,NUTS,2010,FR,0,55272.0
2012,NUTS,2010,FR,0,57496.0
2013,NUTS,2010,FR,0,58989.0
2014,NUTS,2010,FR,0,58989.0
2016,NUTS,2010,FR,0,60641.0
2017,NUTS,2010,FR,0,63089.0
2011,NUTS,2010,HR,0,1062.0
2012,NUTS,2010,HR,0,1045.0
2013,NUTS,2010,HR,0,992.0
2014,NUTS,2010,HR,0,1012.0
2015,NUTS,2010,HR,0,1091.0
2016,NUTS,2010,HR,0,1240.0
2017,NUTS,2010,HR,0,1330.0
2018,NUTS,2010,HR,0,1650.0
2019,NUTS,2010,HR,0,1803.0
2020,NUTS,2010,HR,0,2007.0
2011,NUTS,2010,HU,0,4539.0
2012,NUTS,2010,HU,0,5213.0
2013,NUTS,2010,HU,0,5622.0
2014,NUTS,2010,HU,0,5641.0
2015,NUTS,2010,HU,0,5445.0
2016,NUTS,2010,HU,0,5157.0
2017,NUTS,2010,HU,0,6001.0
2018,NUTS,2010,HU,0,7292.0
2019,NUTS,2010,HU,0,7549.0
2011,NUTS,2010,IE,0,3352.0
2013,NUTS,2010,IE,0,3964.0
2015,NUTS,2010,IE,0,4548.0
2017,NUTS,2010,IE,0,5090.0
2019,NUTS,2010,IE,0,5387.0
2011,NUTS,2010,IS,0,388.0
2011,NUTS,2010,IT,0,22993.0
2012,NUTS,2010,IT,0,25306.0
2013,NUTS,2010,IT,0,26300.0
2014,NUTS,2010,IT,0,27532.0
2015,NUTS,2010,IT,0,29247.0
2016,NUTS,2010,IT,0,34583.0
2017,NUTS,2010,IT,0,40458.0
2018,NUTS,2010,IT,0,47306.0
2019,NUTS,2010,IT,0,50035.0
2011,NUTS,2010,LT,0,738.0
2012,NUTS,2010,LT,0,615.0
2013,NUTS,2010,LT,0,845.0
2014,NUTS,2010,LT,0,1010.0
2015,NUTS,2010,LT,0,895.0
2016,NUTS,2010,LT,0,944.0
2017,NUTS,2010,LT,0,1163.0
2018,NUTS,2010,LT,0,1255.0
2019,NUTS,2010,LT,0,1556.0
2011,NUTS,2010,LU,0,539.0
2013,NUTS,2010,LU,0,352.0
2015,NUTS,2010,LU,0,391.0
2017,NUTS,2010,LU,0,490.0
2019,NUTS,2010,LU,0,468.0
2011,NUTS,2010,LV,0,442.0
2012,NUTS,2010,LV,0,421.0
2013,NUTS,2010,LV,0,430.0
2015,NUTS,2010,LV,0,476.0
2016,NUTS,2010,LV,0,364.0
2017,NUTS,2010,LV,0,409.0
2018,NUTS,2010,LV,0,492.0
2019,NUTS,2010,LV,0,455.0
2011,NUTS,2010,ME,0,45.0
2013,NUTS,2010,ME,0,52.0
2014,NUTS,2010,ME,0,45.0
2015,NUTS,2010,ME,0,32.0
2017,NUTS,2010,ME,0,24.0
2018,NUTS,2010,ME,0,45.0
2019,NUTS,2010,ME,0,47.0
2011,NUTS,2010,MK,0,113.0
2012,NUTS,2010,MK,0,109.0
2015,NUTS,2010,MK,0,228.0
2016,NUTS,2010,MK,0,263.0
2017,NUTS,2010,MK,0,269.0
2018,NUTS,2010,MK,0,299.0
2019,NUTS,2010,MK,0,328.0
2011,NUTS,2010,MT,0,192.0
2012,NUTS,2010,MT,0,229.0
2013,NUTS,2010,MT,0,195.0
2014,NUTS,2010,MT,0,192.0
2015,NUTS,2010,MT,0,174.0
2016,NUTS,2010,MT,0,211.0
2017,NUTS,2010,MT,0,245.0
2018,NUTS,2010,MT,0,231.0
2019,NUTS,2010,MT,0,254.0
2011,NUTS,2010,NL,0,14003.0
2012,NUTS,2010,NL,0,14566.0
2015,NUTS,2010,PL,0,9554.0
2016,NUTS,2010,PL,0,14200.0
2017,NUTS,2010,PL,0,19011.0
2018,NUTS,2010,PL,0,22008.0
2019,NUTS,2010,PL,0,21711.0
2011,NUTS,2010,PT,0,4442.0
2012,NUTS,2010,PT,0,4525.0
2013,NUTS,2010,PT,0,4734.0
2014,NUTS,2010,PT,0,5233.0
2015,NUTS,2010,PT,0,5624.0
2016,NUTS,2010,PT,0,5651.0
2017,NUTS,2010,PT,0,6659.0
2018,NUTS,2010,PT,0,7111.0
2019,NUTS,2010,PT,0,8108.0
2020,NUTS,2010,PT,0,9403.0
2011,NUTS,2010,RO,0,3998.0
2012,NUTS,2010,RO,0,4400.0
2013,NUTS,2010,RO,0,4138.0
2014,NUTS,2010,RO,0,3999.0
2015,NUTS,2010,RO,0,3558.0
2016,NUTS,2010,RO,0,3742.0
2017,NUTS,2010,RO,0,4054.0
2018,NUTS,2010,RO,0,3864.0
2019,NUTS,2010,RO,0,3809.0
2011,NUTS,2010,RS,0,155.0
2012,NUTS,2010,RS,0,267.0
2013,NUTS,2010,RS,0,365.0
2014,NUTS,2010,RS,0,1044.0
2015,NUTS,2010,RS,0,1066.0
2016,NUTS,2010,RS,0,1182.0
2017,NUTS,2010,RS,0,1071.0
2018,NUTS,2010,RS,0,1026.0
2019,NUTS,2010,RS,0,1070.0
2020,NUTS,2010,RS,0,1075.0
2011,NUTS,2010,SE,0,13742.0
2013,NUTS,2010,SE,0,13713.0
2015,NUTS,2010,SE,0,14170.0
2017,NUTS,2010,SE,0,15973.0
2019,NUTS,2010,SE,0,16439.0
2011,NUTS,2010,SI,0,2624.0
2012,NUTS,2010,SI,0,2516.0
2013,NUTS,2010,SI,0,2651.0
