year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_f
2011,NUTS,2010,AT,0,0.5447
2013,NUTS,2010,AT,0,0.6027
2015,NUTS,2010,AT,0,0.6388
2017,NUTS,2010,AT,0,0.6129
2019,NUTS,2010,AT,0,0.6735
2011,NUTS,2010,AT1,1,0.6234
2013,NUTS,2010,AT1,1,0.6633
2015,NUTS,2010,AT1,1,0.6711
2017,NUTS,2010,AT1,1,0.5776
2019,NUTS,2010,AT1,1,0.6323
2011,NUTS,2010,AT11,2,0.2582
2013,NUTS,2010,AT11,2,0.2919
2015,NUTS,2010,AT11,2,0.2265
2017,NUTS,2010,AT11,2,0.3054
2019,NUTS,2010,AT11,2,0.2281
2011,NUTS,2010,AT12,2,0.3318
2013,NUTS,2010,AT12,2,0.354
2015,NUTS,2010,AT12,2,0.3556
2017,NUTS,2010,AT12,2,0.3195
2019,NUTS,2010,AT12,2,0.4025
2011,NUTS,2010,AT13,2,0.9676
2013,NUTS,2010,AT13,2,1.0142
2015,NUTS,2010,AT13,2,1.0445
2017,NUTS,2010,AT13,2,0.8671
2019,NUTS,2010,AT13,2,0.9082
2011,NUTS,2010,AT2,1,0.6699
2013,NUTS,2010,AT2,1,0.7613
2015,NUTS,2010,AT2,1,0.8281
2017,NUTS,2010,AT2,1,0.8057
2019,NUTS,2010,AT2,1,0.9138
2011,NUTS,2010,AT21,2,0.3468
2013,NUTS,2010,AT21,2,0.3605
2015,NUTS,2010,AT21,2,0.4366
2017,NUTS,2010,AT21,2,0.5434
2019,NUTS,2010,AT21,2,0.6447
2011,NUTS,2010,AT22,2,0.8118
2013,NUTS,2010,AT22,2,0.9411
2015,NUTS,2010,AT22,2,1.0007
2017,NUTS,2010,AT22,2,0.9205
2019,NUTS,2010,AT22,2,1.0298
2011,NUTS,2010,AT3,1,0.3645
2013,NUTS,2010,AT3,1,0.4262
2015,NUTS,2010,AT3,1,0.4732
2017,NUTS,2010,AT3,1,0.526
2019,NUTS,2010,AT3,1,0.5681
2011,NUTS,2010,AT31,2,0.3871
2013,NUTS,2010,AT31,2,0.4599
2015,NUTS,2010,AT31,2,0.5142
2017,NUTS,2010,AT31,2,0.5279
2019,NUTS,2010,AT31,2,0.6495
2011,NUTS,2010,AT32,2,0.2038
2013,NUTS,2010,AT32,2,0.25
