year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_act_hc_bes_rse
1998,NUTS,2010,AT,0,0.076
2002,NUTS,2010,AT,0,0.1168
2004,NUTS,2010,AT,0,0.1479
2006,NUTS,2010,AT,0,0.1701
2007,NUTS,2010,AT,0,0.1881
2009,NUTS,2010,AT,0,0.2265
2011,NUTS,2010,AT,0,0.2483
2013,NUTS,2010,AT,0,0.2941
2015,NUTS,2010,AT,0,0.3101
2017,NUTS,2010,AT,0,0.3305
2019,NUTS,2010,AT,0,0.3712
2002,NUTS,2010,AT1,1,0.1641
2004,NUTS,2010,AT1,1,0.2012
2006,NUTS,2010,AT1,1,0.229
2007,NUTS,2010,AT1,1,0.2519
2009,NUTS,2010,AT1,1,0.3055
2011,NUTS,2010,AT1,1,0.3174
2013,NUTS,2010,AT1,1,0.3467
2015,NUTS,2010,AT1,1,0.36
2017,NUTS,2010,AT1,1,0.3268
2019,NUTS,2010,AT1,1,0.3651
2002,NUTS,2010,AT11,2,0.0503
2004,NUTS,2010,AT11,2,0.0527
2006,NUTS,2010,AT11,2,0.0613
2007,NUTS,2010,AT11,2,0.0568
2009,NUTS,2010,AT11,2,0.0576
2011,NUTS,2010,AT11,2,0.0737
2013,NUTS,2010,AT11,2,0.0738
2015,NUTS,2010,AT11,2,0.0823
2017,NUTS,2010,AT11,2,0.1119
2019,NUTS,2010,AT11,2,0.0975
2002,NUTS,2010,AT12,2,0.0628
2004,NUTS,2010,AT12,2,0.0739
2006,NUTS,2010,AT12,2,0.1077
2007,NUTS,2010,AT12,2,0.1046
2009,NUTS,2010,AT12,2,0.1219
2011,NUTS,2010,AT12,2,0.1567
2013,NUTS,2010,AT12,2,0.1577
2015,NUTS,2010,AT12,2,0.1615
2017,NUTS,2010,AT12,2,0.1529
2019,NUTS,2010,AT12,2,0.2126
2002,NUTS,2010,AT13,2,0.2741
2004,NUTS,2010,AT13,2,0.3427
2006,NUTS,2010,AT13,2,0.3676
2007,NUTS,2010,AT13,2,0.4228
2009,NUTS,2010,AT13,2,0.5196
2011,NUTS,2010,AT13,2,0.5078
2013,NUTS,2010,AT13,2,0.5601
2015,NUTS,2010,AT13,2,0.5854
2017,NUTS,2010,AT13,2,0.5175
2019,NUTS,2010,AT13,2,0.5402
2002,NUTS,2010,AT2,1,0.0982
2004,NUTS,2010,AT2,1,0.1427
2006,NUTS,2010,AT2,1,0.1705
2007,NUTS,2010,AT2,1,0.1931
2009,NUTS,2010,AT2,1,0.2273
2011,NUTS,2010,AT2,1,0.2692
2013,NUTS,2010,AT2,1,0.3183
2015,NUTS,2010,AT2,1,0.3433
2017,NUTS,2010,AT2,1,0.4093
2019,NUTS,2010,AT2,1,0.5028
2002,NUTS,2010,AT21,2,0.0761
2004,NUTS,2010,AT21,2,0.1307
2006,NUTS,2010,AT21,2,0.1515
2007,NUTS,2010,AT21,2,0.1812
2009,NUTS,2010,AT21,2,0.1987
2011,NUTS,2010,AT21,2,0.1755
2013,NUTS,2010,AT21,2,0.1569
2015,NUTS,2010,AT21,2,0.2099
2017,NUTS,2010,AT21,2,0.3497
2019,NUTS,2010,AT21,2,0.4336
2002,NUTS,2010,AT22,2,0.1083
2004,NUTS,2010,AT22,2,0.1483
2006,NUTS,2010,AT22,2,0.1789
2007,NUTS,2010,AT22,2,0.1984
2009,NUTS,2010,AT22,2,0.24
2011,NUTS,2010,AT22,2,0.3107
2013,NUTS,2010,AT22,2,0.3913
2015,NUTS,2010,AT22,2,0.4027
2017,NUTS,2010,AT22,2,0.4356
2019,NUTS,2010,AT22,2,0.5333
2002,NUTS,2010,AT3,1,0.0685
2004,NUTS,2010,AT3,1,0.0895
2006,NUTS,2010,AT3,1,0.0962
2007,NUTS,2010,AT3,1,0.1054
2009,NUTS,2010,AT3,1,0.128
2011,NUTS,2010,AT3,1,0.1482
2013,NUTS,2010,AT3,1,0.2106
2015,NUTS,2010,AT3,1,0.2226
2017,NUTS,2010,AT3,1,0.2819
2019,NUTS,2010,AT3,1,0.2966
2002,NUTS,2010,AT31,2,0.054
2004,NUTS,2010,AT31,2,0.0694
2006,NUTS,2010,AT31,2,0.0894
2007,NUTS,2010,AT31,2,0.095
2009,NUTS,2010,AT31,2,0.1193
2011,NUTS,2010,AT31,2,0.1428
2013,NUTS,2010,AT31,2,0.2218
2015,NUTS,2010,AT31,2,0.2353
2017,NUTS,2010,AT31,2,0.2667
2019,NUTS,2010,AT31,2,0.3331
2002,NUTS,2010,AT32,2,0.0438
2004,NUTS,2010,AT32,2,0.044
2006,NUTS,2010,AT32,2,0.0602
2007,NUTS,2010,AT32,2,0.0571
2009,NUTS,2010,AT32,2,0.0827
2011,NUTS,2010,AT32,2,0.0978
2013,NUTS,2010,AT32,2,0.1197
2015,NUTS,2010,AT32,2,0.1321
2017,NUTS,2010,AT32,2,0.1861
2019,NUTS,2010,AT32,2,0.2073
2002,NUTS,2010,AT33,2,0.1203
2004,NUTS,2010,AT33,2,0.1644
2006,NUTS,2010,AT33,2,0.1594
2007,NUTS,2010,AT33,2,0.1848
2009,NUTS,2010,AT33,2,0.1995
2011,NUTS,2010,AT33,2,0.2238
2013,NUTS,2010,AT33,2,0.2929
2015,NUTS,2010,AT33,2,0.3083
2017,NUTS,2010,AT33,2,0.4398
2019,NUTS,2010,AT33,2,0.3553
2002,NUTS,2010,AT34,2,0.0666
2004,NUTS,2010,AT34,2,0.0915
2006,NUTS,2010,AT34,2,0.054
2007,NUTS,2010,AT34,2,0.0632
2009,NUTS,2010,AT34,2,0.0883
2011,NUTS,2010,AT34,2,0.0958
2013,NUTS,2010,AT34,2,0.138
2015,NUTS,2010,AT34,2,0.1393
2017,NUTS,2010,AT34,2,0.1691
2019,NUTS,2010,AT34,2,0.1757
1998,NUTS,2010,BE,0,0.1776
1999,NUTS,2010,BE,0,0.1831
2000,NUTS,2010,BE,0,0.1834
2001,NUTS,2010,BE,0,0.2055
2002,NUTS,2010,BE,0,0.2046
2003,NUTS,2010,BE,0,0.202
2004,NUTS,2010,BE,0,0.1956
2005,NUTS,2010,BE,0,0.2008
2006,NUTS,2010,BE,0,0.2047
2007,NUTS,2010,BE,0,0.2093
2008,NUTS,2010,BE,0,0.2439
2009,NUTS,2010,BE,0,0.2434
2010,NUTS,2010,BE,0,0.2944
2011,NUTS,2010,BE,0,0.3365
2013,NUTS,2010,BE,0,0.3364
2015,NUTS,2010,BE,0,0.4391
2017,NUTS,2010,BE,0,0.511
2019,NUTS,2010,BE,0,0.5273
1999,NUTS,2010,BE1,1,0.2035
2000,NUTS,2010,BE1,1,0.209
2001,NUTS,2010,BE1,1,0.2261
2002,NUTS,2010,BE1,1,0.2331
2003,NUTS,2010,BE1,1,0.2254
2004,NUTS,2010,BE1,1,0.2373
2005,NUTS,2010,BE1,1,0.2368
2006,NUTS,2010,BE1,1,0.2844
2007,NUTS,2010,BE1,1,0.2887
2008,NUTS,2010,BE1,1,0.4297
2009,NUTS,2010,BE1,1,0.4208
2010,NUTS,2010,BE1,1,0.393
2011,NUTS,2010,BE1,1,0.424
2013,NUTS,2010,BE1,1,0.4636
2015,NUTS,2010,BE1,1,0.6691
2017,NUTS,2010,BE1,1,0.8152
2019,NUTS,2010,BE1,1,0.9827
1999,NUTS,2010,BE10,2,0.2035
2000,NUTS,2010,BE10,2,0.209
2001,NUTS,2010,BE10,2,0.2261
2002,NUTS,2010,BE10,2,0.2331
2003,NUTS,2010,BE10,2,0.2254
2004,NUTS,2010,BE10,2,0.2373
2005,NUTS,2010,BE10,2,0.2368
2006,NUTS,2010,BE10,2,0.2844
2007,NUTS,2010,BE10,2,0.2887
2008,NUTS,2010,BE10,2,0.4297
2009,NUTS,2010,BE10,2,0.4208
2010,NUTS,2010,BE10,2,0.393
2011,NUTS,2010,BE10,2,0.424
2013,NUTS,2010,BE10,2,0.4636
2015,NUTS,2010,BE10,2,0.6691
2017,NUTS,2010,BE10,2,0.8152
2019,NUTS,2010,BE10,2,0.9827
1999,NUTS,2010,BE2,1,0.1846
2000,NUTS,2010,BE2,1,0.1893
2001,NUTS,2010,BE2,1,0.2183
2002,NUTS,2010,BE2,1,0.1985
2003,NUTS,2010,BE2,1,0.1947
2004,NUTS,2010,BE2,1,0.1857
2005,NUTS,2010,BE2,1,0.1901
2006,NUTS,2010,BE2,1,0.2089
2007,NUTS,2010,BE2,1,0.2137
2008,NUTS,2010,BE2,1,0.2395
