year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_act_hc_rse_hes
1998,NUTS,2010,AT,0,0.232
2002,NUTS,2010,AT,0,0.3027
2004,NUTS,2010,AT,0,0.3905
2006,NUTS,2010,AT,0,0.448
2007,NUTS,2010,AT,0,0.5081
2009,NUTS,2010,AT,0,0.5693
2011,NUTS,2010,AT,0,0.6369
2013,NUTS,2010,AT,0,0.6676
2015,NUTS,2010,AT,0,0.7191
2017,NUTS,2010,AT,0,0.7293
2019,NUTS,2010,AT,0,0.8103
2011,NUTS,2010,AT1,1,0.8118
2013,NUTS,2010,AT1,1,0.8567
2019,NUTS,2010,AT1,1,0.9934
2011,NUTS,2010,AT11,2,0.0768
2013,NUTS,2010,AT11,2,0.1
2019,NUTS,2010,AT11,2,0.1304
2002,NUTS,2010,AT12,2,0.0097
2004,NUTS,2010,AT12,2,0.0161
2006,NUTS,2010,AT12,2,0.0271
2007,NUTS,2010,AT12,2,0.0313
2009,NUTS,2010,AT12,2,0.043
2011,NUTS,2010,AT12,2,0.0591
2013,NUTS,2010,AT12,2,0.1033
2015,NUTS,2010,AT12,2,0.121
2017,NUTS,2010,AT12,2,0.149
2019,NUTS,2010,AT12,2,0.2076
2002,NUTS,2010,AT13,2,0.8239
2004,NUTS,2010,AT13,2,1.0819
2006,NUTS,2010,AT13,2,1.1947
2007,NUTS,2010,AT13,2,1.3681
2009,NUTS,2010,AT13,2,1.5193
2011,NUTS,2010,AT13,2,1.6395
2013,NUTS,2010,AT13,2,1.6564
2015,NUTS,2010,AT13,2,1.7226
2017,NUTS,2010,AT13,2,1.6561
2019,NUTS,2010,AT13,2,1.819
2006,NUTS,2010,AT2,1,0.4049
2007,NUTS,2010,AT2,1,0.4833
2009,NUTS,2010,AT2,1,0.5723
2011,NUTS,2010,AT2,1,0.6415
2013,NUTS,2010,AT2,1,0.6426
2017,NUTS,2010,AT2,1,0.7621
2019,NUTS,2010,AT2,1,0.8577
2006,NUTS,2010,AT21,2,0.1627
2007,NUTS,2010,AT21,2,0.1988
2009,NUTS,2010,AT21,2,0.2011
2011,NUTS,2010,AT21,2,0.2335
2013,NUTS,2010,AT21,2,0.2345
2015,NUTS,2010,AT21,2,0.2225
2017,NUTS,2010,AT21,2,0.2702
2019,NUTS,2010,AT21,2,0.3333
2002,NUTS,2010,AT22,2,0.359
2004,NUTS,2010,AT22,2,0.4339
2006,NUTS,2010,AT22,2,0.5121
2007,NUTS,2010,AT22,2,0.6103
2009,NUTS,2010,AT22,2,0.7372
2011,NUTS,2010,AT22,2,0.8225
2013,NUTS,2010,AT22,2,0.8272
2015,NUTS,2010,AT22,2,0.9558
2017,NUTS,2010,AT22,2,0.979
2019,NUTS,2010,AT22,2,1.0859
2002,NUTS,2010,AT3,1,0.1881
2011,NUTS,2010,AT3,1,0.41
2013,NUTS,2010,AT3,1,0.4407
