year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_pc_act_fte
1998,NUTS,2010,AT,0,0.1586
2002,NUTS,2010,AT,0,0.2212
2004,NUTS,2010,AT,0,0.2705
2006,NUTS,2010,AT,0,0.3101
2007,NUTS,2010,AT,0,0.35
2009,NUTS,2010,AT,0,0.4032
2011,NUTS,2010,AT,0,0.4324
2013,NUTS,2010,AT,0,0.4622
2015,NUTS,2010,AT,0,0.4963
2017,NUTS,2010,AT,0,0.5384
2019,NUTS,2010,AT,0,0.5961
2002,NUTS,2010,AT1,1,0.3193
2004,NUTS,2010,AT1,1,0.3812
2006,NUTS,2010,AT1,1,0.432
2007,NUTS,2010,AT1,1,0.4978
2009,NUTS,2010,AT1,1,0.5692
2011,NUTS,2010,AT1,1,0.5967
2013,NUTS,2010,AT1,1,0.6043
2015,NUTS,2010,AT1,1,0.6346
2017,NUTS,2010,AT1,1,0.6544
2019,NUTS,2010,AT1,1,0.7286
2002,NUTS,2010,AT11,2,0.0452
2004,NUTS,2010,AT11,2,0.0506
2006,NUTS,2010,AT11,2,0.0623
2007,NUTS,2010,AT11,2,0.0531
2009,NUTS,2010,AT11,2,0.0502
2011,NUTS,2010,AT11,2,0.0738
2013,NUTS,2010,AT11,2,0.0705
2015,NUTS,2010,AT11,2,0.0779
2017,NUTS,2010,AT11,2,0.101
2019,NUTS,2010,AT11,2,0.0897
2002,NUTS,2010,AT12,2,0.0542
2004,NUTS,2010,AT12,2,0.065
2006,NUTS,2010,AT12,2,0.0975
2007,NUTS,2010,AT12,2,0.1017
2009,NUTS,2010,AT12,2,0.1207
2011,NUTS,2010,AT12,2,0.1562
2013,NUTS,2010,AT12,2,0.1712
2015,NUTS,2010,AT12,2,0.186
2017,NUTS,2010,AT12,2,0.2107
2019,NUTS,2010,AT12,2,0.2968
2002,NUTS,2010,AT13,2,0.6038
2004,NUTS,2010,AT13,2,0.7269
2006,NUTS,2010,AT13,2,0.7993
2007,NUTS,2010,AT13,2,0.9445
2009,NUTS,2010,AT13,2,1.0782
2011,NUTS,2010,AT13,2,1.0958
2013,NUTS,2010,AT13,2,1.0793
2015,NUTS,2010,AT13,2,1.1333
2017,NUTS,2010,AT13,2,1.1418
2019,NUTS,2010,AT13,2,1.2066
2002,NUTS,2010,AT2,1,0.1829
2004,NUTS,2010,AT2,1,0.2353
2006,NUTS,2010,AT2,1,0.2798
2007,NUTS,2010,AT2,1,0.3047
2009,NUTS,2010,AT2,1,0.3504
2011,NUTS,2010,AT2,1,0.3967
2013,NUTS,2010,AT2,1,0.4196
2015,NUTS,2010,AT2,1,0.4656
2017,NUTS,2010,AT2,1,0.5579
2019,NUTS,2010,AT2,1,0.6398
2002,NUTS,2010,AT21,2,0.1081
2004,NUTS,2010,AT21,2,0.1617
2006,NUTS,2010,AT21,2,0.1902
2007,NUTS,2010,AT21,2,0.2209
2009,NUTS,2010,AT21,2,0.2402
2011,NUTS,2010,AT21,2,0.2316
2013,NUTS,2010,AT21,2,0.2169
2015,NUTS,2010,AT21,2,0.2469
2017,NUTS,2010,AT21,2,0.4102
2019,NUTS,2010,AT21,2,0.4613
2002,NUTS,2010,AT22,2,0.2171
2004,NUTS,2010,AT22,2,0.2698
2006,NUTS,2010,AT22,2,0.3195
2007,NUTS,2010,AT22,2,0.3421
2009,NUTS,2010,AT22,2,0.3994
2011,NUTS,2010,AT22,2,0.47
2013,NUTS,2010,AT22,2,0.5113
2015,NUTS,2010,AT22,2,0.5631
2017,NUTS,2010,AT22,2,0.6231
2019,NUTS,2010,AT22,2,0.7175
2002,NUTS,2010,AT3,1,0.1214
2004,NUTS,2010,AT3,1,0.1626
2006,NUTS,2010,AT3,1,0.176
2007,NUTS,2010,AT3,1,0.1927
2009,NUTS,2010,AT3,1,0.2286
2011,NUTS,2010,AT3,1,0.2469
2013,NUTS,2010,AT3,1,0.3059
2015,NUTS,2010,AT3,1,0.3329
2017,NUTS,2010,AT3,1,0.3737
2019,NUTS,2010,AT3,1,0.4009
2002,NUTS,2010,AT31,2,0.0715
2004,NUTS,2010,AT31,2,0.0969
2006,NUTS,2010,AT31,2,0.1208
2007,NUTS,2010,AT31,2,0.1292
2009,NUTS,2010,AT31,2,0.1511
2011,NUTS,2010,AT31,2,0.1814
2013,NUTS,2010,AT31,2,0.2375
2015,NUTS,2010,AT31,2,0.2527
2017,NUTS,2010,AT31,2,0.2713
2019,NUTS,2010,AT31,2,0.3332
2002,NUTS,2010,AT32,2,0.1059
2004,NUTS,2010,AT32,2,0.145
2006,NUTS,2010,AT32,2,0.169
2007,NUTS,2010,AT32,2,0.1754
2009,NUTS,2010,AT32,2,0.2346
2011,NUTS,2010,AT32,2,0.2557
2013,NUTS,2010,AT32,2,0.3223
2015,NUTS,2010,AT32,2,0.3783
2017,NUTS,2010,AT32,2,0.41
2019,NUTS,2010,AT32,2,0.4554
2002,NUTS,2010,AT33,2,0.2695
2004,NUTS,2010,AT33,2,0.3495
2006,NUTS,2010,AT33,2,0.3564
2007,NUTS,2010,AT33,2,0.3979
2009,NUTS,2010,AT33,2,0.4512
2011,NUTS,2010,AT33,2,0.4534
2013,NUTS,2010,AT33,2,0.5145
2015,NUTS,2010,AT33,2,0.56
2017,NUTS,2010,AT33,2,0.6525
2019,NUTS,2010,AT33,2,0.6099
2002,NUTS,2010,AT34,2,0.0561
2004,NUTS,2010,AT34,2,0.0795
2006,NUTS,2010,AT34,2,0.0503
2007,NUTS,2010,AT34,2,0.0626
2009,NUTS,2010,AT34,2,0.081
2011,NUTS,2010,AT34,2,0.0829
2013,NUTS,2010,AT34,2,0.13
2015,NUTS,2010,AT34,2,0.13
2017,NUTS,2010,AT34,2,0.1638
2019,NUTS,2010,AT34,2,0.1731
2000,NUTS,2010,BE,0,0.4139
2001,NUTS,2010,BE,0,0.4484
2002,NUTS,2010,BE,0,0.4405
2003,NUTS,2010,BE,0,0.4478
2004,NUTS,2010,BE,0,0.4726
2005,NUTS,2010,BE,0,0.4808
2006,NUTS,2010,BE,0,0.5154
2007,NUTS,2010,BE,0,0.5294
2008,NUTS,2010,BE,0,0.5488
2009,NUTS,2010,BE,0,0.5582
2010,NUTS,2010,BE,0,0.5871
2011,NUTS,2010,BE,0,0.6168
2010,NUTS,2010,BE1,1,0.3722
2011,NUTS,2010,BE1,1,0.3761
2010,NUTS,2010,BE10,2,0.3722
2011,NUTS,2010,BE10,2,0.3761
2010,NUTS,2010,BE2,1,0.2539
2011,NUTS,2010,BE2,1,0.2705
2010,NUTS,2010,BE21,2,0.3979
2011,NUTS,2010,BE21,2,0.4235
2010,NUTS,2010,BE22,2,0.0536
2011,NUTS,2010,BE22,2,0.057
2010,NUTS,2010,BE23,2,0.226
2011,NUTS,2010,BE23,2,0.2361
2010,NUTS,2010,BE24,2,0.4284
2011,NUTS,2010,BE24,2,0.4623
2010,NUTS,2010,BE25,2,0.0485
2011,NUTS,2010,BE25,2,0.0617
2010,NUTS,2010,BE3,1,0.1716
2011,NUTS,2010,BE3,1,0.1955
2010,NUTS,2010,BE31,2,0.7261
2011,NUTS,2010,BE31,2,0.8758
2010,NUTS,2010,BE32,2,0.1335
2011,NUTS,2010,BE32,2,0.1448
2010,NUTS,2010,BE33,2,0.0633
2011,NUTS,2010,BE33,2,0.0663
2010,NUTS,2010,BE34,2,0.0484
2011,NUTS,2010,BE34,2,0.0534
2010,NUTS,2010,BE35,2,0.0903
2011,NUTS,2010,BE35,2,0.1054
2000,NUTS,2010,BG,0,0.2791
2001,NUTS,2010,BG,0,0.2678
2002,NUTS,2010,BG,0,0.2787
2003,NUTS,2010,BG,0,0.298
2004,NUTS,2010,BG,0,0.3024
2005,NUTS,2010,BG,0,0.3054
2006,NUTS,2010,BG,0,0.294
2007,NUTS,2010,BG,0,0.3286
2008,NUTS,2010,BG,0,0.3318
2009,NUTS,2010,BG,0,0.3616
2010,NUTS,2010,BG,0,0.3516
2011,NUTS,2010,BG,0,0.387
2012,NUTS,2010,BG,0,0.3643
2013,NUTS,2010,BG,0,0.3997
2014,NUTS,2010,BG,0,0.4267
2015,NUTS,2010,BG,0,0.4465
2016,NUTS,2010,BG,0,0.5239
2017,NUTS,2010,BG,0,0.4604
2018,NUTS,2010,BG,0,0.4899
2019,NUTS,2010,BG,0,0.5022
2003,NUTS,2010,BG3,1,0.1007
2004,NUTS,2010,BG3,1,0.1087
2005,NUTS,2010,BG3,1,0.1025
2006,NUTS,2010,BG3,1,0.1111
2007,NUTS,2010,BG3,1,0.1257
2008,NUTS,2010,BG3,1,0.1378
2009,NUTS,2010,BG3,1,0.1594
2010,NUTS,2010,BG3,1,0.1466
2011,NUTS,2010,BG3,1,0.1473
2012,NUTS,2010,BG3,1,0.1649
2013,NUTS,2010,BG3,1,0.1802
2014,NUTS,2010,BG3,1,0.2082
2015,NUTS,2010,BG3,1,0.2377
2016,NUTS,2010,BG3,1,0.2204
2017,NUTS,2010,BG3,1,0.2193
2018,NUTS,2010,BG3,1,0.2522
2019,NUTS,2010,BG3,1,0.2631
2003,NUTS,2010,BG31,2,0.0619
2004,NUTS,2010,BG31,2,0.077
2005,NUTS,2010,BG31,2,0.0738
2006,NUTS,2010,BG31,2,0.0778
2007,NUTS,2010,BG31,2,0.0933
2008,NUTS,2010,BG31,2,0.0811
2009,NUTS,2010,BG31,2,0.0614
2010,NUTS,2010,BG31,2,0.0872
2011,NUTS,2010,BG31,2,0.0715
2012,NUTS,2010,BG31,2,0.1181
2013,NUTS,2010,BG31,2,0.1218
2014,NUTS,2010,BG31,2,0.1039
2015,NUTS,2010,BG31,2,0.1583
2016,NUTS,2010,BG31,2,0.1911
2017,NUTS,2010,BG31,2,0.1814
2018,NUTS,2010,BG31,2,0.2067
2019,NUTS,2010,BG31,2,0.2255
2003,NUTS,2010,BG32,2,0.0682
