year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_total_hc
1998,NUTS,2010,AT,0,15058.0
2002,NUTS,2010,AT,0,18542.0
2004,NUTS,2010,AT,0,21911.0
2006,NUTS,2010,AT,0,24730.0
2007,NUTS,2010,AT,0,26571.0
2009,NUTS,2010,AT,0,29979.0
2011,NUTS,2010,AT,0,33014.0
2013,NUTS,2010,AT,0,35719.0
2015,NUTS,2010,AT,0,38084.0
2017,NUTS,2010,AT,0,40094.0
2019,NUTS,2010,AT,0,44293.0
2002,NUTS,2010,AT1,1,11197.0
2004,NUTS,2010,AT1,1,13137.0
2006,NUTS,2010,AT1,1,14282.0
2007,NUTS,2010,AT1,1,15088.0
2009,NUTS,2010,AT1,1,16902.0
2011,NUTS,2010,AT1,1,17957.0
2013,NUTS,2010,AT1,1,19317.0
2015,NUTS,2010,AT1,1,20245.0
2017,NUTS,2010,AT1,1,20952.0
2019,NUTS,2010,AT1,1,23169.0
2002,NUTS,2010,AT11,2,116.0
2004,NUTS,2010,AT11,2,156.0
2006,NUTS,2010,AT11,2,153.0
2007,NUTS,2010,AT11,2,159.0
2009,NUTS,2010,AT11,2,205.0
2011,NUTS,2010,AT11,2,241.0
2013,NUTS,2010,AT11,2,289.0
2015,NUTS,2010,AT11,2,253.0
2017,NUTS,2010,AT11,2,290.0
2019,NUTS,2010,AT11,2,268.0
2002,NUTS,2010,AT12,2,786.0
2004,NUTS,2010,AT12,2,970.0
2006,NUTS,2010,AT12,2,1305.0
2007,NUTS,2010,AT12,2,1360.0
2009,NUTS,2010,AT12,2,1671.0
2011,NUTS,2010,AT12,2,1777.0
2013,NUTS,2010,AT12,2,2164.0
2015,NUTS,2010,AT12,2,2433.0
2017,NUTS,2010,AT12,2,2715.0
2019,NUTS,2010,AT12,2,3265.0
2002,NUTS,2010,AT13,2,10295.0
2004,NUTS,2010,AT13,2,12011.0
2006,NUTS,2010,AT13,2,12824.0
2007,NUTS,2010,AT13,2,13569.0
2009,NUTS,2010,AT13,2,15026.0
2011,NUTS,2010,AT13,2,15939.0
2013,NUTS,2010,AT13,2,16864.0
2015,NUTS,2010,AT13,2,17559.0
2017,NUTS,2010,AT13,2,17947.0
2019,NUTS,2010,AT13,2,19635.0
2002,NUTS,2010,AT2,1,3593.0
2004,NUTS,2010,AT2,1,4137.0
2006,NUTS,2010,AT2,1,4948.0
2007,NUTS,2010,AT2,1,5520.0
2009,NUTS,2010,AT2,1,6311.0
2011,NUTS,2010,AT2,1,7323.0
2013,NUTS,2010,AT2,1,7675.0
2015,NUTS,2010,AT2,1,8289.0
2017,NUTS,2010,AT2,1,8732.0
2019,NUTS,2010,AT2,1,9809.0
2002,NUTS,2010,AT21,2,460.0
2004,NUTS,2010,AT21,2,579.0
2006,NUTS,2010,AT21,2,720.0
2007,NUTS,2010,AT21,2,768.0
2009,NUTS,2010,AT21,2,849.0
2011,NUTS,2010,AT21,2,915.0
2013,NUTS,2010,AT21,2,932.0
2015,NUTS,2010,AT21,2,973.0
2017,NUTS,2010,AT21,2,1213.0
2019,NUTS,2010,AT21,2,1441.0
2002,NUTS,2010,AT22,2,3133.0
