year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_f_fte_rse
1998,NUTS,2010,AT,0,289.0
2002,NUTS,2010,AT,0,319.0
2004,NUTS,2010,AT,0,331.0
2006,NUTS,2010,AT,0,465.0
2007,NUTS,2010,AT,0,486.0
2009,NUTS,2010,AT,0,601.0
2011,NUTS,2010,AT,0,622.0
2013,NUTS,2010,AT,0,664.0
2015,NUTS,2010,AT,0,728.0
2017,NUTS,2010,AT,0,1313.0
2019,NUTS,2010,AT,0,1398.0
2002,NUTS,2010,AT1,1,273.0
2004,NUTS,2010,AT1,1,273.0
2011,NUTS,2010,AT1,1,489.0
2013,NUTS,2010,AT1,1,494.0
2019,NUTS,2010,AT1,1,1144.0
2002,NUTS,2010,AT11,2,3.0
2004,NUTS,2010,AT11,2,3.0
2011,NUTS,2010,AT11,2,3.0
2013,NUTS,2010,AT11,2,2.0
2002,NUTS,2010,AT12,2,13.0
2004,NUTS,2010,AT12,2,15.0
2006,NUTS,2010,AT12,2,19.0
2007,NUTS,2010,AT12,2,21.0
2009,NUTS,2010,AT12,2,26.0
2011,NUTS,2010,AT12,2,33.0
2013,NUTS,2010,AT12,2,34.0
2015,NUTS,2010,AT12,2,61.0
2017,NUTS,2010,AT12,2,78.0
2002,NUTS,2010,AT13,2,258.0
2004,NUTS,2010,AT13,2,255.0
2006,NUTS,2010,AT13,2,360.0
2007,NUTS,2010,AT13,2,382.0
2009,NUTS,2010,AT13,2,457.0
2011,NUTS,2010,AT13,2,453.0
2013,NUTS,2010,AT13,2,458.0
2015,NUTS,2010,AT13,2,494.0
2017,NUTS,2010,AT13,2,981.0
2019,NUTS,2010,AT13,2,1050.0
2002,NUTS,2010,AT2,1,19.0
2004,NUTS,2010,AT2,1,27.0
2006,NUTS,2010,AT2,1,35.0
2015,NUTS,2010,AT2,1,49.0
2019,NUTS,2010,AT2,1,104.0
2002,NUTS,2010,AT21,2,4.0
2004,NUTS,2010,AT21,2,8.0
2006,NUTS,2010,AT21,2,10.0
2011,NUTS,2010,AT21,2,10.0
2002,NUTS,2010,AT22,2,15.0
2004,NUTS,2010,AT22,2,19.0
2006,NUTS,2010,AT22,2,24.0
2009,NUTS,2010,AT22,2,33.0
2002,NUTS,2010,AT3,1,26.0
2004,NUTS,2010,AT3,1,31.0
2007,NUTS,2010,AT3,1,51.0
2019,NUTS,2010,AT3,1,150.0
2002,NUTS,2010,AT31,2,8.0
2004,NUTS,2010,AT31,2,11.0
2006,NUTS,2010,AT31,2,22.0
2007,NUTS,2010,AT31,2,20.0
2009,NUTS,2010,AT31,2,19.0
2011,NUTS,2010,AT31,2,15.0
2013,NUTS,2010,AT31,2,14.0
2015,NUTS,2010,AT31,2,24.0
2017,NUTS,2010,AT31,2,42.0
2019,NUTS,2010,AT31,2,45.0
2002,NUTS,2010,AT32,2,9.0
2004,NUTS,2010,AT32,2,12.0
