year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_fte_rse_f
2011,NUTS,2010,AT,0,622.0
2013,NUTS,2010,AT,0,664.0
2015,NUTS,2010,AT,0,728.0
2017,NUTS,2010,AT,0,1313.0
2019,NUTS,2010,AT,0,1398.0
2011,NUTS,2010,AT1,1,489.0
2013,NUTS,2010,AT1,1,494.0
2019,NUTS,2010,AT1,1,1144.0
2011,NUTS,2010,AT11,2,3.0
2013,NUTS,2010,AT11,2,2.0
2011,NUTS,2010,AT12,2,33.0
2013,NUTS,2010,AT12,2,34.0
2015,NUTS,2010,AT12,2,61.0
2017,NUTS,2010,AT12,2,78.0
2011,NUTS,2010,AT13,2,453.0
2013,NUTS,2010,AT13,2,458.0
2015,NUTS,2010,AT13,2,494.0
2017,NUTS,2010,AT13,2,981.0
2019,NUTS,2010,AT13,2,1050.0
2015,NUTS,2010,AT2,1,49.0
2019,NUTS,2010,AT2,1,104.0
2011,NUTS,2010,AT21,2,10.0
2019,NUTS,2010,AT3,1,150.0
2011,NUTS,2010,AT31,2,15.0
2013,NUTS,2010,AT31,2,14.0
2015,NUTS,2010,AT31,2,24.0
2017,NUTS,2010,AT31,2,42.0
2019,NUTS,2010,AT31,2,45.0
2015,NUTS,2010,AT32,2,74.0
2017,NUTS,2010,AT32,2,74.0
2019,NUTS,2010,AT32,2,70.0
2013,NUTS,2010,AT33,2,13.0
2019,NUTS,2010,AT33,2,19.0
2011,NUTS,2010,AT34,2,9.0
2013,NUTS,2010,AT34,2,10.0
2015,NUTS,2010,AT34,2,12.0
2017,NUTS,2010,AT34,2,11.0
2019,NUTS,2010,AT34,2,16.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,13.0
2013,NUTS,2010,BA,0,24.0
2014,NUTS,2010,BA,0,21.0
2019,NUTS,2010,BA,0,16.0
2011,NUTS,2010,BE,0,934.0
2012,NUTS,2010,BE,0,1240.0
2013,NUTS,2010,BE,0,1271.0
2014,NUTS,2010,BE,0,1438.0
2015,NUTS,2010,BE,0,1459.0
2016,NUTS,2010,BE,0,1520.0
2017,NUTS,2010,BE,0,1634.0
2018,NUTS,2010,BE,0,1870.0
2019,NUTS,2010,BE,0,1923.0
2011,NUTS,2010,BE1,1,263.0
2012,NUTS,2010,BE1,1,440.0
2013,NUTS,2010,BE1,1,450.0
2014,NUTS,2010,BE1,1,474.0
2015,NUTS,2010,BE1,1,505.0
2016,NUTS,2010,BE1,1,536.0
2017,NUTS,2010,BE1,1,534.0
2018,NUTS,2010,BE1,1,584.0
2019,NUTS,2010,BE1,1,619.0
2011,NUTS,2010,BE10,2,263.0
2012,NUTS,2010,BE10,2,440.0
2013,NUTS,2010,BE10,2,450.0
2014,NUTS,2010,BE10,2,474.0
2015,NUTS,2010,BE10,2,505.0
2016,NUTS,2010,BE10,2,536.0
2017,NUTS,2010,BE10,2,534.0
2018,NUTS,2010,BE10,2,584.0
2019,NUTS,2010,BE10,2,619.0
2011,NUTS,2010,BE2,1,629.0
2012,NUTS,2010,BE2,1,735.0
2013,NUTS,2010,BE2,1,759.0
2014,NUTS,2010,BE2,1,861.0
2015,NUTS,2010,BE2,1,849.0
2016,NUTS,2010,BE2,1,906.0
2017,NUTS,2010,BE2,1,1023.0
2018,NUTS,2010,BE2,1,1198.0
2019,NUTS,2010,BE2,1,1216.0
2011,NUTS,2010,BE3,1,42.0
2012,NUTS,2010,BE3,1,65.0
2013,NUTS,2010,BE3,1,63.0
2014,NUTS,2010,BE3,1,103.0
2015,NUTS,2010,BE3,1,106.0
2016,NUTS,2010,BE3,1,78.0
2017,NUTS,2010,BE3,1,77.0
2018,NUTS,2010,BE3,1,88.0
2019,NUTS,2010,BE3,1,87.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,3168.0
2012,NUTS,2010,BG,0,2946.0
2013,NUTS,2010,BG,0,3020.0
2014,NUTS,2010,BG,0,2947.0
2015,NUTS,2010,BG,0,2643.0
2016,NUTS,2010,BG,0,2714.0
2017,NUTS,2010,BG,0,2648.0
2018,NUTS,2010,BG,0,2533.0
2019,NUTS,2010,BG,0,2637.0
2011,NUTS,2010,BG3,1,255.0
2012,NUTS,2010,BG3,1,298.0
2013,NUTS,2010,BG3,1,295.0
2014,NUTS,2010,BG3,1,238.0
2015,NUTS,2010,BG3,1,219.0
2016,NUTS,2010,BG3,1,221.0
2017,NUTS,2010,BG3,1,228.0
2018,NUTS,2010,BG3,1,224.0
2011,NUTS,2010,BG31,2,75.0
2012,NUTS,2010,BG31,2,89.0
2013,NUTS,2010,BG31,2,80.0
2014,NUTS,2010,BG31,2,69.0
2015,NUTS,2010,BG31,2,68.0
2016,NUTS,2010,BG31,2,66.0
2018,NUTS,2010,BG31,2,72.0
2011,NUTS,2010,BG32,2,23.0
2012,NUTS,2010,BG32,2,20.0
2013,NUTS,2010,BG32,2,37.0
2014,NUTS,2010,BG32,2,19.0
2019,NUTS,2010,BG32,2,13.0
2011,NUTS,2010,BG33,2,94.0
2012,NUTS,2010,BG33,2,118.0
2013,NUTS,2010,BG33,2,116.0
2014,NUTS,2010,BG33,2,96.0
2015,NUTS,2010,BG33,2,84.0
2017,NUTS,2010,BG33,2,86.0
2018,NUTS,2010,BG33,2,88.0
2019,NUTS,2010,BG33,2,104.0
2011,NUTS,2010,BG34,2,63.0
2012,NUTS,2010,BG34,2,71.0
2013,NUTS,2010,BG34,2,62.0
2014,NUTS,2010,BG34,2,54.0
2016,NUTS,2010,BG34,2,53.0
2011,NUTS,2010,BG4,1,2913.0
2012,NUTS,2010,BG4,1,2648.0
2013,NUTS,2010,BG4,1,2725.0
2014,NUTS,2010,BG4,1,2709.0
2015,NUTS,2010,BG4,1,2424.0
2016,NUTS,2010,BG4,1,2493.0
2017,NUTS,2010,BG4,1,2420.0
2018,NUTS,2010,BG4,1,2309.0
2011,NUTS,2010,BG41,2,2728.0
2012,NUTS,2010,BG41,2,2464.0
2013,NUTS,2010,BG41,2,2547.0
2014,NUTS,2010,BG41,2,2493.0
2015,NUTS,2010,BG41,2,2259.0
2016,NUTS,2010,BG41,2,2320.0
2017,NUTS,2010,BG41,2,2243.0
2018,NUTS,2010,BG41,2,2140.0
2019,NUTS,2010,BG41,2,2200.0
2011,NUTS,2010,BG42,2,185.0
2012,NUTS,2010,BG42,2,184.0
2013,NUTS,2010,BG42,2,178.0
2014,NUTS,2010,BG42,2,216.0
2015,NUTS,2010,BG42,2,165.0
2016,NUTS,2010,BG42,2,173.0
2017,NUTS,2010,BG42,2,177.0
2018,NUTS,2010,BG42,2,169.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,45.0
2012,NUTS,2010,CY,0,42.0
2013,NUTS,2010,CY,0,42.0
2014,NUTS,2010,CY,0,45.0
2015,NUTS,2010,CY,0,45.0
2016,NUTS,2010,CY,0,42.0
2017,NUTS,2010,CY,0,49.0
2018,NUTS,2010,CY,0,48.0
2019,NUTS,2010,CY,0,56.0
2011,NUTS,2010,CZ,0,2485.0
2012,NUTS,2010,CZ,0,2351.0
2013,NUTS,2010,CZ,0,2572.0
2014,NUTS,2010,CZ,0,2588.0
2015,NUTS,2010,CZ,0,2813.0
2016,NUTS,2010,CZ,0,2876.0
2017,NUTS,2010,CZ,0,3075.0
2018,NUTS,2010,CZ,0,3010.0
2019,NUTS,2010,CZ,0,3111.0
2020,NUTS,2010,CZ,0,3162.0
2011,NUTS,2010,CZ0,1,2485.0
2012,NUTS,2010,CZ0,1,2351.0
2013,NUTS,2010,CZ0,1,2572.0
2014,NUTS,2010,CZ0,1,2588.0
2015,NUTS,2010,CZ0,1,2813.0
2016,NUTS,2010,CZ0,1,2876.0
2017,NUTS,2010,CZ0,1,3075.0
2018,NUTS,2010,CZ0,1,3010.0
2019,NUTS,2010,CZ0,1,3111.0
2020,NUTS,2010,CZ0,1,3162.0
2011,NUTS,2010,CZ01,2,1898.0
2012,NUTS,2010,CZ01,2,1832.0
2013,NUTS,2010,CZ01,2,1855.0
2014,NUTS,2010,CZ01,2,1881.0
2015,NUTS,2010,CZ01,2,1910.0
2016,NUTS,2010,CZ01,2,1897.0
2017,NUTS,2010,CZ01,2,2112.0
2018,NUTS,2010,CZ01,2,2038.0
2019,NUTS,2010,CZ01,2,2068.0
2020,NUTS,2010,CZ01,2,2116.0
2011,NUTS,2010,CZ02,2,150.0
2012,NUTS,2010,CZ02,2,107.0
2013,NUTS,2010,CZ02,2,160.0
2014,NUTS,2010,CZ02,2,160.0
2015,NUTS,2010,CZ02,2,292.0
