year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_pc_act_hc_f
2011,NUTS,2010,AT,0,0.075
2013,NUTS,2010,AT,0,0.079
2015,NUTS,2010,AT,0,0.0855
2017,NUTS,2010,AT,0,0.1295
2019,NUTS,2010,AT,0,0.1406
2011,NUTS,2010,AT1,1,0.1332
2013,NUTS,2010,AT1,1,0.1369
2019,NUTS,2010,AT1,1,0.2604
2011,NUTS,2010,AT11,2,0.0125
2013,NUTS,2010,AT11,2,0.0123
2011,NUTS,2010,AT12,2,0.016
2013,NUTS,2010,AT12,2,0.0185
2015,NUTS,2010,AT12,2,0.0297
2017,NUTS,2010,AT12,2,0.0442
2011,NUTS,2010,AT13,2,0.263
2013,NUTS,2010,AT13,2,0.2635
2015,NUTS,2010,AT13,2,0.2779
2017,NUTS,2010,AT13,2,0.4416
2019,NUTS,2010,AT13,2,0.4895
2015,NUTS,2010,AT2,1,0.0269
2019,NUTS,2010,AT2,1,0.0521
2011,NUTS,2010,AT21,2,0.025
2019,NUTS,2010,AT3,1,0.0446
2011,NUTS,2010,AT31,2,0.0156
2013,NUTS,2010,AT31,2,0.0115
2015,NUTS,2010,AT31,2,0.0185
2017,NUTS,2010,AT31,2,0.0257
2019,NUTS,2010,AT31,2,0.0252
2015,NUTS,2010,AT32,2,0.1112
2017,NUTS,2010,AT32,2,0.1044
2019,NUTS,2010,AT32,2,0.099
2013,NUTS,2010,AT33,2,0.0263
2019,NUTS,2010,AT33,2,0.0394
2011,NUTS,2010,AT34,2,0.0312
2013,NUTS,2010,AT34,2,0.0325
2015,NUTS,2010,AT34,2,0.0389
2017,NUTS,2010,AT34,2,0.042
2019,NUTS,2010,AT34,2,0.0493
2011,NUTS,2010,BE,0,0.049
2012,NUTS,2010,BE,0,0.0642
2013,NUTS,2010,BE,0,0.0658
2014,NUTS,2010,BE,0,0.072
2015,NUTS,2010,BE,0,0.0733
2016,NUTS,2010,BE,0,0.076
2017,NUTS,2010,BE,0,0.079
2018,NUTS,2010,BE,0,0.0886
2019,NUTS,2010,BE,0,0.0903
2011,NUTS,2010,BE1,1,0.1348
2012,NUTS,2010,BE1,1,0.2281
2013,NUTS,2010,BE1,1,0.2342
2014,NUTS,2010,BE1,1,0.2347
2015,NUTS,2010,BE1,1,0.2487
2016,NUTS,2010,BE1,1,0.2537
2017,NUTS,2010,BE1,1,0.2529
2018,NUTS,2010,BE1,1,0.2725
2019,NUTS,2010,BE1,1,0.2859
2011,NUTS,2010,BE10,2,0.1348
2012,NUTS,2010,BE10,2,0.2281
2013,NUTS,2010,BE10,2,0.2342
2014,NUTS,2010,BE10,2,0.2347
2015,NUTS,2010,BE10,2,0.2487
2016,NUTS,2010,BE10,2,0.2537
2017,NUTS,2010,BE10,2,0.2529
2018,NUTS,2010,BE10,2,0.2725
2019,NUTS,2010,BE10,2,0.2859
2011,NUTS,2010,BE2,1,0.0557
2012,NUTS,2010,BE2,1,0.0626
2013,NUTS,2010,BE2,1,0.0646
2014,NUTS,2010,BE2,1,0.0714
2015,NUTS,2010,BE2,1,0.0706
2016,NUTS,2010,BE2,1,0.0759
2017,NUTS,2010,BE2,1,0.0811
2018,NUTS,2010,BE2,1,0.0924
2019,NUTS,2010,BE2,1,0.093
2011,NUTS,2010,BE3,1,0.0067
2012,NUTS,2010,BE3,1,0.0114
2013,NUTS,2010,BE3,1,0.0108
2014,NUTS,2010,BE3,1,0.0175
2015,NUTS,2010,BE3,1,0.0181
2016,NUTS,2010,BE3,1,0.013
2017,NUTS,2010,BE3,1,0.0132
2018,NUTS,2010,BE3,1,0.0144
2019,NUTS,2010,BE3,1,0.0143
2011,NUTS,2010,BG,0,0.2106
2012,NUTS,2010,BG,0,0.1966
2013,NUTS,2010,BG,0,0.1986
2014,NUTS,2010,BG,0,0.1963
2015,NUTS,2010,BG,0,0.1761
2016,NUTS,2010,BG,0,0.1962
2017,NUTS,2010,BG,0,0.1875
2018,NUTS,2010,BG,0,0.1824
2019,NUTS,2010,BG,0,0.1834
2011,NUTS,2010,BG3,1,0.0366
2012,NUTS,2010,BG3,1,0.0427
2013,NUTS,2010,BG3,1,0.0419
2014,NUTS,2010,BG3,1,0.036
2015,NUTS,2010,BG3,1,0.033
2017,NUTS,2010,BG3,1,0.0341
2018,NUTS,2010,BG3,1,0.0342
2011,NUTS,2010,BG31,2,0.0488
2012,NUTS,2010,BG31,2,0.0597
2013,NUTS,2010,BG31,2,0.0527
2014,NUTS,2010,BG31,2,0.0454
2015,NUTS,2010,BG31,2,0.0462
2016,NUTS,2010,BG31,2,0.0483
2018,NUTS,2010,BG31,2,0.0513
2011,NUTS,2010,BG32,2,0.0171
2012,NUTS,2010,BG32,2,0.016
2013,NUTS,2010,BG32,2,0.0261
2014,NUTS,2010,BG32,2,0.0157
2019,NUTS,2010,BG32,2,0.01
2011,NUTS,2010,BG33,2,0.0511
2012,NUTS,2010,BG33,2,0.0617
2013,NUTS,2010,BG33,2,0.06
2014,NUTS,2010,BG33,2,0.0552
2015,NUTS,2010,BG33,2,0.0478
2016,NUTS,2010,BG33,2,0.0511
2018,NUTS,2010,BG33,2,0.0509
2019,NUTS,2010,BG33,2,0.0585
2011,NUTS,2010,BG34,2,0.03
2012,NUTS,2010,BG34,2,0.0342
2013,NUTS,2010,BG34,2,0.0296
2014,NUTS,2010,BG34,2,0.0267
2016,NUTS,2010,BG34,2,0.0257
2011,NUTS,2010,BG4,1,0.3639
2012,NUTS,2010,BG4,1,0.3309
2013,NUTS,2010,BG4,1,0.3319
2014,NUTS,2010,BG4,1,0.3296
2015,NUTS,2010,BG4,1,0.2973
2017,NUTS,2010,BG4,1,0.3138
2018,NUTS,2010,BG4,1,0.3015
2011,NUTS,2010,BG41,2,0.5412
2012,NUTS,2010,BG41,2,0.4958
2013,NUTS,2010,BG41,2,0.5021
2014,NUTS,2010,BG41,2,0.4897
2015,NUTS,2010,BG41,2,0.4387
