year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_t_pc_emp_fte_total
1998,NUTS,2010,AT,0,0.0576
2002,NUTS,2010,AT,0,0.0559
2004,NUTS,2010,AT,0,0.0557
2005,NUTS,2010,AT,0,0.0625
2006,NUTS,2010,AT,0,0.064
2007,NUTS,2010,AT,0,0.0644
2008,NUTS,2010,AT,0,0.069
2009,NUTS,2010,AT,0,0.0685
2010,NUTS,2010,AT,0,0.0679
2011,NUTS,2010,AT,0,0.0645
2012,NUTS,2010,AT,0,0.0634
2013,NUTS,2010,AT,0,0.063
2014,NUTS,2010,AT,0,0.0655
2015,NUTS,2010,AT,0,0.0657
2016,NUTS,2010,AT,0,0.1257
2017,NUTS,2010,AT,0,0.1258
2018,NUTS,2010,AT,0,0.131
2019,NUTS,2010,AT,0,0.1279
2020,NUTS,2010,AT,0,0.1271
2002,NUTS,2010,AT1,1,0.1048
2004,NUTS,2010,AT1,1,0.1032
2011,NUTS,2010,AT1,1,0.1118
2013,NUTS,2010,AT1,1,0.1046
2019,NUTS,2010,AT1,1,0.2261
2002,NUTS,2010,AT11,2,0.0165
2004,NUTS,2010,AT11,2,0.0192
2011,NUTS,2010,AT11,2,0.0137
2013,NUTS,2010,AT11,2,0.0137
2002,NUTS,2010,AT12,2,0.0251
2004,NUTS,2010,AT12,2,0.0255
2006,NUTS,2010,AT12,2,0.0258
2007,NUTS,2010,AT12,2,0.0263
2009,NUTS,2010,AT12,2,0.0284
2011,NUTS,2010,AT12,2,0.0276
2013,NUTS,2010,AT12,2,0.0279
2015,NUTS,2010,AT12,2,0.0424
2017,NUTS,2010,AT12,2,0.06
2002,NUTS,2010,AT13,2,0.1987
2004,NUTS,2010,AT13,2,0.1965
2006,NUTS,2010,AT13,2,0.2217
2007,NUTS,2010,AT13,2,0.2286
2009,NUTS,2010,AT13,2,0.2411
2011,NUTS,2010,AT13,2,0.2138
2013,NUTS,2010,AT13,2,0.1953
2015,NUTS,2010,AT13,2,0.1963
2017,NUTS,2010,AT13,2,0.4068
2019,NUTS,2010,AT13,2,0.4105
2002,NUTS,2010,AT2,1,0.0291
