year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_fte
2011,NUTS,2010,AT,0,2567.0
2012,NUTS,2010,AT,0,2544.0
2013,NUTS,2010,AT,0,2538.0
2014,NUTS,2010,AT,0,2641.0
2015,NUTS,2010,AT,0,2674.0
2016,NUTS,2010,AT,0,5208.0
2017,NUTS,2010,AT,0,5266.0
2018,NUTS,2010,AT,0,5557.0
2019,NUTS,2010,AT,0,5472.0
2020,NUTS,2010,AT,0,5318.0
2011,NUTS,2010,AT1,1,1887.0
2013,NUTS,2010,AT1,1,1791.0
2019,NUTS,2010,AT1,1,4150.0
2011,NUTS,2010,AT11,2,18.0
2013,NUTS,2010,AT11,2,18.0
2011,NUTS,2010,AT12,2,216.0
2013,NUTS,2010,AT12,2,219.0
2015,NUTS,2010,AT12,2,338.0
2017,NUTS,2010,AT12,2,492.0
2011,NUTS,2010,AT13,2,1653.0
2013,NUTS,2010,AT13,2,1555.0
2015,NUTS,2010,AT13,2,1583.0
2017,NUTS,2010,AT13,2,3430.0
2019,NUTS,2010,AT13,2,3595.0
2015,NUTS,2010,AT2,1,319.0
2019,NUTS,2010,AT2,1,728.0
2011,NUTS,2010,AT21,2,40.0
2019,NUTS,2010,AT3,1,594.0
2011,NUTS,2010,AT31,2,71.0
2013,NUTS,2010,AT31,2,78.0
2015,NUTS,2010,AT31,2,104.0
2017,NUTS,2010,AT31,2,244.0
2019,NUTS,2010,AT31,2,250.0
2015,NUTS,2010,AT32,2,202.0
2017,NUTS,2010,AT32,2,193.0
2019,NUTS,2010,AT32,2,200.0
2013,NUTS,2010,AT33,2,67.0
2019,NUTS,2010,AT33,2,95.0
2011,NUTS,2010,AT34,2,36.0
2013,NUTS,2010,AT34,2,36.0
2015,NUTS,2010,AT34,2,44.0
2017,NUTS,2010,AT34,2,43.0
2019,NUTS,2010,AT34,2,50.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,126.0
2013,NUTS,2010,BA,0,168.0
2014,NUTS,2010,BA,0,153.0
2019,NUTS,2010,BA,0,67.0
2011,NUTS,2010,BE,0,4573.0
2012,NUTS,2010,BE,0,5818.0
2013,NUTS,2010,BE,0,5932.0
2014,NUTS,2010,BE,0,6381.0
2015,NUTS,2010,BE,0,6470.0
2016,NUTS,2010,BE,0,6653.0
2017,NUTS,2010,BE,0,6946.0
2018,NUTS,2010,BE,0,7530.0
2019,NUTS,2010,BE,0,7770.0
2020,NUTS,2010,BE,0,8336.0
2011,NUTS,2010,BE1,1,1096.0
