year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_pc_act_hc
2011,NUTS,2010,AT,0,0.1476
2013,NUTS,2010,AT,0,0.1456
2015,NUTS,2010,AT,0,0.1529
2017,NUTS,2010,AT,0,0.2317
2019,NUTS,2010,AT,0,0.2434
2011,NUTS,2010,AT1,1,0.2498
2013,NUTS,2010,AT1,1,0.2441
2019,NUTS,2010,AT1,1,0.4225
2011,NUTS,2010,AT11,2,0.046
2013,NUTS,2010,AT11,2,0.0485
2011,NUTS,2010,AT12,2,0.0524
2013,NUTS,2010,AT12,2,0.0545
2015,NUTS,2010,AT12,2,0.0776
2017,NUTS,2010,AT12,2,0.1045
2011,NUTS,2010,AT13,2,0.4756
2013,NUTS,2010,AT13,2,0.4531
2015,NUTS,2010,AT13,2,0.4552
2017,NUTS,2010,AT13,2,0.7136
2019,NUTS,2010,AT13,2,0.7606
2015,NUTS,2010,AT2,1,0.0682
2019,NUTS,2010,AT2,1,0.1382
2011,NUTS,2010,AT21,2,0.0381
2019,NUTS,2010,AT3,1,0.0829
2011,NUTS,2010,AT31,2,0.0385
2013,NUTS,2010,AT31,2,0.0363
2015,NUTS,2010,AT31,2,0.0458
2017,NUTS,2010,AT31,2,0.0656
2019,NUTS,2010,AT31,2,0.0649
2015,NUTS,2010,AT32,2,0.1391
2017,NUTS,2010,AT32,2,0.1268
2019,NUTS,2010,AT32,2,0.1239
2013,NUTS,2010,AT33,2,0.0569
2019,NUTS,2010,AT33,2,0.0749
2011,NUTS,2010,AT34,2,0.0892
2013,NUTS,2010,AT34,2,0.0952
2015,NUTS,2010,AT34,2,0.1097
2017,NUTS,2010,AT34,2,0.1123
2019,NUTS,2010,AT34,2,0.1074
2011,NUTS,2010,BE,0,0.1121
2012,NUTS,2010,BE,0,0.1329
2013,NUTS,2010,BE,0,0.1342
2014,NUTS,2010,BE,0,0.1431
2015,NUTS,2010,BE,0,0.147
2016,NUTS,2010,BE,0,0.1491
2017,NUTS,2010,BE,0,0.1538
2018,NUTS,2010,BE,0,0.1655
2019,NUTS,2010,BE,0,0.1693
2011,NUTS,2010,BE1,1,0.2575
2012,NUTS,2010,BE1,1,0.3885
2013,NUTS,2010,BE1,1,0.3851
2014,NUTS,2010,BE1,1,0.3276
2015,NUTS,2010,BE1,1,0.3581
2016,NUTS,2010,BE1,1,0.3607
2017,NUTS,2010,BE1,1,0.3677
2018,NUTS,2010,BE1,1,0.3983
2019,NUTS,2010,BE1,1,0.3946
2011,NUTS,2010,BE10,2,0.2575
2012,NUTS,2010,BE10,2,0.3885
2013,NUTS,2010,BE10,2,0.3851
2014,NUTS,2010,BE10,2,0.3276
2015,NUTS,2010,BE10,2,0.3581
2016,NUTS,2010,BE10,2,0.3607
2017,NUTS,2010,BE10,2,0.3677
2018,NUTS,2010,BE10,2,0.3983
2019,NUTS,2010,BE10,2,0.3946
2011,NUTS,2010,BE2,1,0.1298
2012,NUTS,2010,BE2,1,0.1422
2013,NUTS,2010,BE2,1,0.1455
2014,NUTS,2010,BE2,1,0.1612
2015,NUTS,2010,BE2,1,0.1607
2016,NUTS,2010,BE2,1,0.1696
2017,NUTS,2010,BE2,1,0.1758
2018,NUTS,2010,BE2,1,0.1879
2019,NUTS,2010,BE2,1,0.1934
2011,NUTS,2010,BE3,1,0.0257
2012,NUTS,2010,BE3,1,0.0247
2013,NUTS,2010,BE3,1,0.0242
2014,NUTS,2010,BE3,1,0.04
2015,NUTS,2010,BE3,1,0.0426
2016,NUTS,2010,BE3,1,0.0296
2017,NUTS,2010,BE3,1,0.0296
2018,NUTS,2010,BE3,1,0.0318
2019,NUTS,2010,BE3,1,0.0331
2011,NUTS,2010,BG,0,0.2864
2012,NUTS,2010,BG,0,0.2906
2013,NUTS,2010,BG,0,0.2783
2014,NUTS,2010,BG,0,0.2763
2015,NUTS,2010,BG,0,0.2664
2016,NUTS,2010,BG,0,0.2705
2017,NUTS,2010,BG,0,0.2621
2018,NUTS,2010,BG,0,0.2695
2019,NUTS,2010,BG,0,0.2715
2011,NUTS,2010,BG3,1,0.0888
2012,NUTS,2010,BG3,1,0.0999
2013,NUTS,2010,BG3,1,0.0958
2014,NUTS,2010,BG3,1,0.1031
2015,NUTS,2010,BG3,1,0.0893
2016,NUTS,2010,BG3,1,0.0935
2017,NUTS,2010,BG3,1,0.0893
2018,NUTS,2010,BG3,1,0.0996
2019,NUTS,2010,BG3,1,0.102
2011,NUTS,2010,BG31,2,0.1295
2012,NUTS,2010,BG31,2,0.1585
2013,NUTS,2010,BG31,2,0.1524
2014,NUTS,2010,BG31,2,0.1496
2015,NUTS,2010,BG31,2,0.1411
2016,NUTS,2010,BG31,2,0.1444
