year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hc_hes_rse_t
1985,NUTS,2010,AT,0,9695.0
1989,NUTS,2010,AT,0,10779.0
1993,NUTS,2010,AT,0,13176.0
1998,NUTS,2010,AT,0,14960.0
2002,NUTS,2010,AT,0,17414.0
2004,NUTS,2010,AT,0,20888.0
2006,NUTS,2010,AT,0,23609.0
2007,NUTS,2010,AT,0,25967.0
2009,NUTS,2010,AT,0,29039.0
2011,NUTS,2010,AT,0,32008.0
2013,NUTS,2010,AT,0,33781.0
2015,NUTS,2010,AT,0,36699.0
2017,NUTS,2010,AT,0,37333.0
2019,NUTS,2010,AT,0,41021.0
2011,NUTS,2010,AT1,1,16693.0
2013,NUTS,2010,AT1,1,18128.0
2019,NUTS,2010,AT1,1,21202.0
2011,NUTS,2010,AT11,2,93.0
2013,NUTS,2010,AT11,2,138.0
2019,NUTS,2010,AT11,2,189.0
2002,NUTS,2010,AT12,2,87.0
2004,NUTS,2010,AT12,2,150.0
2006,NUTS,2010,AT12,2,237.0
2007,NUTS,2010,AT12,2,280.0
2009,NUTS,2010,AT12,2,404.0
2011,NUTS,2010,AT12,2,560.0
2013,NUTS,2010,AT12,2,1001.0
2015,NUTS,2010,AT12,2,1183.0
2017,NUTS,2010,AT12,2,1484.0
2019,NUTS,2010,AT12,2,1932.0
2002,NUTS,2010,AT13,2,9231.0
2004,NUTS,2010,AT13,2,10923.0
2006,NUTS,2010,AT13,2,12161.0
2007,NUTS,2010,AT13,2,13321.0
2009,NUTS,2010,AT13,2,14814.0
2011,NUTS,2010,AT13,2,16040.0
2013,NUTS,2010,AT13,2,16989.0
2015,NUTS,2010,AT13,2,17924.0
2017,NUTS,2010,AT13,2,17729.0
2019,NUTS,2010,AT13,2,19081.0
2006,NUTS,2010,AT2,1,5132.0
2007,NUTS,2010,AT2,1,5897.0
2009,NUTS,2010,AT2,1,6768.0
2011,NUTS,2010,AT2,1,7272.0
2013,NUTS,2010,AT2,1,7271.0
2017,NUTS,2010,AT2,1,8390.0
2019,NUTS,2010,AT2,1,9444.0
2006,NUTS,2010,AT21,2,519.0
2007,NUTS,2010,AT21,2,603.0
2009,NUTS,2010,AT21,2,631.0
2011,NUTS,2010,AT21,2,722.0
2013,NUTS,2010,AT21,2,706.0
2015,NUTS,2010,AT21,2,658.0
2017,NUTS,2010,AT21,2,736.0
2019,NUTS,2010,AT21,2,855.0
2002,NUTS,2010,AT22,2,3495.0
2004,NUTS,2010,AT22,2,4122.0
2006,NUTS,2010,AT22,2,4613.0
2007,NUTS,2010,AT22,2,5294.0
2009,NUTS,2010,AT22,2,6137.0
2011,NUTS,2010,AT22,2,6550.0
2013,NUTS,2010,AT22,2,6565.0
2015,NUTS,2010,AT22,2,7719.0
2017,NUTS,2010,AT22,2,7654.0
2019,NUTS,2010,AT22,2,8589.0
2002,NUTS,2010,AT3,1,4169.0
2004,NUTS,2010,AT3,1,5160.0
2011,NUTS,2010,AT3,1,8043.0
2013,NUTS,2010,AT3,1,8382.0
2019,NUTS,2010,AT3,1,10375.0
2002,NUTS,2010,AT31,2,1108.0
2004,NUTS,2010,AT31,2,1362.0
2006,NUTS,2010,AT31,2,1641.0
2007,NUTS,2010,AT31,2,1659.0
2009,NUTS,2010,AT31,2,1922.0
2011,NUTS,2010,AT31,2,2384.0
2013,NUTS,2010,AT31,2,2328.0
2015,NUTS,2010,AT31,2,2542.0
2017,NUTS,2010,AT31,2,2596.0
2019,NUTS,2010,AT31,2,2869.0
2006,NUTS,2010,AT32,2,1176.0
2007,NUTS,2010,AT32,2,1244.0
2009,NUTS,2010,AT32,2,1502.0
2011,NUTS,2010,AT32,2,1724.0
2013,NUTS,2010,AT32,2,1832.0
2015,NUTS,2010,AT32,2,2168.0
2017,NUTS,2010,AT32,2,2319.0
2019,NUTS,2010,AT32,2,2457.0
2002,NUTS,2010,AT33,2,2226.0
2004,NUTS,2010,AT33,2,2654.0
2006,NUTS,2010,AT33,2,3137.0
2007,NUTS,2010,AT33,2,3452.0
2009,NUTS,2010,AT33,2,3493.0
2011,NUTS,2010,AT33,2,3865.0
2013,NUTS,2010,AT33,2,4143.0
2015,NUTS,2010,AT33,2,4272.0
2017,NUTS,2010,AT33,2,4529.0
2019,NUTS,2010,AT33,2,4911.0
2011,NUTS,2010,AT34,2,70.0
2013,NUTS,2010,AT34,2,79.0
2019,NUTS,2010,AT34,2,138.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,609.0
2013,NUTS,2010,BA,0,986.0
2014,NUTS,2010,BA,0,1684.0
2019,NUTS,2010,BA,0,1871.0
2002,NUTS,2010,BE,0,22257.0
2003,NUTS,2010,BE,0,22319.0
2004,NUTS,2010,BE,0,25235.0
2005,NUTS,2010,BE,0,26059.0
2006,NUTS,2010,BE,0,26829.0
2007,NUTS,2010,BE,0,28002.0
2008,NUTS,2010,BE,0,29345.0
2009,NUTS,2010,BE,0,30354.0
2010,NUTS,2010,BE,0,30561.0
2011,NUTS,2010,BE,0,31353.0
2012,NUTS,2010,BE,0,31437.0
2013,NUTS,2010,BE,0,32077.0
2014,NUTS,2010,BE,0,34977.0
2015,NUTS,2010,BE,0,31909.0
2016,NUTS,2010,BE,0,32526.0
2017,NUTS,2010,BE,0,32472.0
2018,NUTS,2010,BE,0,34908.0
2019,NUTS,2010,BE,0,34623.0
2002,NUTS,2010,BE1,1,6169.0
2003,NUTS,2010,BE1,1,6061.0
2004,NUTS,2010,BE1,1,6421.0
2005,NUTS,2010,BE1,1,6495.0
2006,NUTS,2010,BE1,1,6639.0
2007,NUTS,2010,BE1,1,6963.0
2008,NUTS,2010,BE1,1,7256.0
