year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_act_hc_rse_f
2011,NUTS,2010,AT,0,0.6369
2013,NUTS,2010,AT,0,0.6676
2015,NUTS,2010,AT,0,0.7191
2017,NUTS,2010,AT,0,0.7293
2019,NUTS,2010,AT,0,0.8103
2011,NUTS,2010,AT1,1,0.8118
2013,NUTS,2010,AT1,1,0.8567
2019,NUTS,2010,AT1,1,0.9934
2011,NUTS,2010,AT11,2,0.0768
2013,NUTS,2010,AT11,2,0.1
2019,NUTS,2010,AT11,2,0.1304
2011,NUTS,2010,AT12,2,0.0591
2013,NUTS,2010,AT12,2,0.1033
2015,NUTS,2010,AT12,2,0.121
2017,NUTS,2010,AT12,2,0.149
2019,NUTS,2010,AT12,2,0.2076
2011,NUTS,2010,AT13,2,1.6395
2013,NUTS,2010,AT13,2,1.6564
2015,NUTS,2010,AT13,2,1.7226
2017,NUTS,2010,AT13,2,1.6561
2019,NUTS,2010,AT13,2,1.819
2011,NUTS,2010,AT2,1,0.6415
2013,NUTS,2010,AT2,1,0.6426
2017,NUTS,2010,AT2,1,0.7621
2019,NUTS,2010,AT2,1,0.8577
2011,NUTS,2010,AT21,2,0.2335
2013,NUTS,2010,AT21,2,0.2345
2015,NUTS,2010,AT21,2,0.2225
2017,NUTS,2010,AT21,2,0.2702
2019,NUTS,2010,AT21,2,0.3333
2011,NUTS,2010,AT22,2,0.8225
2013,NUTS,2010,AT22,2,0.8272
2015,NUTS,2010,AT22,2,0.9558
2017,NUTS,2010,AT22,2,0.979
2019,NUTS,2010,AT22,2,1.0859
2011,NUTS,2010,AT3,1,0.41
2013,NUTS,2010,AT3,1,0.4407
2019,NUTS,2010,AT3,1,0.5479
2011,NUTS,2010,AT31,2,0.218
2013,NUTS,2010,AT31,2,0.2155
2015,NUTS,2010,AT31,2,0.2475
2017,NUTS,2010,AT31,2,0.2538
2019,NUTS,2010,AT31,2,0.272
2011,NUTS,2010,AT32,2,0.5684
2013,NUTS,2010,AT32,2,0.6313
2015,NUTS,2010,AT32,2,0.7537
2017,NUTS,2010,AT32,2,0.8307
