year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2011,NUTS,2010,AT,0,0.214
2013,NUTS,2010,AT,0,0.2223
2015,NUTS,2010,AT,0,0.2407
2017,NUTS,2010,AT,0,0.2358
2019,NUTS,2010,AT,0,0.2629
2011,NUTS,2010,AT1,1,0.2906
2013,NUTS,2010,AT1,1,0.2998
2019,NUTS,2010,AT1,1,0.3443
2011,NUTS,2010,AT11,2,0.018
2013,NUTS,2010,AT11,2,0.0222
2019,NUTS,2010,AT11,2,0.0357
2011,NUTS,2010,AT12,2,0.0257
2013,NUTS,2010,AT12,2,0.0483
2015,NUTS,2010,AT12,2,0.0562
2017,NUTS,2010,AT12,2,0.0739
2019,NUTS,2010,AT12,2,0.1098
2011,NUTS,2010,AT13,2,0.5841
2013,NUTS,2010,AT13,2,0.5706
2015,NUTS,2010,AT13,2,0.601
2017,NUTS,2010,AT13,2,0.5515
2019,NUTS,2010,AT13,2,0.5983
2011,NUTS,2010,AT2,1,0.1906
2013,NUTS,2010,AT2,1,0.1953
2017,NUTS,2010,AT2,1,0.2298
2019,NUTS,2010,AT2,1,0.2508
2011,NUTS,2010,AT21,2,0.0812
2013,NUTS,2010,AT21,2,0.0843
2015,NUTS,2010,AT21,2,0.0776
2017,NUTS,2010,AT21,2,0.0945
2019,NUTS,2010,AT21,2,0.0956
2011,NUTS,2010,AT22,2,0.2392
2013,NUTS,2010,AT22,2,0.2454
2015,NUTS,2010,AT22,2,0.2885
2017,NUTS,2010,AT22,2,0.2895
2019,NUTS,2010,AT22,2,0.3183
2011,NUTS,2010,AT3,1,0.131
2013,NUTS,2010,AT3,1,0.14
2019,NUTS,2010,AT3,1,0.1669
2011,NUTS,2010,AT31,2,0.0721
2013,NUTS,2010,AT31,2,0.0764
2015,NUTS,2010,AT31,2,0.0773
2017,NUTS,2010,AT31,2,0.0778
2019,NUTS,2010,AT31,2,0.0843
2011,NUTS,2010,AT32,2,0.1639
2013,NUTS,2010,AT32,2,0.1852
2015,NUTS,2010,AT32,2,0.2305
2017,NUTS,2010,AT32,2,0.2322
2019,NUTS,2010,AT32,2,0.2546
2011,NUTS,2010,AT33,2,0.2839
2013,NUTS,2010,AT33,2,0.292
2015,NUTS,2010,AT33,2,0.3135
2017,NUTS,2010,AT33,2,0.3045
2019,NUTS,2010,AT33,2,0.3348
2011,NUTS,2010,AT34,2,0.0102
2013,NUTS,2010,AT34,2,0.0156
2019,NUTS,2010,AT34,2,0.026
2011,NUTS,2010,BE,0,0.3573
2012,NUTS,2010,BE,0,0.357
2013,NUTS,2010,BE,0,0.3602
2014,NUTS,2010,BE,0,0.3649
2015,NUTS,2010,BE,0,0.3886
2016,NUTS,2010,BE,0,0.3739
2017,NUTS,2010,BE,0,0.3774
2018,NUTS,2010,BE,0,0.3761
2019,NUTS,2010,BE,0,0.3766
2012,NUTS,2010,BE1,1,0.6096
2013,NUTS,2010,BE1,1,0.6217
2014,NUTS,2010,BE1,1,0.673
2015,NUTS,2010,BE1,1,0.7677
2016,NUTS,2010,BE1,1,0.7133
2017,NUTS,2010,BE1,1,0.7347
2018,NUTS,2010,BE1,1,0.675
2019,NUTS,2010,BE1,1,0.6552
2012,NUTS,2010,BE10,2,0.6096
2013,NUTS,2010,BE10,2,0.6217
2014,NUTS,2010,BE10,2,0.673
2015,NUTS,2010,BE10,2,0.7677
2016,NUTS,2010,BE10,2,0.7133
2017,NUTS,2010,BE10,2,0.7347
2018,NUTS,2010,BE10,2,0.675
2019,NUTS,2010,BE10,2,0.6552
2012,NUTS,2010,BE2,1,0.3587
2013,NUTS,2010,BE2,1,0.3662
2014,NUTS,2010,BE2,1,0.368
2015,NUTS,2010,BE2,1,0.3722
2016,NUTS,2010,BE2,1,0.368
2017,NUTS,2010,BE2,1,0.3708
2018,NUTS,2010,BE2,1,0.3789
2019,NUTS,2010,BE2,1,0.3858
2012,NUTS,2010,BE3,1,0.2634
2013,NUTS,2010,BE3,1,0.2544
2014,NUTS,2010,BE3,1,0.25
2015,NUTS,2010,BE3,1,0.2858
2016,NUTS,2010,BE3,1,0.2613
2017,NUTS,2010,BE3,1,0.2594
2018,NUTS,2010,BE3,1,0.2562
2019,NUTS,2010,BE3,1,0.2504
2011,NUTS,2010,BG,0,0.1312
2012,NUTS,2010,BG,0,0.1096
2013,NUTS,2010,BG,0,0.125
2014,NUTS,2010,BG,0,0.1394
2015,NUTS,2010,BG,0,0.1294
2016,NUTS,2010,BG,0,0.1782
2017,NUTS,2010,BG,0,0.1299
2018,NUTS,2010,BG,0,0.1347
2019,NUTS,2010,BG,0,0.1278
2013,NUTS,2010,BG3,1,0.1117
2014,NUTS,2010,BG3,1,0.1466
2019,NUTS,2010,BG3,1,0.1263
2011,NUTS,2010,BG32,2,0.126
2012,NUTS,2010,BG32,2,0.1235
2013,NUTS,2010,BG32,2,0.1357
2014,NUTS,2010,BG32,2,0.2295
2015,NUTS,2010,BG32,2,0.1834
2019,NUTS,2010,BG32,2,0.1231
2011,NUTS,2010,BG33,2,0.1673
2012,NUTS,2010,BG33,2,0.1763
2013,NUTS,2010,BG33,2,0.1828
2016,NUTS,2010,BG33,2,0.2102
2011,NUTS,2010,BG34,2,0.0769
2012,NUTS,2010,BG34,2,0.0662
2014,NUTS,2010,BG34,2,0.0735
2015,NUTS,2010,BG34,2,0.0677
2016,NUTS,2010,BG34,2,0.0713
2017,NUTS,2010,BG34,2,0.0656
2013,NUTS,2010,BG4,1,0.1331
2014,NUTS,2010,BG4,1,0.1286
2019,NUTS,2010,BG4,1,0.1222
2011,NUTS,2010,BG41,2,0.2032
2012,NUTS,2010,BG41,2,0.1622
2013,NUTS,2010,BG41,2,0.1741
2014,NUTS,2010,BG41,2,0.1775
2015,NUTS,2010,BG41,2,0.1633
2017,NUTS,2010,BG41,2,0.1838
2018,NUTS,2010,BG41,2,0.1675
2019,NUTS,2010,BG41,2,0.1339
2013,NUTS,2010,BG42,2,0.0668
2014,NUTS,2010,BG42,2,0.0488
2019,NUTS,2010,BG42,2,0.102
2011,NUTS,2010,CY,0,0.1065
2012,NUTS,2010,CY,0,0.0985
2013,NUTS,2010,CY,0,0.104
2014,NUTS,2010,CY,0,0.0995
2015,NUTS,2010,CY,0,0.0995
2016,NUTS,2010,CY,0,0.1006
2017,NUTS,2010,CY,0,0.1165
2018,NUTS,2010,CY,0,0.1232
2019,NUTS,2010,CY,0,0.1366
2011,NUTS,2010,CZ,0,0.1473
2012,NUTS,2010,CZ,0,0.1643
2013,NUTS,2010,CZ,0,0.1538
2014,NUTS,2010,CZ,0,0.1554
2015,NUTS,2010,CZ,0,0.1598
2016,NUTS,2010,CZ,0,0.1442
2017,NUTS,2010,CZ,0,0.1482
2018,NUTS,2010,CZ,0,0.1651
2019,NUTS,2010,CZ,0,0.1779
2020,NUTS,2010,CZ,0,0.1902
2011,NUTS,2010,CZ0,1,0.1452
2012,NUTS,2010,CZ0,1,0.1618
2013,NUTS,2010,CZ0,1,0.1512
2014,NUTS,2010,CZ0,1,0.1529
2015,NUTS,2010,CZ0,1,0.1566
2016,NUTS,2010,CZ0,1,0.141
2017,NUTS,2010,CZ0,1,0.1448
2018,NUTS,2010,CZ0,1,0.1608
2019,NUTS,2010,CZ0,1,0.1731
2020,NUTS,2010,CZ0,1,0.1853
2011,NUTS,2010,CZ01,2,0.4866
2012,NUTS,2010,CZ01,2,0.4623
2013,NUTS,2010,CZ01,2,0.525
2014,NUTS,2010,CZ01,2,0.4778
2015,NUTS,2010,CZ01,2,0.4698
2016,NUTS,2010,CZ01,2,0.3755
2017,NUTS,2010,CZ01,2,0.4246
2018,NUTS,2010,CZ01,2,0.4724
2019,NUTS,2010,CZ01,2,0.5283
