year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_pc_act_fte
2011,NUTS,2010,AT,0,0.2911
2012,NUTS,2010,AT,0,0.2998
2013,NUTS,2010,AT,0,0.3002
2014,NUTS,2010,AT,0,0.3133
2015,NUTS,2010,AT,0,0.3148
2016,NUTS,2010,AT,0,0.3014
2017,NUTS,2010,AT,0,0.3035
2018,NUTS,2010,AT,0,0.3184
2019,NUTS,2010,AT,0,0.326
2020,NUTS,2010,AT,0,0.3363
2011,NUTS,2010,AT1,1,0.3666
2013,NUTS,2010,AT1,1,0.3823
2019,NUTS,2010,AT1,1,0.4063
2011,NUTS,2010,AT11,2,0.0186
2013,NUTS,2010,AT11,2,0.0256
2019,NUTS,2010,AT11,2,0.0481
2011,NUTS,2010,AT12,2,0.0316
2013,NUTS,2010,AT12,2,0.0588
2015,NUTS,2010,AT12,2,0.0695
2017,NUTS,2010,AT12,2,0.0902
2019,NUTS,2010,AT12,2,0.1266
2011,NUTS,2010,AT13,2,0.7501
2013,NUTS,2010,AT13,2,0.7428
2015,NUTS,2010,AT13,2,0.761
2017,NUTS,2010,AT13,2,0.6886
2019,NUTS,2010,AT13,2,0.7073
2011,NUTS,2010,AT2,1,0.297
2013,NUTS,2010,AT2,1,0.3037
2017,NUTS,2010,AT2,1,0.3261
2019,NUTS,2010,AT2,1,0.34
2011,NUTS,2010,AT21,2,0.1088
2013,NUTS,2010,AT21,2,0.1073
2015,NUTS,2010,AT21,2,0.0901
2017,NUTS,2010,AT21,2,0.1031
2019,NUTS,2010,AT21,2,0.1011
2011,NUTS,2010,AT22,2,0.3802
2013,NUTS,2010,AT22,2,0.391
2015,NUTS,2010,AT22,2,0.4329
2017,NUTS,2010,AT22,2,0.423
2019,NUTS,2010,AT22,2,0.4434
2011,NUTS,2010,AT3,1,0.1914
2013,NUTS,2010,AT3,1,0.1938
2019,NUTS,2010,AT3,1,0.2133
2011,NUTS,2010,AT31,2,0.1347
2013,NUTS,2010,AT31,2,0.1353
2015,NUTS,2010,AT31,2,0.1298
2017,NUTS,2010,AT31,2,0.1267
2019,NUTS,2010,AT31,2,0.1348
2011,NUTS,2010,AT32,2,0.2101
2013,NUTS,2010,AT32,2,0.2148
2015,NUTS,2010,AT32,2,0.2555
2017,NUTS,2010,AT32,2,0.2533
2019,NUTS,2010,AT32,2,0.2807
2011,NUTS,2010,AT33,2,0.3803
2013,NUTS,2010,AT33,2,0.3792
2015,NUTS,2010,AT33,2,0.3912
2017,NUTS,2010,AT33,2,0.3797
2019,NUTS,2010,AT33,2,0.412
2011,NUTS,2010,AT34,2,0.0214
2013,NUTS,2010,AT34,2,0.0257
2019,NUTS,2010,AT34,2,0.0353
2011,NUTS,2010,BE,0,0.3782
2012,NUTS,2010,BE,0,0.3784
2013,NUTS,2010,BE,0,0.3821
2014,NUTS,2010,BE,0,0.3888
2015,NUTS,2010,BE,0,0.4131
2016,NUTS,2010,BE,0,0.3973
2017,NUTS,2010,BE,0,0.3986
2018,NUTS,2010,BE,0,0.3984
2019,NUTS,2010,BE,0,0.4016
2020,NUTS,2010,BE,0,0.4368
2011,NUTS,2010,BE1,1,0.6537
2012,NUTS,2010,BE1,1,0.6497
2013,NUTS,2010,BE1,1,0.6663
2014,NUTS,2010,BE1,1,0.7055
2015,NUTS,2010,BE1,1,0.7959
2016,NUTS,2010,BE1,1,0.7512
2017,NUTS,2010,BE1,1,0.7612
2018,NUTS,2010,BE1,1,0.7114
2019,NUTS,2010,BE1,1,0.6983
2011,NUTS,2010,BE10,2,0.6537
2012,NUTS,2010,BE10,2,0.6497
2013,NUTS,2010,BE10,2,0.6663
2014,NUTS,2010,BE10,2,0.7055
2015,NUTS,2010,BE10,2,0.7959
2016,NUTS,2010,BE10,2,0.7512
2017,NUTS,2010,BE10,2,0.7612
2018,NUTS,2010,BE10,2,0.7114
2019,NUTS,2010,BE10,2,0.6983
2011,NUTS,2010,BE2,1,0.3713
2012,NUTS,2010,BE2,1,0.3801
2013,NUTS,2010,BE2,1,0.3859
2014,NUTS,2010,BE2,1,0.3892
2015,NUTS,2010,BE2,1,0.392
2016,NUTS,2010,BE2,1,0.3852
2017,NUTS,2010,BE2,1,0.3871
2018,NUTS,2010,BE2,1,0.3967
2019,NUTS,2010,BE2,1,0.4037
2011,NUTS,2010,BE3,1,0.2895
2012,NUTS,2010,BE3,1,0.2728
2013,NUTS,2010,BE3,1,0.2689
2014,NUTS,2010,BE3,1,0.2674
2015,NUTS,2010,BE3,1,0.3087
