year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_t_pc_act_hc_rse
1998,NUTS,2010,AT,0,0.3913
2002,NUTS,2010,AT,0,0.4541
2004,NUTS,2010,AT,0,0.5404
2006,NUTS,2010,AT,0,0.5911
2007,NUTS,2010,AT,0,0.639
2009,NUTS,2010,AT,0,0.7001
2011,NUTS,2010,AT,0,0.7637
2013,NUTS,2010,AT,0,0.7895
2015,NUTS,2010,AT,0,0.846
2017,NUTS,2010,AT,0,0.8386
2019,NUTS,2010,AT,0,0.9116
2011,NUTS,2010,AT1,1,0.9289
2013,NUTS,2010,AT1,1,0.9849
2019,NUTS,2010,AT1,1,1.0794
2011,NUTS,2010,AT11,2,0.0668
2013,NUTS,2010,AT11,2,0.0985
2019,NUTS,2010,AT11,2,0.1334
2002,NUTS,2010,AT12,2,0.0118
2004,NUTS,2010,AT12,2,0.0206
2006,NUTS,2010,AT12,2,0.0308
2007,NUTS,2010,AT12,2,0.0355
2009,NUTS,2010,AT12,2,0.0503
2011,NUTS,2010,AT12,2,0.0685
2013,NUTS,2010,AT12,2,0.1216
2015,NUTS,2010,AT12,2,0.1404
2017,NUTS,2010,AT12,2,0.1721
2019,NUTS,2010,AT12,2,0.2254
2002,NUTS,2010,AT13,2,1.1974
2004,NUTS,2010,AT13,2,1.4204
2006,NUTS,2010,AT13,2,1.5027
2007,NUTS,2010,AT13,2,1.6351
2009,NUTS,2010,AT13,2,1.7855
2011,NUTS,2010,AT13,2,1.9084
2013,NUTS,2010,AT13,2,1.9367
2015,NUTS,2010,AT13,2,1.9874
2017,NUTS,2010,AT13,2,1.8851
2019,NUTS,2010,AT13,2,1.9769
2006,NUTS,2010,AT2,1,0.6125
2007,NUTS,2010,AT2,1,0.6884
2009,NUTS,2010,AT2,1,0.7785
2011,NUTS,2010,AT2,1,0.8319
2013,NUTS,2010,AT2,1,0.8212
2017,NUTS,2010,AT2,1,0.9338
2019,NUTS,2010,AT2,1,1.0371
2006,NUTS,2010,AT21,2,0.2013
2007,NUTS,2010,AT21,2,0.2281
2009,NUTS,2010,AT21,2,0.2353
2011,NUTS,2010,AT21,2,0.2694
2013,NUTS,2010,AT21,2,0.2593
2015,NUTS,2010,AT21,2,0.2417
2017,NUTS,2010,AT21,2,0.2701
2019,NUTS,2010,AT21,2,0.3106
2002,NUTS,2010,AT22,2,0.63
2004,NUTS,2010,AT22,2,0.757
2006,NUTS,2010,AT22,2,0.7953
2007,NUTS,2010,AT22,2,0.894
2009,NUTS,2010,AT22,2,1.0206
2011,NUTS,2010,AT22,2,1.0807
2013,NUTS,2010,AT22,2,1.0708
2015,NUTS,2010,AT22,2,1.2549
2017,NUTS,2010,AT22,2,1.2225
2019,NUTS,2010,AT22,2,1.3517
2002,NUTS,2010,AT3,1,0.2957
2004,NUTS,2010,AT3,1,0.3651
2011,NUTS,2010,AT3,1,0.5107
2013,NUTS,2010,AT3,1,0.5206
2019,NUTS,2010,AT3,1,0.6159
2002,NUTS,2010,AT31,2,0.1671
2004,NUTS,2010,AT31,2,0.2064
2006,NUTS,2010,AT31,2,0.2364
2007,NUTS,2010,AT31,2,0.2329
2009,NUTS,2010,AT31,2,0.2622
2011,NUTS,2010,AT31,2,0.3229
2013,NUTS,2010,AT31,2,0.3098
2015,NUTS,2010,AT31,2,0.3339
2017,NUTS,2010,AT31,2,0.3357
2019,NUTS,2010,AT31,2,0.3667
2006,NUTS,2010,AT32,2,0.4501
2007,NUTS,2010,AT32,2,0.4607
2009,NUTS,2010,AT32,2,0.5494
2011,NUTS,2010,AT32,2,0.621
2013,NUTS,2010,AT32,2,0.648
2015,NUTS,2010,AT32,2,0.7713
2017,NUTS,2010,AT32,2,0.8035
2019,NUTS,2010,AT32,2,0.836
2002,NUTS,2010,AT33,2,0.6909
2004,NUTS,2010,AT33,2,0.8134
2006,NUTS,2010,AT33,2,0.9056
2007,NUTS,2010,AT33,2,0.9667
2009,NUTS,2010,AT33,2,0.9562
2011,NUTS,2010,AT33,2,1.0526
2013,NUTS,2010,AT33,2,1.0854
2015,NUTS,2010,AT33,2,1.1102
2017,NUTS,2010,AT33,2,1.1495
2019,NUTS,2010,AT33,2,1.2342
2011,NUTS,2010,AT34,2,0.0365
2013,NUTS,2010,AT34,2,0.0407
2019,NUTS,2010,AT34,2,0.0656
2002,NUTS,2010,BE,0,0.5084
2003,NUTS,2010,BE,0,0.5062
2004,NUTS,2010,BE,0,0.5617
2005,NUTS,2010,BE,0,0.5679
2006,NUTS,2010,BE,0,0.5812
2007,NUTS,2010,BE,0,0.5957
2008,NUTS,2010,BE,0,0.6182
2009,NUTS,2010,BE,0,0.6361
2010,NUTS,2010,BE,0,0.6288
2011,NUTS,2010,BE,0,0.6505
2012,NUTS,2010,BE,0,0.6479
2013,NUTS,2010,BE,0,0.6537
2014,NUTS,2010,BE,0,0.7099
2015,NUTS,2010,BE,0,0.6474
2016,NUTS,2010,BE,0,0.6592
2017,NUTS,2010,BE,0,0.6568
2018,NUTS,2010,BE,0,0.6976
2019,NUTS,2010,BE,0,0.6859
2002,NUTS,2010,BE1,1,1.5365
2003,NUTS,2010,BE1,1,1.4697
2004,NUTS,2010,BE1,1,1.5052
2005,NUTS,2010,BE1,1,1.4602
2006,NUTS,2010,BE1,1,1.4882
2007,NUTS,2010,BE1,1,1.5098
2008,NUTS,2010,BE1,1,1.5327
2009,NUTS,2010,BE1,1,1.5358
2010,NUTS,2010,BE1,1,1.392
2011,NUTS,2010,BE1,1,1.4154
2012,NUTS,2010,BE1,1,1.3686
2013,NUTS,2010,BE1,1,1.3976
2014,NUTS,2010,BE1,1,1.4953
2015,NUTS,2010,BE1,1,1.2716
2016,NUTS,2010,BE1,1,1.2526
2017,NUTS,2010,BE1,1,1.2031
2018,NUTS,2010,BE1,1,1.3912
2019,NUTS,2010,BE1,1,1.2755
2002,NUTS,2010,BE10,2,1.5365
2003,NUTS,2010,BE10,2,1.4697
2004,NUTS,2010,BE10,2,1.5052
2005,NUTS,2010,BE10,2,1.4602
2006,NUTS,2010,BE10,2,1.4882
2007,NUTS,2010,BE10,2,1.5098
2008,NUTS,2010,BE10,2,1.5327
2009,NUTS,2010,BE10,2,1.5358
2010,NUTS,2010,BE10,2,1.392
2011,NUTS,2010,BE10,2,1.4154
2012,NUTS,2010,BE10,2,1.3686
2013,NUTS,2010,BE10,2,1.3976
2014,NUTS,2010,BE10,2,1.4953
2015,NUTS,2010,BE10,2,1.2716
2016,NUTS,2010,BE10,2,1.2526
2017,NUTS,2010,BE10,2,1.2031
2018,NUTS,2010,BE10,2,1.3912
2019,NUTS,2010,BE10,2,1.2755
2002,NUTS,2010,BE2,1,0.3725
2003,NUTS,2010,BE2,1,0.3819
2004,NUTS,2010,BE2,1,0.4793
2005,NUTS,2010,BE2,1,0.4811
2006,NUTS,2010,BE2,1,0.4812
2007,NUTS,2010,BE2,1,0.4952
2008,NUTS,2010,BE2,1,0.5206
2009,NUTS,2010,BE2,1,0.5383
2010,NUTS,2010,BE2,1,0.5656
2011,NUTS,2010,BE2,1,0.5879
2012,NUTS,2010,BE2,1,0.5961
2013,NUTS,2010,BE2,1,0.6064
2014,NUTS,2010,BE2,1,0.6531
2015,NUTS,2010,BE2,1,0.6565
2016,NUTS,2010,BE2,1,0.6499
2017,NUTS,2010,BE2,1,0.65
2018,NUTS,2010,BE2,1,0.6725
2019,NUTS,2010,BE2,1,0.674
2002,NUTS,2010,BE3,1,0.4755
2003,NUTS,2010,BE3,1,0.4612
2004,NUTS,2010,BE3,1,0.437
2005,NUTS,2010,BE3,1,0.4424
2006,NUTS,2010,BE3,1,0.4793
2007,NUTS,2010,BE3,1,0.4872
2008,NUTS,2010,BE3,1,0.4983
2009,NUTS,2010,BE3,1,0.5201
2010,NUTS,2010,BE3,1,0.4838
2011,NUTS,2010,BE3,1,0.4992
2012,NUTS,2010,BE3,1,0.4856
2013,NUTS,2010,BE3,1,0.477
2014,NUTS,2010,BE3,1,0.5276
2015,NUTS,2010,BE3,1,0.393
2016,NUTS,2010,BE3,1,0.4481
2017,NUTS,2010,BE3,1,0.4556
2018,NUTS,2010,BE3,1,0.4773
2019,NUTS,2010,BE3,1,0.473
2000,NUTS,2010,BG,0,0.0746
2001,NUTS,2010,BG,0,0.0845
2002,NUTS,2010,BG,0,0.091
2003,NUTS,2010,BG,0,0.0935
2004,NUTS,2010,BG,0,0.1031
2005,NUTS,2010,BG,0,0.1187
2006,NUTS,2010,BG,0,0.1158
2007,NUTS,2010,BG,0,0.1426
2008,NUTS,2010,BG,0,0.1514
2009,NUTS,2010,BG,0,0.1916
2010,NUTS,2010,BG,0,0.1915
2011,NUTS,2010,BG,0,0.2137
2012,NUTS,2010,BG,0,0.2175
2013,NUTS,2010,BG,0,0.2195
2014,NUTS,2010,BG,0,0.2575
2015,NUTS,2010,BG,0,0.2416
2016,NUTS,2010,BG,0,0.2759
2017,NUTS,2010,BG,0,0.2422
2018,NUTS,2010,BG,0,0.2616
2019,NUTS,2010,BG,0,0.2497
2003,NUTS,2010,BG3,1,0.088
2004,NUTS,2010,BG3,1,0.096
2005,NUTS,2010,BG3,1,0.1265
2006,NUTS,2010,BG3,1,0.1141
2007,NUTS,2010,BG3,1,0.1258
2009,NUTS,2010,BG3,1,0.1601
2011,NUTS,2010,BG3,1,0.168
2012,NUTS,2010,BG3,1,0.1897
2013,NUTS,2010,BG3,1,0.1904
2014,NUTS,2010,BG3,1,0.248
2017,NUTS,2010,BG3,1,0.2143
2019,NUTS,2010,BG3,1,0.2189
2003,NUTS,2010,BG32,2,0.0775
2004,NUTS,2010,BG32,2,0.1005
2005,NUTS,2010,BG32,2,0.2134
2008,NUTS,2010,BG32,2,0.1977
2009,NUTS,2010,BG32,2,0.2294
2010,NUTS,2010,BG32,2,0.2506
2011,NUTS,2010,BG32,2,0.2955
2012,NUTS,2010,BG32,2,0.2896
2013,NUTS,2010,BG32,2,0.2736
2014,NUTS,2010,BG32,2,0.3683
2015,NUTS,2010,BG32,2,0.3702
2016,NUTS,2010,BG32,2,0.2823
2017,NUTS,2010,BG32,2,0.2924
2018,NUTS,2010,BG32,2,0.303
2019,NUTS,2010,BG32,2,0.2448
2006,NUTS,2010,BG33,2,0.1493
2007,NUTS,2010,BG33,2,0.1549
2008,NUTS,2010,BG33,2,0.1575
2009,NUTS,2010,BG33,2,0.2264
2010,NUTS,2010,BG33,2,0.2515
2011,NUTS,2010,BG33,2,0.2406
2012,NUTS,2010,BG33,2,0.2692
2013,NUTS,2010,BG33,2,0.2944
2014,NUTS,2010,BG33,2,0.4102
2015,NUTS,2010,BG33,2,0.3748
2003,NUTS,2010,BG34,2,0.0934
2004,NUTS,2010,BG34,2,0.0896
2005,NUTS,2010,BG34,2,0.1117
2006,NUTS,2010,BG34,2,0.0928
2007,NUTS,2010,BG34,2,0.1189
2008,NUTS,2010,BG34,2,0.119
2010,NUTS,2010,BG34,2,0.1215
2015,NUTS,2010,BG34,2,0.1318
2016,NUTS,2010,BG34,2,0.1463
2017,NUTS,2010,BG34,2,0.1309
2003,NUTS,2010,BG4,1,0.0936
2004,NUTS,2010,BG4,1,0.1043
2005,NUTS,2010,BG4,1,0.1083
2006,NUTS,2010,BG4,1,0.1148
2007,NUTS,2010,BG4,1,0.1557
2009,NUTS,2010,BG4,1,0.2155
2011,NUTS,2010,BG4,1,0.2512
2012,NUTS,2010,BG4,1,0.2376
2013,NUTS,2010,BG4,1,0.2394
2014,NUTS,2010,BG4,1,0.2569
2017,NUTS,2010,BG4,1,0.2559
2019,NUTS,2010,BG4,1,0.2628
2000,NUTS,2010,BG41,2,0.145
2002,NUTS,2010,BG41,2,0.1519
2003,NUTS,2010,BG41,2,0.1193
2004,NUTS,2010,BG41,2,0.1319
2005,NUTS,2010,BG41,2,0.1428
2009,NUTS,2010,BG41,2,0.2916
2010,NUTS,2010,BG41,2,0.2687
2013,NUTS,2010,BG41,2,0.3096
2014,NUTS,2010,BG41,2,0.3302
2015,NUTS,2010,BG41,2,0.3025
2016,NUTS,2010,BG41,2,0.428
2017,NUTS,2010,BG41,2,0.322
2018,NUTS,2010,BG41,2,0.3417
2019,NUTS,2010,BG41,2,0.2769
2003,NUTS,2010,BG42,2,0.0552
2004,NUTS,2010,BG42,2,0.0638
2005,NUTS,2010,BG42,2,0.056
2009,NUTS,2010,BG42,2,0.0955
2013,NUTS,2010,BG42,2,0.1279
2014,NUTS,2010,BG42,2,0.1417
2017,NUTS,2010,BG42,2,0.1498
2019,NUTS,2010,BG42,2,0.2397
2010,NUTS,2010,CH,0,0.8911
2012,NUTS,2010,CH,0,0.937
2015,NUTS,2010,CH,0,0.9992
2017,NUTS,2010,CH,0,1.0127
2019,NUTS,2010,CH,0,1.0667
1998,NUTS,2010,CY,0,0.0851
1999,NUTS,2010,CY,0,0.0955
2000,NUTS,2010,CY,0,0.1076
2001,NUTS,2010,CY,0,0.1162
2002,NUTS,2010,CY,0,0.1394
2003,NUTS,2010,CY,0,0.1672
2004,NUTS,2010,CY,0,0.2044
2005,NUTS,2010,CY,0,0.2261
2006,NUTS,2010,CY,0,0.2274
2007,NUTS,2010,CY,0,0.2274
2008,NUTS,2010,CY,0,0.2267
2009,NUTS,2010,CY,0,0.2509
2010,NUTS,2010,CY,0,0.2643
2011,NUTS,2010,CY,0,0.3
2012,NUTS,2010,CY,0,0.2965
2013,NUTS,2010,CY,0,0.3732
2014,NUTS,2010,CY,0,0.3593
2015,NUTS,2010,CY,0,0.368
2016,NUTS,2010,CY,0,0.3713
2017,NUTS,2010,CY,0,0.3794
2018,NUTS,2010,CY,0,0.3934
2019,NUTS,2010,CY,0,0.4117
1998,NUTS,2010,CZ,0,0.2211
1999,NUTS,2010,CZ,0,0.2313
2000,NUTS,2010,CZ,0,0.2455
2001,NUTS,2010,CZ,0,0.2415
2002,NUTS,2010,CZ,0,0.2545
2003,NUTS,2010,CZ,0,0.2535
2004,NUTS,2010,CZ,0,0.2785
2005,NUTS,2010,CZ,0,0.3389
2006,NUTS,2010,CZ,0,0.3452
2007,NUTS,2010,CZ,0,0.3733
2008,NUTS,2010,CZ,0,0.3787
2009,NUTS,2010,CZ,0,0.381
2010,NUTS,2010,CZ,0,0.3848
2011,NUTS,2010,CZ,0,0.4029
2012,NUTS,2010,CZ,0,0.4084
2013,NUTS,2010,CZ,0,0.4404
2014,NUTS,2010,CZ,0,0.4472
2015,NUTS,2010,CZ,0,0.4607
2016,NUTS,2010,CZ,0,0.4486
2017,NUTS,2010,CZ,0,0.4766
2018,NUTS,2010,CZ,0,0.4877
2019,NUTS,2010,CZ,0,0.509
2020,NUTS,2010,CZ,0,0.5231
1999,NUTS,2010,CZ0,1,0.229
2000,NUTS,2010,CZ0,1,0.2432
2001,NUTS,2010,CZ0,1,0.2395
2002,NUTS,2010,CZ0,1,0.2524
2003,NUTS,2010,CZ0,1,0.2514
2004,NUTS,2010,CZ0,1,0.2764
2005,NUTS,2010,CZ0,1,0.3352
2006,NUTS,2010,CZ0,1,0.3412
2007,NUTS,2010,CZ0,1,0.3685
2008,NUTS,2010,CZ0,1,0.3736
2009,NUTS,2010,CZ0,1,0.3754
2010,NUTS,2010,CZ0,1,0.3792
2011,NUTS,2010,CZ0,1,0.3969
2012,NUTS,2010,CZ0,1,0.402
2013,NUTS,2010,CZ0,1,0.4327
2014,NUTS,2010,CZ0,1,0.4394
2015,NUTS,2010,CZ0,1,0.4513
2016,NUTS,2010,CZ0,1,0.4382
2017,NUTS,2010,CZ0,1,0.4651
2018,NUTS,2010,CZ0,1,0.4743
2019,NUTS,2010,CZ0,1,0.4946
2020,NUTS,2010,CZ0,1,0.5086
2001,NUTS,2010,CZ01,2,0.742
2002,NUTS,2010,CZ01,2,0.7797
2003,NUTS,2010,CZ01,2,0.7956
2004,NUTS,2010,CZ01,2,0.9305
2005,NUTS,2010,CZ01,2,1.0678
2006,NUTS,2010,CZ01,2,1.1058
2007,NUTS,2010,CZ01,2,1.2073
2008,NUTS,2010,CZ01,2,1.2222
2009,NUTS,2010,CZ01,2,1.1923
2010,NUTS,2010,CZ01,2,1.1663
2011,NUTS,2010,CZ01,2,1.2545
2012,NUTS,2010,CZ01,2,1.1641
2013,NUTS,2010,CZ01,2,1.2827
2014,NUTS,2010,CZ01,2,1.2901
2015,NUTS,2010,CZ01,2,1.231
2016,NUTS,2010,CZ01,2,1.206
2017,NUTS,2010,CZ01,2,1.3418
2018,NUTS,2010,CZ01,2,1.3739
2019,NUTS,2010,CZ01,2,1.4037
2020,NUTS,2010,CZ01,2,1.4059
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0
2005,NUTS,2010,CZ02,2,0.0026
2006,NUTS,2010,CZ02,2,0.0073
2007,NUTS,2010,CZ02,2,0.0071
2008,NUTS,2010,CZ02,2,0.0107
2009,NUTS,2010,CZ02,2,0.011
2010,NUTS,2010,CZ02,2,0.0135
2011,NUTS,2010,CZ02,2,0.0168
2012,NUTS,2010,CZ02,2,0.0194
2013,NUTS,2010,CZ02,2,0.0298
2014,NUTS,2010,CZ02,2,0.0386
2015,NUTS,2010,CZ02,2,0.0397
2016,NUTS,2010,CZ02,2,0.0407
2017,NUTS,2010,CZ02,2,0.0414
2018,NUTS,2010,CZ02,2,0.0435
2019,NUTS,2010,CZ02,2,0.0453
2020,NUTS,2010,CZ02,2,0.0444
2001,NUTS,2010,CZ03,2,0.2115
2002,NUTS,2010,CZ03,2,0.2232
2003,NUTS,2010,CZ03,2,0.1263
2004,NUTS,2010,CZ03,2,0.1148
2005,NUTS,2010,CZ03,2,0.2105
2006,NUTS,2010,CZ03,2,0.1776
2007,NUTS,2010,CZ03,2,0.1585
2008,NUTS,2010,CZ03,2,0.1688
2009,NUTS,2010,CZ03,2,0.1792
2010,NUTS,2010,CZ03,2,0.2964
2011,NUTS,2010,CZ03,2,0.3752
2012,NUTS,2010,CZ03,2,0.3429
2013,NUTS,2010,CZ03,2,0.3865
2014,NUTS,2010,CZ03,2,0.4028
2015,NUTS,2010,CZ03,2,0.3913
2016,NUTS,2010,CZ03,2,0.3976
2017,NUTS,2010,CZ03,2,0.3995
2018,NUTS,2010,CZ03,2,0.4104
2019,NUTS,2010,CZ03,2,0.4165
2020,NUTS,2010,CZ03,2,0.414
2001,NUTS,2010,CZ04,2,0.044
2002,NUTS,2010,CZ04,2,0.0386
2003,NUTS,2010,CZ04,2,0.0329
2004,NUTS,2010,CZ04,2,0.0692
2005,NUTS,2010,CZ04,2,0.0291
2006,NUTS,2010,CZ04,2,0.0466
2007,NUTS,2010,CZ04,2,0.0606
2008,NUTS,2010,CZ04,2,0.0629
2009,NUTS,2010,CZ04,2,0.0593
2010,NUTS,2010,CZ04,2,0.0601
2011,NUTS,2010,CZ04,2,0.0554
2012,NUTS,2010,CZ04,2,0.0538
2013,NUTS,2010,CZ04,2,0.0818
2014,NUTS,2010,CZ04,2,0.0842
2015,NUTS,2010,CZ04,2,0.0848
2016,NUTS,2010,CZ04,2,0.0831
2017,NUTS,2010,CZ04,2,0.0861
2018,NUTS,2010,CZ04,2,0.0935
2019,NUTS,2010,CZ04,2,0.0817
2020,NUTS,2010,CZ04,2,0.0976
2001,NUTS,2010,CZ05,2,0.1434
2002,NUTS,2010,CZ05,2,0.18
2003,NUTS,2010,CZ05,2,0.1883
2004,NUTS,2010,CZ05,2,0.1973
2005,NUTS,2010,CZ05,2,0.2289
2006,NUTS,2010,CZ05,2,0.2433
2007,NUTS,2010,CZ05,2,0.2732
2008,NUTS,2010,CZ05,2,0.2577
2009,NUTS,2010,CZ05,2,0.2373
2010,NUTS,2010,CZ05,2,0.2362
2011,NUTS,2010,CZ05,2,0.2703
2012,NUTS,2010,CZ05,2,0.2411
2013,NUTS,2010,CZ05,2,0.2515
2014,NUTS,2010,CZ05,2,0.2568
2015,NUTS,2010,CZ05,2,0.2667
2016,NUTS,2010,CZ05,2,0.2764
2017,NUTS,2010,CZ05,2,0.2913
2018,NUTS,2010,CZ05,2,0.2928
2019,NUTS,2010,CZ05,2,0.3474
2020,NUTS,2010,CZ05,2,0.3402
2001,NUTS,2010,CZ06,2,0.348
2002,NUTS,2010,CZ06,2,0.383
2003,NUTS,2010,CZ06,2,0.4029
2004,NUTS,2010,CZ06,2,0.4082
2005,NUTS,2010,CZ06,2,0.5534
2006,NUTS,2010,CZ06,2,0.536
2007,NUTS,2010,CZ06,2,0.5601
2008,NUTS,2010,CZ06,2,0.5842
2009,NUTS,2010,CZ06,2,0.6101
2010,NUTS,2010,CZ06,2,0.5575
2011,NUTS,2010,CZ06,2,0.5327
2012,NUTS,2010,CZ06,2,0.6001
2013,NUTS,2010,CZ06,2,0.5919
2014,NUTS,2010,CZ06,2,0.5893
2015,NUTS,2010,CZ06,2,0.6769
2016,NUTS,2010,CZ06,2,0.5849
2017,NUTS,2010,CZ06,2,0.6587
2018,NUTS,2010,CZ06,2,0.6453
2019,NUTS,2010,CZ06,2,0.6426
2020,NUTS,2010,CZ06,2,0.6982
2001,NUTS,2010,CZ07,2,0.1325
2002,NUTS,2010,CZ07,2,0.1134
2003,NUTS,2010,CZ07,2,0.1418
2004,NUTS,2010,CZ07,2,0.1751
2005,NUTS,2010,CZ07,2,0.22
2006,NUTS,2010,CZ07,2,0.2104
2007,NUTS,2010,CZ07,2,0.1893
2008,NUTS,2010,CZ07,2,0.1904
2009,NUTS,2010,CZ07,2,0.2198
2010,NUTS,2010,CZ07,2,0.2467
2011,NUTS,2010,CZ07,2,0.2187
2012,NUTS,2010,CZ07,2,0.2974
2013,NUTS,2010,CZ07,2,0.3604
2014,NUTS,2010,CZ07,2,0.3731
2015,NUTS,2010,CZ07,2,0.3902
2016,NUTS,2010,CZ07,2,0.3981
2017,NUTS,2010,CZ07,2,0.3479
2018,NUTS,2010,CZ07,2,0.3568
2019,NUTS,2010,CZ07,2,0.4304
2020,NUTS,2010,CZ07,2,0.4444
2001,NUTS,2010,CZ08,2,0.2274
2002,NUTS,2010,CZ08,2,0.222
2003,NUTS,2010,CZ08,2,0.2311
2004,NUTS,2010,CZ08,2,0.2384
2005,NUTS,2010,CZ08,2,0.2535
2006,NUTS,2010,CZ08,2,0.289
2007,NUTS,2010,CZ08,2,0.363
2008,NUTS,2010,CZ08,2,0.3593
2009,NUTS,2010,CZ08,2,0.3386
2010,NUTS,2010,CZ08,2,0.319
2011,NUTS,2010,CZ08,2,0.3469
2012,NUTS,2010,CZ08,2,0.3789
2013,NUTS,2010,CZ08,2,0.374
2014,NUTS,2010,CZ08,2,0.3928
2015,NUTS,2010,CZ08,2,0.4168
2016,NUTS,2010,CZ08,2,0.4239
2017,NUTS,2010,CZ08,2,0.4071
2018,NUTS,2010,CZ08,2,0.4229
2019,NUTS,2010,CZ08,2,0.4226
2020,NUTS,2010,CZ08,2,0.4596
2003,NUTS,2010,DE,0,0.4419
2004,NUTS,2010,DE,0,0.4332
2005,NUTS,2010,DE,0,0.4321
2006,NUTS,2010,DE,0,0.4511
2007,NUTS,2010,DE,0,0.4674
2008,NUTS,2010,DE,0,0.4898
2009,NUTS,2010,DE,0,0.5412
2010,NUTS,2010,DE,0,0.5872
2011,NUTS,2010,DE,0,0.6071
2012,NUTS,2010,DE,0,0.6318
2013,NUTS,2010,DE,0,0.6517
2014,NUTS,2010,DE,0,0.6594
2015,NUTS,2010,DE,0,0.6682
