year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_f_pc_emp_hc
2011,NUTS,2010,AT,0,1.0423
2013,NUTS,2010,AT,0,1.0943
2015,NUTS,2010,AT,0,1.1421
2017,NUTS,2010,AT,0,1.1486
2019,NUTS,2010,AT,0,1.2413
2011,NUTS,2010,AT1,1,1.3057
2013,NUTS,2010,AT1,1,1.3895
2019,NUTS,2010,AT1,1,1.5334
2011,NUTS,2010,AT11,2,0.0801
2013,NUTS,2010,AT11,2,0.121
2019,NUTS,2010,AT11,2,0.1516
2011,NUTS,2010,AT12,2,0.0723
2013,NUTS,2010,AT12,2,0.1434
2015,NUTS,2010,AT12,2,0.1692
2017,NUTS,2010,AT12,2,0.2279
2019,NUTS,2010,AT12,2,0.2935
2011,NUTS,2010,AT13,2,2.709
2013,NUTS,2010,AT13,2,2.7667
2015,NUTS,2010,AT13,2,2.816
2017,NUTS,2010,AT13,2,2.7157
2019,NUTS,2010,AT13,2,2.9005
2011,NUTS,2010,AT2,1,1.1025
2013,NUTS,2010,AT2,1,1.1245
2017,NUTS,2010,AT2,1,1.2376
2019,NUTS,2010,AT2,1,1.355
2011,NUTS,2010,AT21,2,0.3679
2013,NUTS,2010,AT21,2,0.348
2015,NUTS,2010,AT21,2,0.3331
2017,NUTS,2010,AT21,2,0.3748
2019,NUTS,2010,AT21,2,0.4715
2011,NUTS,2010,AT22,2,1.425
2013,NUTS,2010,AT22,2,1.473
2015,NUTS,2010,AT22,2,1.5996
2017,NUTS,2010,AT22,2,1.6151
2019,NUTS,2010,AT22,2,1.736
2011,NUTS,2010,AT3,1,0.6685
2013,NUTS,2010,AT3,1,0.7035
2019,NUTS,2010,AT3,1,0.8089
2011,NUTS,2010,AT31,2,0.3311
2013,NUTS,2010,AT31,2,0.332
2015,NUTS,2010,AT31,2,0.3745
2017,NUTS,2010,AT31,2,0.3734
2019,NUTS,2010,AT31,2,0.3917
2011,NUTS,2010,AT32,2,0.8555
2013,NUTS,2010,AT32,2,0.9508
2015,NUTS,2010,AT32,2,1.0773
2017,NUTS,2010,AT32,2,1.151
2019,NUTS,2010,AT32,2,1.1725
2011,NUTS,2010,AT33,2,1.5129
2013,NUTS,2010,AT33,2,1.5633
2015,NUTS,2010,AT33,2,1.5714
2017,NUTS,2010,AT33,2,1.6163
2019,NUTS,2010,AT33,2,1.7207
2011,NUTS,2010,AT34,2,0.0207
2013,NUTS,2010,AT34,2,0.0395
2019,NUTS,2010,AT34,2,0.067
2011,NUTS,2010,BE,0,0.9486
2012,NUTS,2010,BE,0,0.9499
2013,NUTS,2010,BE,0,0.9599
2014,NUTS,2010,BE,0,1.0285
2015,NUTS,2010,BE,0,1.0171
2016,NUTS,2010,BE,0,1.0428
2017,NUTS,2010,BE,0,1.0412
2018,NUTS,2010,BE,0,1.0974
2019,NUTS,2010,BE,0,1.0819
2012,NUTS,2010,BE1,1,2.0517
2013,NUTS,2010,BE1,1,2.0535
2014,NUTS,2010,BE1,1,2.228
2015,NUTS,2010,BE1,1,2.0602
2016,NUTS,2010,BE1,1,2.0553
2017,NUTS,2010,BE1,1,2.0088
2018,NUTS,2010,BE1,1,2.2789
2019,NUTS,2010,BE1,1,2.1878
2012,NUTS,2010,BE10,2,2.0517
2013,NUTS,2010,BE10,2,2.0535
2014,NUTS,2010,BE10,2,2.228
2015,NUTS,2010,BE10,2,2.0602
2016,NUTS,2010,BE10,2,2.0553
2017,NUTS,2010,BE10,2,2.0088
2018,NUTS,2010,BE10,2,2.2789
2019,NUTS,2010,BE10,2,2.1878
2012,NUTS,2010,BE2,1,0.8877
2013,NUTS,2010,BE2,1,0.906
2014,NUTS,2010,BE2,1,0.9675
2015,NUTS,2010,BE2,1,0.9777
2016,NUTS,2010,BE2,1,0.9927
2017,NUTS,2010,BE2,1,0.9886
2018,NUTS,2010,BE2,1,0.9996
2019,NUTS,2010,BE2,1,1.0058
2012,NUTS,2010,BE3,1,0.7175
2013,NUTS,2010,BE3,1,0.7084
2014,NUTS,2010,BE3,1,0.7523
2015,NUTS,2010,BE3,1,0.7392
2016,NUTS,2010,BE3,1,0.7942
2017,NUTS,2010,BE3,1,0.8103
2018,NUTS,2010,BE3,1,0.8788
2019,NUTS,2010,BE3,1,0.8522
2011,NUTS,2010,BG,0,0.2861
2012,NUTS,2010,BG,0,0.2958
2013,NUTS,2010,BG,0,0.3028
2014,NUTS,2010,BG,0,0.3562
2015,NUTS,2010,BG,0,0.3541
2016,NUTS,2010,BG,0,0.3846
2017,NUTS,2010,BG,0,0.3476
2018,NUTS,2010,BG,0,0.3726
2019,NUTS,2010,BG,0,0.3593
2011,NUTS,2010,BG3,1,0.2308
2013,NUTS,2010,BG3,1,0.2888
2014,NUTS,2010,BG3,1,0.3573
2015,NUTS,2010,BG3,1,0.3643
2016,NUTS,2010,BG3,1,0.327
2017,NUTS,2010,BG3,1,0.3234
2018,NUTS,2010,BG3,1,0.3439
2019,NUTS,2010,BG3,1,0.3367
2011,NUTS,2010,BG32,2,0.3229
2012,NUTS,2010,BG32,2,0.3226
2013,NUTS,2010,BG32,2,0.3455
2014,NUTS,2010,BG32,2,0.4245
2015,NUTS,2010,BG32,2,0.445
2016,NUTS,2010,BG32,2,0.3346
2017,NUTS,2010,BG32,2,0.3543
2018,NUTS,2010,BG32,2,0.3668
2019,NUTS,2010,BG32,2,0.2909
2011,NUTS,2010,BG33,2,0.3414
2012,NUTS,2010,BG33,2,0.3826
2013,NUTS,2010,BG33,2,0.4476
2014,NUTS,2010,BG33,2,0.6159
2012,NUTS,2010,BG34,2,0.2519
2016,NUTS,2010,BG34,2,0.2428
2017,NUTS,2010,BG34,2,0.215
2011,NUTS,2010,BG4,1,0.3214
2013,NUTS,2010,BG4,1,0.2994
2014,NUTS,2010,BG4,1,0.3364
2015,NUTS,2010,BG4,1,0.3259
2016,NUTS,2010,BG4,1,0.4118
2017,NUTS,2010,BG4,1,0.3446
2018,NUTS,2010,BG4,1,0.3712
2019,NUTS,2010,BG4,1,0.3518
2012,NUTS,2010,BG41,2,0.3915
2013,NUTS,2010,BG41,2,0.3754
2014,NUTS,2010,BG41,2,0.4049
2016,NUTS,2010,BG41,2,0.525
2017,NUTS,2010,BG41,2,0.3953
2018,NUTS,2010,BG41,2,0.4263
2019,NUTS,2010,BG41,2,0.3488
2013,NUTS,2010,BG42,2,0.1717
2014,NUTS,2010,BG42,2,0.2195
2016,NUTS,2010,BG42,2,0.2109
2017,NUTS,2010,BG42,2,0.2574
2018,NUTS,2010,BG42,2,0.2738
2019,NUTS,2010,BG42,2,0.357
2012,NUTS,2010,CH,0,1.4146
2015,NUTS,2010,CH,0,1.4041
2017,NUTS,2010,CH,0,1.4418
2019,NUTS,2010,CH,0,1.5205
2011,NUTS,2010,CY,0,0.3065
2012,NUTS,2010,CY,0,0.3188
2013,NUTS,2010,CY,0,0.4087
2014,NUTS,2010,CY,0,0.379
2015,NUTS,2010,CY,0,0.3808
2016,NUTS,2010,CY,0,0.3797
2017,NUTS,2010,CY,0,0.3872
2018,NUTS,2010,CY,0,0.3931
2019,NUTS,2010,CY,0,0.4229
2011,NUTS,2010,CZ,0,0.5865
2012,NUTS,2010,CZ,0,0.5986
2013,NUTS,2010,CZ,0,0.6482
2014,NUTS,2010,CZ,0,0.6366
2015,NUTS,2010,CZ,0,0.6585
2016,NUTS,2010,CZ,0,0.5889
2017,NUTS,2010,CZ,0,0.6186
2018,NUTS,2010,CZ,0,0.6618
2019,NUTS,2010,CZ,0,0.6778
2020,NUTS,2010,CZ,0,0.711
2011,NUTS,2010,CZ0,1,0.5778
2012,NUTS,2010,CZ0,1,0.5893
2013,NUTS,2010,CZ0,1,0.6364
2014,NUTS,2010,CZ0,1,0.6256
2015,NUTS,2010,CZ0,1,0.6449
2016,NUTS,2010,CZ0,1,0.5754
2017,NUTS,2010,CZ0,1,0.6039
2018,NUTS,2010,CZ0,1,0.6443
2019,NUTS,2010,CZ0,1,0.6592
2020,NUTS,2010,CZ0,1,0.692
2011,NUTS,2010,CZ01,2,1.6981
2012,NUTS,2010,CZ01,2,1.4925
2013,NUTS,2010,CZ01,2,1.7554
2014,NUTS,2010,CZ01,2,1.6978
2015,NUTS,2010,CZ01,2,1.6616
2016,NUTS,2010,CZ01,2,1.3829
2017,NUTS,2010,CZ01,2,1.5504
2018,NUTS,2010,CZ01,2,1.5771
2019,NUTS,2010,CZ01,2,1.6194
2020,NUTS,2010,CZ01,2,1.6731
2011,NUTS,2010,CZ02,2,0.0281
2012,NUTS,2010,CZ02,2,0.0277
2013,NUTS,2010,CZ02,2,0.029
2014,NUTS,2010,CZ02,2,0.038
2015,NUTS,2010,CZ02,2,0.047
2016,NUTS,2010,CZ02,2,0.0369
2017,NUTS,2010,CZ02,2,0.0341
2018,NUTS,2010,CZ02,2,0.0348
2019,NUTS,2010,CZ02,2,0.0392
2020,NUTS,2010,CZ02,2,0.0406
2011,NUTS,2010,CZ03,2,0.4953
2012,NUTS,2010,CZ03,2,0.502
2013,NUTS,2010,CZ03,2,0.5149
2014,NUTS,2010,CZ03,2,0.5405
2015,NUTS,2010,CZ03,2,0.5183
2016,NUTS,2010,CZ03,2,0.5148
2017,NUTS,2010,CZ03,2,0.5384
2018,NUTS,2010,CZ03,2,0.559
2019,NUTS,2010,CZ03,2,0.5456
2020,NUTS,2010,CZ03,2,0.5621
2011,NUTS,2010,CZ04,2,0.0685
2012,NUTS,2010,CZ04,2,0.0687
2013,NUTS,2010,CZ04,2,0.0916
2014,NUTS,2010,CZ04,2,0.0924
2015,NUTS,2010,CZ04,2,0.091
2016,NUTS,2010,CZ04,2,0.0897
2017,NUTS,2010,CZ04,2,0.0921
2018,NUTS,2010,CZ04,2,0.1049
2019,NUTS,2010,CZ04,2,0.0894
2020,NUTS,2010,CZ04,2,0.122
2011,NUTS,2010,CZ05,2,0.361
2012,NUTS,2010,CZ05,2,0.3465
2013,NUTS,2010,CZ05,2,0.4043
2014,NUTS,2010,CZ05,2,0.4071
2015,NUTS,2010,CZ05,2,0.3934
2016,NUTS,2010,CZ05,2,0.36
2017,NUTS,2010,CZ05,2,0.3895
2018,NUTS,2010,CZ05,2,0.4171
2019,NUTS,2010,CZ05,2,0.4323
2020,NUTS,2010,CZ05,2,0.467
2011,NUTS,2010,CZ06,2,0.8085
2012,NUTS,2010,CZ06,2,0.9461
2013,NUTS,2010,CZ06,2,0.9703
2014,NUTS,2010,CZ06,2,0.9281
2015,NUTS,2010,CZ06,2,1.0645
2016,NUTS,2010,CZ06,2,0.9301
2017,NUTS,2010,CZ06,2,0.9893
2018,NUTS,2010,CZ06,2,1.0836
2019,NUTS,2010,CZ06,2,1.1051
2020,NUTS,2010,CZ06,2,1.1638
2011,NUTS,2010,CZ07,2,0.4085
2012,NUTS,2010,CZ07,2,0.5044
2013,NUTS,2010,CZ07,2,0.5797
2014,NUTS,2010,CZ07,2,0.582
2015,NUTS,2010,CZ07,2,0.6263
2016,NUTS,2010,CZ07,2,0.6189
2017,NUTS,2010,CZ07,2,0.5386
2018,NUTS,2010,CZ07,2,0.5641
2019,NUTS,2010,CZ07,2,0.6329
2020,NUTS,2010,CZ07,2,0.6693
2011,NUTS,2010,CZ08,2,0.5255
2012,NUTS,2010,CZ08,2,0.5774
2013,NUTS,2010,CZ08,2,0.4634
2014,NUTS,2010,CZ08,2,0.4521
2015,NUTS,2010,CZ08,2,0.4813
2016,NUTS,2010,CZ08,2,0.4585
2017,NUTS,2010,CZ08,2,0.4367
2018,NUTS,2010,CZ08,2,0.5367
2019,NUTS,2010,CZ08,2,0.519
2020,NUTS,2010,CZ08,2,0.5206
2011,NUTS,2010,DE,0,0.7735
2012,NUTS,2010,DE,0,0.7996
2013,NUTS,2010,DE,0,0.8362
2014,NUTS,2010,DE,0,0.8432
2015,NUTS,2010,DE,0,0.8499
2016,NUTS,2010,DE,0,0.8369
2017,NUTS,2010,DE,0,0.8492
2018,NUTS,2010,DE,0,0.8691
2019,NUTS,2010,DE,0,0.8767
2011,NUTS,2010,DK,0,1.234
2012,NUTS,2010,DK,0,1.4396
2013,NUTS,2010,DK,0,1.5033
2014,NUTS,2010,DK,0,1.3181
2015,NUTS,2010,DK,0,1.4041
2016,NUTS,2010,DK,0,1.3694
2017,NUTS,2010,DK,0,1.3259
2018,NUTS,2010,DK,0,1.3628
2019,NUTS,2010,DK,0,1.3567
2011,NUTS,2010,DK0,1,1.2495
2012,NUTS,2010,DK0,1,1.4096
2013,NUTS,2010,DK0,1,1.4725
2014,NUTS,2010,DK0,1,1.2861
2015,NUTS,2010,DK0,1,1.3755
2016,NUTS,2010,DK0,1,1.3378
2017,NUTS,2010,DK0,1,1.2966
2018,NUTS,2010,DK0,1,1.3351
2019,NUTS,2010,DK0,1,1.3278
2011,NUTS,2010,DK01,2,2.0208
2012,NUTS,2010,DK01,2,2.0005
2013,NUTS,2010,DK01,2,2.1475
2014,NUTS,2010,DK01,2,1.9102
2015,NUTS,2010,DK01,2,2.1301
2016,NUTS,2010,DK01,2,1.9978
2017,NUTS,2010,DK01,2,1.9886
2019,NUTS,2010,DK01,2,2.0327
2011,NUTS,2010,DK02,2,0.4903
2012,NUTS,2010,DK02,2,0.4742
2013,NUTS,2010,DK02,2,0.4755
2014,NUTS,2010,DK02,2,0.4832
2015,NUTS,2010,DK02,2,0.4396
2016,NUTS,2010,DK02,2,0.5114
2017,NUTS,2010,DK02,2,0.4693
2019,NUTS,2010,DK02,2,0.5069
2011,NUTS,2010,DK03,2,0.6205
2012,NUTS,2010,DK03,2,0.6872
2013,NUTS,2010,DK03,2,0.716
2014,NUTS,2010,DK03,2,0.7393
2015,NUTS,2010,DK03,2,0.7975
2016,NUTS,2010,DK03,2,0.7634
2017,NUTS,2010,DK03,2,0.5991
2019,NUTS,2010,DK03,2,0.5836
2011,NUTS,2010,DK04,2,1.2446
2012,NUTS,2010,DK04,2,1.7326
2013,NUTS,2010,DK04,2,1.7632
2014,NUTS,2010,DK04,2,1.3002
2015,NUTS,2010,DK04,2,1.3359
2016,NUTS,2010,DK04,2,1.3459
2017,NUTS,2010,DK04,2,1.2433
2019,NUTS,2010,DK04,2,1.254
2011,NUTS,2010,DK05,2,1.0529
2012,NUTS,2010,DK05,2,1.4686
2013,NUTS,2010,DK05,2,1.4669
2014,NUTS,2010,DK05,2,1.3273
2015,NUTS,2010,DK05,2,1.3056
2016,NUTS,2010,DK05,2,1.2631
2017,NUTS,2010,DK05,2,1.5312
2019,NUTS,2010,DK05,2,1.6946
2011,NUTS,2010,EA19,2,0.7588
2012,NUTS,2010,EA19,2,0.7797
2013,NUTS,2010,EA19,2,0.7987
