year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_fte_bes_total_t
1998,NUTS,2010,AT,0,0.5332
2002,NUTS,2010,AT,0,0.6969
2004,NUTS,2010,AT,0,0.754
2005,NUTS,2010,AT,0,0.8332
2006,NUTS,2010,AT,0,0.8544
2007,NUTS,2010,AT,0,0.9102
2008,NUTS,2010,AT,0,0.9828
2009,NUTS,2010,AT,0,0.9234
2010,NUTS,2010,AT,0,0.9838
2011,NUTS,2010,AT,0,1.0045
2012,NUTS,2010,AT,0,1.0731
2013,NUTS,2010,AT,0,1.0846
2014,NUTS,2010,AT,0,1.1529
2015,NUTS,2010,AT,0,1.1649
2016,NUTS,2010,AT,0,1.1706
2017,NUTS,2010,AT,0,1.1787
2018,NUTS,2010,AT,0,1.2365
2019,NUTS,2010,AT,0,1.302
2020,NUTS,2010,AT,0,1.2652
2002,NUTS,2010,AT1,1,0.7553
2004,NUTS,2010,AT1,1,0.7891
2006,NUTS,2010,AT1,1,0.8606
2007,NUTS,2010,AT1,1,0.9014
2009,NUTS,2010,AT1,1,0.8406
2011,NUTS,2010,AT1,1,0.8724
2013,NUTS,2010,AT1,1,0.8491
2015,NUTS,2010,AT1,1,0.8817
2017,NUTS,2010,AT1,1,0.8428
2019,NUTS,2010,AT1,1,0.9393
2002,NUTS,2010,AT11,2,0.2124
2004,NUTS,2010,AT11,2,0.2339
2006,NUTS,2010,AT11,2,0.2214
2007,NUTS,2010,AT11,2,0.2542
2009,NUTS,2010,AT11,2,0.3009
2011,NUTS,2010,AT11,2,0.3803
2013,NUTS,2010,AT11,2,0.4335
2015,NUTS,2010,AT11,2,0.4754
2017,NUTS,2010,AT11,2,0.4827
2019,NUTS,2010,AT11,2,0.4896
2002,NUTS,2010,AT12,2,0.344
2004,NUTS,2010,AT12,2,0.392
2006,NUTS,2010,AT12,2,0.4769
2007,NUTS,2010,AT12,2,0.4962
2009,NUTS,2010,AT12,2,0.5163
2011,NUTS,2010,AT12,2,0.5656
2013,NUTS,2010,AT12,2,0.5924
2015,NUTS,2010,AT12,2,0.647
2017,NUTS,2010,AT12,2,0.656
2019,NUTS,2010,AT12,2,0.7437
2002,NUTS,2010,AT13,2,1.2395
2004,NUTS,2010,AT13,2,1.2569
2006,NUTS,2010,AT13,2,1.3324
2007,NUTS,2010,AT13,2,1.4036
2009,NUTS,2010,AT13,2,1.2459
2011,NUTS,2010,AT13,2,1.2523
2013,NUTS,2010,AT13,2,1.1565
2015,NUTS,2010,AT13,2,1.1643
2017,NUTS,2010,AT13,2,1.0688
2019,NUTS,2010,AT13,2,1.179
2002,NUTS,2010,AT2,1,0.7722
2004,NUTS,2010,AT2,1,0.8908
2006,NUTS,2010,AT2,1,1.009
2007,NUTS,2010,AT2,1,1.0769
2009,NUTS,2010,AT2,1,1.12
2011,NUTS,2010,AT2,1,1.2895
2013,NUTS,2010,AT2,1,1.4621
2015,NUTS,2010,AT2,1,1.6137
2017,NUTS,2010,AT2,1,1.6762
2019,NUTS,2010,AT2,1,1.8554
2002,NUTS,2010,AT21,2,0.5346
2004,NUTS,2010,AT21,2,0.6638
2006,NUTS,2010,AT21,2,0.7767
2007,NUTS,2010,AT21,2,0.8311
2009,NUTS,2010,AT21,2,0.8792
2011,NUTS,2010,AT21,2,0.9854
2013,NUTS,2010,AT21,2,1.024
2015,NUTS,2010,AT21,2,1.0925
2017,NUTS,2010,AT21,2,1.0986
2019,NUTS,2010,AT21,2,1.2474
2002,NUTS,2010,AT22,2,0.8812
2004,NUTS,2010,AT22,2,0.9937
2006,NUTS,2010,AT22,2,1.1124
2007,NUTS,2010,AT22,2,1.1866
2009,NUTS,2010,AT22,2,1.2272
2011,NUTS,2010,AT22,2,1.4239
2013,NUTS,2010,AT22,2,1.6567
2015,NUTS,2010,AT22,2,1.8444
2017,NUTS,2010,AT22,2,1.9273
2019,NUTS,2010,AT22,2,2.1185
2002,NUTS,2010,AT3,1,0.5754
2004,NUTS,2010,AT3,1,0.6561
2006,NUTS,2010,AT3,1,0.735
2007,NUTS,2010,AT3,1,0.7908
2009,NUTS,2010,AT3,1,0.8744
2011,NUTS,2010,AT3,1,0.9618
2013,NUTS,2010,AT3,1,1.1078
2015,NUTS,2010,AT3,1,1.2038
2017,NUTS,2010,AT3,1,1.2631
2019,NUTS,2010,AT3,1,1.3801
2002,NUTS,2010,AT31,2,0.6705
2004,NUTS,2010,AT31,2,0.7833
2006,NUTS,2010,AT31,2,0.906
2007,NUTS,2010,AT31,2,0.989
2009,NUTS,2010,AT31,2,1.0756
2011,NUTS,2010,AT31,2,1.191
2013,NUTS,2010,AT31,2,1.4155
2015,NUTS,2010,AT31,2,1.5419
2017,NUTS,2010,AT31,2,1.5694
2019,NUTS,2010,AT31,2,1.7398
2002,NUTS,2010,AT32,2,0.3098
2004,NUTS,2010,AT32,2,0.3777
2006,NUTS,2010,AT32,2,0.4416
2007,NUTS,2010,AT32,2,0.453
2009,NUTS,2010,AT32,2,0.5094
2011,NUTS,2010,AT32,2,0.6036
2013,NUTS,2010,AT32,2,0.6999
2015,NUTS,2010,AT32,2,0.7497
2017,NUTS,2010,AT32,2,0.8773
2019,NUTS,2010,AT32,2,0.969
2002,NUTS,2010,AT33,2,0.5327
2004,NUTS,2010,AT33,2,0.6033
2006,NUTS,2010,AT33,2,0.6037
2007,NUTS,2010,AT33,2,0.6358
2009,NUTS,2010,AT33,2,0.7195
2011,NUTS,2010,AT33,2,0.8134
2013,NUTS,2010,AT33,2,0.8751
2015,NUTS,2010,AT33,2,0.9136
2017,NUTS,2010,AT33,2,1.0094
2019,NUTS,2010,AT33,2,1.0362
2002,NUTS,2010,AT34,2,0.6917
2004,NUTS,2010,AT34,2,0.6725
2006,NUTS,2010,AT34,2,0.7534
2007,NUTS,2010,AT34,2,0.8201
2009,NUTS,2010,AT34,2,0.9209
2011,NUTS,2010,AT34,2,0.8819
2013,NUTS,2010,AT34,2,0.9686
2015,NUTS,2010,AT34,2,1.1142
2017,NUTS,2010,AT34,2,1.1401
2019,NUTS,2010,AT34,2,1.2663
1993,NUTS,2010,BE,0,0.5399
1994,NUTS,2010,BE,0,0.5673
1995,NUTS,2010,BE,0,0.5848
1996,NUTS,2010,BE,0,0.6502
1997,NUTS,2010,BE,0,0.6654
1998,NUTS,2010,BE,0,0.6829
1999,NUTS,2010,BE,0,0.7088
2000,NUTS,2010,BE,0,0.7654
2001,NUTS,2010,BE,0,0.8215
2002,NUTS,2010,BE,0,0.7237
2003,NUTS,2010,BE,0,0.7116
2004,NUTS,2010,BE,0,0.6842
2005,NUTS,2010,BE,0,0.6889
2006,NUTS,2010,BE,0,0.7095
2007,NUTS,2010,BE,0,0.7235
2008,NUTS,2010,BE,0,0.6932
2009,NUTS,2010,BE,0,0.6909
2010,NUTS,2010,BE,0,0.6727
2011,NUTS,2010,BE,0,0.7264
2012,NUTS,2010,BE,0,0.7854
2013,NUTS,2010,BE,0,0.7845
2014,NUTS,2010,BE,0,0.8604
2015,NUTS,2010,BE,0,0.903
2016,NUTS,2010,BE,0,0.9437
2017,NUTS,2010,BE,0,1.0135
2018,NUTS,2010,BE,0,1.0692
2019,NUTS,2010,BE,0,1.1423
2020,NUTS,2010,BE,0,1.2826
1999,NUTS,2010,BE1,1,0.7734
2000,NUTS,2010,BE1,1,0.8946
2001,NUTS,2010,BE1,1,0.9722
2002,NUTS,2010,BE1,1,0.7472
2003,NUTS,2010,BE1,1,0.7044
2004,NUTS,2010,BE1,1,0.7266
2005,NUTS,2010,BE1,1,0.7119
2006,NUTS,2010,BE1,1,0.8619
2007,NUTS,2010,BE1,1,0.895
2008,NUTS,2010,BE1,1,0.8059
2009,NUTS,2010,BE1,1,0.8082
2010,NUTS,2010,BE1,1,0.6428
2011,NUTS,2010,BE1,1,0.6869
2013,NUTS,2010,BE1,1,0.8556
2014,NUTS,2010,BE1,1,0.9287
2015,NUTS,2010,BE1,1,0.9738
2016,NUTS,2010,BE1,1,1.0923
2017,NUTS,2010,BE1,1,1.1505
2018,NUTS,2010,BE1,1,1.3731
2019,NUTS,2010,BE1,1,1.4798
1999,NUTS,2010,BE10,2,0.7734
2000,NUTS,2010,BE10,2,0.8946
2001,NUTS,2010,BE10,2,0.9722
2002,NUTS,2010,BE10,2,0.7472
2003,NUTS,2010,BE10,2,0.7044
2004,NUTS,2010,BE10,2,0.7266
2005,NUTS,2010,BE10,2,0.7119
2006,NUTS,2010,BE10,2,0.8619
2007,NUTS,2010,BE10,2,0.895
2008,NUTS,2010,BE10,2,0.8059
2009,NUTS,2010,BE10,2,0.8082
2010,NUTS,2010,BE10,2,0.6428
2011,NUTS,2010,BE10,2,0.6869
2013,NUTS,2010,BE10,2,0.8556
2014,NUTS,2010,BE10,2,0.9287
2015,NUTS,2010,BE10,2,0.9738
2016,NUTS,2010,BE10,2,1.0923
2017,NUTS,2010,BE10,2,1.1505
2018,NUTS,2010,BE10,2,1.3731
2019,NUTS,2010,BE10,2,1.4798
1999,NUTS,2010,BE2,1,0.783
2000,NUTS,2010,BE2,1,0.8491
2001,NUTS,2010,BE2,1,0.9202
2002,NUTS,2010,BE2,1,0.7951
2003,NUTS,2010,BE2,1,0.7743
2004,NUTS,2010,BE2,1,0.7461
2005,NUTS,2010,BE2,1,0.744
2006,NUTS,2010,BE2,1,0.7607
2007,NUTS,2010,BE2,1,0.7652
2008,NUTS,2010,BE2,1,0.7479
2009,NUTS,2010,BE2,1,0.74
2010,NUTS,2010,BE2,1,0.7315
2011,NUTS,2010,BE2,1,0.7816
2013,NUTS,2010,BE2,1,0.8212
2014,NUTS,2010,BE2,1,0.8879
2015,NUTS,2010,BE2,1,0.9353
2016,NUTS,2010,BE2,1,0.997
2017,NUTS,2010,BE2,1,1.0706
2018,NUTS,2010,BE2,1,1.1305
2019,NUTS,2010,BE2,1,1.2503
1999,NUTS,2010,BE3,1,0.5438
2000,NUTS,2010,BE3,1,0.5462
2001,NUTS,2010,BE3,1,0.5959
2002,NUTS,2010,BE3,1,0.5891
2003,NUTS,2010,BE3,1,0.5992
2004,NUTS,2010,BE3,1,0.5607
