year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_total_gov_f
1998,NUTS,2010,AT,0,0.148
2002,NUTS,2010,AT,0,0.1593
2004,NUTS,2010,AT,0,0.1464
2006,NUTS,2010,AT,0,0.1353
2007,NUTS,2010,AT,0,0.1329
2009,NUTS,2010,AT,0,0.1458
2011,NUTS,2010,AT,0,0.1543
2013,NUTS,2010,AT,0,0.1522
2015,NUTS,2010,AT,0,0.1611
2017,NUTS,2010,AT,0,0.2241
2019,NUTS,2010,AT,0,0.2393
2002,NUTS,2010,AT1,1,0.2932
2004,NUTS,2010,AT1,1,0.2672
2011,NUTS,2010,AT1,1,0.2552
2013,NUTS,2010,AT1,1,0.2514
2019,NUTS,2010,AT1,1,0.4211
2002,NUTS,2010,AT11,2,0.0592
2004,NUTS,2010,AT11,2,0.0633
2011,NUTS,2010,AT11,2,0.0533
2013,NUTS,2010,AT11,2,0.0508
2002,NUTS,2010,AT12,2,0.0356
2004,NUTS,2010,AT12,2,0.0391
2006,NUTS,2010,AT12,2,0.0379
2007,NUTS,2010,AT12,2,0.0335
2009,NUTS,2010,AT12,2,0.0352
2011,NUTS,2010,AT12,2,0.0399
2013,NUTS,2010,AT12,2,0.0471
2015,NUTS,2010,AT12,2,0.0642
2017,NUTS,2010,AT12,2,0.0908
2002,NUTS,2010,AT13,2,0.5644
2004,NUTS,2010,AT13,2,0.5111
2006,NUTS,2010,AT13,2,0.4246
2007,NUTS,2010,AT13,2,0.4325
2009,NUTS,2010,AT13,2,0.4891
2011,NUTS,2010,AT13,2,0.4907
2013,NUTS,2010,AT13,2,0.4675
2015,NUTS,2010,AT13,2,0.4817
2017,NUTS,2010,AT13,2,0.6981
2019,NUTS,2010,AT13,2,0.7734
2002,NUTS,2010,AT2,1,0.0674
2004,NUTS,2010,AT2,1,0.0814
2006,NUTS,2010,AT2,1,0.0943
2015,NUTS,2010,AT2,1,0.0727
2019,NUTS,2010,AT2,1,0.1239
2002,NUTS,2010,AT21,2,0.0457
2004,NUTS,2010,AT21,2,0.053
2006,NUTS,2010,AT21,2,0.0582
2011,NUTS,2010,AT21,2,0.0483
2002,NUTS,2010,AT22,2,0.0773
2004,NUTS,2010,AT22,2,0.0946
2006,NUTS,2010,AT22,2,0.1103
2009,NUTS,2010,AT22,2,0.105
2002,NUTS,2010,AT3,1,0.0488
2004,NUTS,2010,AT3,1,0.0414
2007,NUTS,2010,AT3,1,0.0471
2019,NUTS,2010,AT3,1,0.0827
2002,NUTS,2010,AT31,2,0.0294
2004,NUTS,2010,AT31,2,0.0287
2006,NUTS,2010,AT31,2,0.0404
2007,NUTS,2010,AT31,2,0.0396
2009,NUTS,2010,AT31,2,0.0369
2011,NUTS,2010,AT31,2,0.0376
2013,NUTS,2010,AT31,2,0.0339
2015,NUTS,2010,AT31,2,0.047
2017,NUTS,2010,AT31,2,0.0492
2019,NUTS,2010,AT31,2,0.0518
2002,NUTS,2010,AT32,2,0.0753
2004,NUTS,2010,AT32,2,0.0483
2006,NUTS,2010,AT32,2,0.0627
2009,NUTS,2010,AT32,2,0.0773
2015,NUTS,2010,AT32,2,0.1455
2017,NUTS,2010,AT32,2,0.1372
2019,NUTS,2010,AT32,2,0.1311
2002,NUTS,2010,AT33,2,0.057
2004,NUTS,2010,AT33,2,0.0507
2006,NUTS,2010,AT33,2,0.0529
2013,NUTS,2010,AT33,2,0.062
2019,NUTS,2010,AT33,2,0.067
2002,NUTS,2010,AT34,2,0.068
2004,NUTS,2010,AT34,2,0.0614
2011,NUTS,2010,AT34,2,0.1212
2013,NUTS,2010,AT34,2,0.1291
2015,NUTS,2010,AT34,2,0.1544
2017,NUTS,2010,AT34,2,0.1639
2019,NUTS,2010,AT34,2,0.1593
2002,NUTS,2010,BE,0,0.0697
2003,NUTS,2010,BE,0,0.0695
2004,NUTS,2010,BE,0,0.07
2005,NUTS,2010,BE,0,0.0707
2006,NUTS,2010,BE,0,0.0599
2007,NUTS,2010,BE,0,0.0601
2008,NUTS,2010,BE,0,0.088
2009,NUTS,2010,BE,0,0.0917
2010,NUTS,2010,BE,0,0.0866
2011,NUTS,2010,BE,0,0.0894
2012,NUTS,2010,BE,0,0.1169
2013,NUTS,2010,BE,0,0.1177
2014,NUTS,2010,BE,0,0.1226
2015,NUTS,2010,BE,0,0.1275
2016,NUTS,2010,BE,0,0.1276
2017,NUTS,2010,BE,0,0.1322
2018,NUTS,2010,BE,0,0.1436
2019,NUTS,2010,BE,0,0.1455
2002,NUTS,2010,BE1,1,0.2112
2003,NUTS,2010,BE1,1,0.2084
2004,NUTS,2010,BE1,1,0.2012
2005,NUTS,2010,BE1,1,0.202
2006,NUTS,2010,BE1,1,0.2021
2007,NUTS,2010,BE1,1,0.2062
2008,NUTS,2010,BE1,1,0.2175
2009,NUTS,2010,BE1,1,0.2164
2010,NUTS,2010,BE1,1,0.2269
2011,NUTS,2010,BE1,1,0.2294
2012,NUTS,2010,BE1,1,0.4079
2013,NUTS,2010,BE1,1,0.404
2014,NUTS,2010,BE1,1,0.3576
2015,NUTS,2010,BE1,1,0.3897
2016,NUTS,2010,BE1,1,0.3748
2017,NUTS,2010,BE1,1,0.3796
2018,NUTS,2010,BE1,1,0.421
2019,NUTS,2010,BE1,1,0.4236
2002,NUTS,2010,BE10,2,0.2112
2003,NUTS,2010,BE10,2,0.2084
2004,NUTS,2010,BE10,2,0.2012
2005,NUTS,2010,BE10,2,0.202
2006,NUTS,2010,BE10,2,0.2021
2007,NUTS,2010,BE10,2,0.2062
2008,NUTS,2010,BE10,2,0.2175
2009,NUTS,2010,BE10,2,0.2164
2010,NUTS,2010,BE10,2,0.2269
2011,NUTS,2010,BE10,2,0.2294
2012,NUTS,2010,BE10,2,0.4079
2013,NUTS,2010,BE10,2,0.404
2014,NUTS,2010,BE10,2,0.3576
2015,NUTS,2010,BE10,2,0.3897
2016,NUTS,2010,BE10,2,0.3748
2017,NUTS,2010,BE10,2,0.3796
2018,NUTS,2010,BE10,2,0.421
2019,NUTS,2010,BE10,2,0.4236
2002,NUTS,2010,BE2,1,0.0722
2003,NUTS,2010,BE2,1,0.0726
2004,NUTS,2010,BE2,1,0.0812
