year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_fte_gov_total_f
1998,NUTS,2010,AT,0,0.0538
2002,NUTS,2010,AT,0,0.0504
2004,NUTS,2010,AT,0,0.0506
2006,NUTS,2010,AT,0,0.0575
2007,NUTS,2010,AT,0,0.0577
2009,NUTS,2010,AT,0,0.0629
2011,NUTS,2010,AT,0,0.0626
2013,NUTS,2010,AT,0,0.062
2015,NUTS,2010,AT,0,0.0646
2017,NUTS,2010,AT,0,0.108
2019,NUTS,2010,AT,0,0.1118
2000,NUTS,2010,BE,0,0.0675
2001,NUTS,2010,BE,0,0.0716
2002,NUTS,2010,BE,0,0.0701
2003,NUTS,2010,BE,0,0.0703
2004,NUTS,2010,BE,0,0.0651
2005,NUTS,2010,BE,0,0.066
2006,NUTS,2010,BE,0,0.0661
2007,NUTS,2010,BE,0,0.0666
2008,NUTS,2010,BE,0,0.0785
2009,NUTS,2010,BE,0,0.0825
2010,NUTS,2010,BE,0,0.0769
2011,NUTS,2010,BE,0,0.0794
2012,NUTS,2010,BE,0,0.1094
2013,NUTS,2010,BE,0,0.11
2014,NUTS,2010,BE,0,0.1164
2015,NUTS,2010,BE,0,0.1195
2016,NUTS,2010,BE,0,0.1211
2017,NUTS,2010,BE,0,0.1282
2018,NUTS,2010,BE,0,0.1357
2019,NUTS,2010,BE,0,0.1365
2000,NUTS,2010,BG,0,0.466
2001,NUTS,2010,BG,0,0.466
2002,NUTS,2010,BG,0,0.4722
2003,NUTS,2010,BG,0,0.4524
2004,NUTS,2010,BG,0,0.4411
2005,NUTS,2010,BG,0,0.4247
2006,NUTS,2010,BG,0,0.4104
2007,NUTS,2010,BG,0,0.3926
2008,NUTS,2010,BG,0,0.3676
2009,NUTS,2010,BG,0,0.3788
2010,NUTS,2010,BG,0,0.3964
2011,NUTS,2010,BG,0,0.3972
2012,NUTS,2010,BG,0,0.399
2013,NUTS,2010,BG,0,0.3881
2014,NUTS,2010,BG,0,0.3764
2015,NUTS,2010,BG,0,0.3442
2016,NUTS,2010,BG,0,0.3406
2017,NUTS,2010,BG,0,0.3218
2018,NUTS,2010,BG,0,0.3246
2019,NUTS,2010,BG,0,0.3215
1998,NUTS,2010,CY,0,0.1036
1999,NUTS,2010,CY,0,0.1292
2000,NUTS,2010,CY,0,0.1099
2001,NUTS,2010,CY,0,0.105
2002,NUTS,2010,CY,0,0.1117
2003,NUTS,2010,CY,0,0.1086
2004,NUTS,2010,CY,0,0.1078
2005,NUTS,2010,CY,0,0.1044
2006,NUTS,2010,CY,0,0.099
2007,NUTS,2010,CY,0,0.0872
2008,NUTS,2010,CY,0,0.0829
2009,NUTS,2010,CY,0,0.0717
2010,NUTS,2010,CY,0,0.071
2011,NUTS,2010,CY,0,0.0615
2012,NUTS,2010,CY,0,0.062
2013,NUTS,2010,CY,0,0.0631
2014,NUTS,2010,CY,0,0.0626
2015,NUTS,2010,CY,0,0.0633
2016,NUTS,2010,CY,0,0.0687
2017,NUTS,2010,CY,0,0.0723
2018,NUTS,2010,CY,0,0.0653
2019,NUTS,2010,CY,0,0.0664
2000,NUTS,2010,CZ,0,0.1485
2001,NUTS,2010,CZ,0,0.1627
2002,NUTS,2010,CZ,0,0.1534
2003,NUTS,2010,CZ,0,0.17
2004,NUTS,2010,CZ,0,0.1627
2005,NUTS,2010,CZ,0,0.2554
2006,NUTS,2010,CZ,0,0.2615
2007,NUTS,2010,CZ,0,0.2722
2008,NUTS,2010,CZ,0,0.263
2009,NUTS,2010,CZ,0,0.2626
2010,NUTS,2010,CZ,0,0.2576
2011,NUTS,2010,CZ,0,0.2658
2012,NUTS,2010,CZ,0,0.2689
2013,NUTS,2010,CZ,0,0.2751
