year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_fte_total_rse_f
1998,NUTS,2010,AT,0,0.1665
2002,NUTS,2010,AT,0,0.2301
2004,NUTS,2010,AT,0,0.2876
2006,NUTS,2010,AT,0,0.3286
2007,NUTS,2010,AT,0,0.3699
2009,NUTS,2010,AT,0,0.4262
2011,NUTS,2010,AT,0,0.4545
2013,NUTS,2010,AT,0,0.4895
2015,NUTS,2010,AT,0,0.5259
2017,NUTS,2010,AT,0,0.5687
2019,NUTS,2010,AT,0,0.6248
2002,NUTS,2010,AT1,1,0.3372
2004,NUTS,2010,AT1,1,0.4114
2006,NUTS,2010,AT1,1,0.4639
2007,NUTS,2010,AT1,1,0.5322
2009,NUTS,2010,AT1,1,0.6057
2011,NUTS,2010,AT1,1,0.6339
2013,NUTS,2010,AT1,1,0.6481
2015,NUTS,2010,AT1,1,0.6811
2017,NUTS,2010,AT1,1,0.7005
2019,NUTS,2010,AT1,1,0.7758
2002,NUTS,2010,AT11,2,0.0475
2004,NUTS,2010,AT11,2,0.0538
2006,NUTS,2010,AT11,2,0.0665
2007,NUTS,2010,AT11,2,0.0556
2009,NUTS,2010,AT11,2,0.053
2011,NUTS,2010,AT11,2,0.077
2013,NUTS,2010,AT11,2,0.0739
2015,NUTS,2010,AT11,2,0.0827
2017,NUTS,2010,AT11,2,0.1071
2019,NUTS,2010,AT11,2,0.0934
2002,NUTS,2010,AT12,2,0.057
2004,NUTS,2010,AT12,2,0.0685
2006,NUTS,2010,AT12,2,0.1025
2007,NUTS,2010,AT12,2,0.1064
2009,NUTS,2010,AT12,2,0.1264
2011,NUTS,2010,AT12,2,0.1636
2013,NUTS,2010,AT12,2,0.1804
2015,NUTS,2010,AT12,2,0.1955
2017,NUTS,2010,AT12,2,0.2199
2019,NUTS,2010,AT12,2,0.309
2002,NUTS,2010,AT13,2,0.6407
2004,NUTS,2010,AT13,2,0.8034
2006,NUTS,2010,AT13,2,0.8765
2007,NUTS,2010,AT13,2,1.0342
2009,NUTS,2010,AT13,2,1.1662
2011,NUTS,2010,AT13,2,1.1836
2013,NUTS,2010,AT13,2,1.1808
2015,NUTS,2010,AT13,2,1.2426
2017,NUTS,2010,AT13,2,1.2533
2019,NUTS,2010,AT13,2,1.3156
2002,NUTS,2010,AT2,1,0.193
2004,NUTS,2010,AT2,1,0.2487
2006,NUTS,2010,AT2,1,0.2955
2007,NUTS,2010,AT2,1,0.32
2009,NUTS,2010,AT2,1,0.3676
2011,NUTS,2010,AT2,1,0.4129
2013,NUTS,2010,AT2,1,0.442
2015,NUTS,2010,AT2,1,0.4905
2017,NUTS,2010,AT2,1,0.5829
2019,NUTS,2010,AT2,1,0.6652
2002,NUTS,2010,AT21,2,0.1138
2004,NUTS,2010,AT21,2,0.1738
2006,NUTS,2010,AT21,2,0.2019
2007,NUTS,2010,AT21,2,0.2328
2009,NUTS,2010,AT21,2,0.2521
2011,NUTS,2010,AT21,2,0.2428
2013,NUTS,2010,AT21,2,0.2297
2015,NUTS,2010,AT21,2,0.2621
2017,NUTS,2010,AT21,2,0.431
2019,NUTS,2010,AT21,2,0.4827
2002,NUTS,2010,AT22,2,0.2293
2004,NUTS,2010,AT22,2,0.2829
2006,NUTS,2010,AT22,2,0.3366
2007,NUTS,2010,AT22,2,0.3585
2009,NUTS,2010,AT22,2,0.4189
2011,NUTS,2010,AT22,2,0.4876
2013,NUTS,2010,AT22,2,0.5372
2015,NUTS,2010,AT22,2,0.5913
2017,NUTS,2010,AT22,2,0.6494
2019,NUTS,2010,AT22,2,0.7439
2002,NUTS,2010,AT3,1,0.1254
2004,NUTS,2010,AT3,1,0.1702
2006,NUTS,2010,AT3,1,0.1838
2007,NUTS,2010,AT3,1,0.2013
2009,NUTS,2010,AT3,1,0.2387
2011,NUTS,2010,AT3,1,0.2558
2013,NUTS,2010,AT3,1,0.3177
2015,NUTS,2010,AT3,1,0.3454
2017,NUTS,2010,AT3,1,0.3876
2019,NUTS,2010,AT3,1,0.4117
2002,NUTS,2010,AT31,2,0.0745
2004,NUTS,2010,AT31,2,0.1021
2006,NUTS,2010,AT31,2,0.126
2007,NUTS,2010,AT31,2,0.1353
2009,NUTS,2010,AT31,2,0.1581
2011,NUTS,2010,AT31,2,0.188
2013,NUTS,2010,AT31,2,0.2482
2015,NUTS,2010,AT31,2,0.2632
2017,NUTS,2010,AT31,2,0.2818
2019,NUTS,2010,AT31,2,0.343
2002,NUTS,2010,AT32,2,0.1091
2004,NUTS,2010,AT32,2,0.1513
2006,NUTS,2010,AT32,2,0.176
2007,NUTS,2010,AT32,2,0.1821
2009,NUTS,2010,AT32,2,0.2437
2011,NUTS,2010,AT32,2,0.2644
2013,NUTS,2010,AT32,2,0.3315
2015,NUTS,2010,AT32,2,0.3917
2017,NUTS,2010,AT32,2,0.422
2019,NUTS,2010,AT32,2,0.4654
2002,NUTS,2010,AT33,2,0.2746
2004,NUTS,2010,AT33,2,0.3617
2006,NUTS,2010,AT33,2,0.3701
2007,NUTS,2010,AT33,2,0.4133
2009,NUTS,2010,AT33,2,0.4672
2011,NUTS,2010,AT33,2,0.4665
2013,NUTS,2010,AT33,2,0.5323
2015,NUTS,2010,AT33,2,0.5774
2017,NUTS,2010,AT33,2,0.6793
2019,NUTS,2010,AT33,2,0.6232
2002,NUTS,2010,AT34,2,0.0578
2004,NUTS,2010,AT34,2,0.0836
2006,NUTS,2010,AT34,2,0.0537
2007,NUTS,2010,AT34,2,0.066
