year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_gov_rse_t
1998,NUTS,2010,AT,0,0.0627
2002,NUTS,2010,AT,0,0.0643
2004,NUTS,2010,AT,0,0.0634
2006,NUTS,2010,AT,0,0.0737
2007,NUTS,2010,AT,0,0.072
2009,NUTS,2010,AT,0,0.0805
2011,NUTS,2010,AT,0,0.0838
2013,NUTS,2010,AT,0,0.0862
2015,NUTS,2010,AT,0,0.0921
2017,NUTS,2010,AT,0,0.1577
2019,NUTS,2010,AT,0,0.1644
2002,NUTS,2010,AT1,1,0.1237
2004,NUTS,2010,AT1,1,0.1213
2011,NUTS,2010,AT1,1,0.1499
2013,NUTS,2010,AT1,1,0.1507
2019,NUTS,2010,AT1,1,0.2982
2002,NUTS,2010,AT11,2,0.0246
2004,NUTS,2010,AT11,2,0.0268
2011,NUTS,2010,AT11,2,0.0202
2013,NUTS,2010,AT11,2,0.0216
2002,NUTS,2010,AT12,2,0.0127
2004,NUTS,2010,AT12,2,0.0149
2006,NUTS,2010,AT12,2,0.0152
2007,NUTS,2010,AT12,2,0.0148
2009,NUTS,2010,AT12,2,0.017
2011,NUTS,2010,AT12,2,0.0204
2013,NUTS,2010,AT12,2,0.0225
2015,NUTS,2010,AT12,2,0.0389
2017,NUTS,2010,AT12,2,0.0549
2002,NUTS,2010,AT13,2,0.2505
2004,NUTS,2010,AT13,2,0.2454
2006,NUTS,2010,AT13,2,0.2776
2007,NUTS,2010,AT13,2,0.2802
2009,NUTS,2010,AT13,2,0.3061
2011,NUTS,2010,AT13,2,0.3033
2013,NUTS,2010,AT13,2,0.2983
2015,NUTS,2010,AT13,2,0.3094
2017,NUTS,2010,AT13,2,0.5459
2019,NUTS,2010,AT13,2,0.5708
2002,NUTS,2010,AT2,1,0.0228
2004,NUTS,2010,AT2,1,0.0284
2006,NUTS,2010,AT2,1,0.031
2015,NUTS,2010,AT2,1,0.0296
2019,NUTS,2010,AT2,1,0.0768
2002,NUTS,2010,AT21,2,0.0177
2004,NUTS,2010,AT21,2,0.0238
2006,NUTS,2010,AT21,2,0.0252
2011,NUTS,2010,AT21,2,0.0222
2002,NUTS,2010,AT22,2,0.0252
2004,NUTS,2010,AT22,2,0.0305
2006,NUTS,2010,AT22,2,0.0335
2009,NUTS,2010,AT22,2,0.035
2002,NUTS,2010,AT3,1,0.0213
2004,NUTS,2010,AT3,1,0.0205
2007,NUTS,2010,AT3,1,0.0231
2019,NUTS,2010,AT3,1,0.0542
2002,NUTS,2010,AT31,2,0.0127
2004,NUTS,2010,AT31,2,0.0128
2006,NUTS,2010,AT31,2,0.0211
2007,NUTS,2010,AT31,2,0.0189
2009,NUTS,2010,AT31,2,0.0182
2011,NUTS,2010,AT31,2,0.02
2013,NUTS,2010,AT31,2,0.0167
2015,NUTS,2010,AT31,2,0.0214
2017,NUTS,2010,AT31,2,0.0444
2019,NUTS,2010,AT31,2,0.0423
2002,NUTS,2010,AT32,2,0.0476
2004,NUTS,2010,AT32,2,0.0396
2006,NUTS,2010,AT32,2,0.046
2009,NUTS,2010,AT32,2,0.063
2015,NUTS,2010,AT32,2,0.1165
2017,NUTS,2010,AT32,2,0.1052
2019,NUTS,2010,AT32,2,0.1049
2002,NUTS,2010,AT33,2,0.0175
2004,NUTS,2010,AT33,2,0.0199
2006,NUTS,2010,AT33,2,0.0236
2013,NUTS,2010,AT33,2,0.027
2019,NUTS,2010,AT33,2,0.0498
2002,NUTS,2010,AT34,2,0.0222
2004,NUTS,2010,AT34,2,0.0236
2011,NUTS,2010,AT34,2,0.0299
2013,NUTS,2010,AT34,2,0.0283
2015,NUTS,2010,AT34,2,0.0336
2017,NUTS,2010,AT34,2,0.0344
2019,NUTS,2010,AT34,2,0.0353
2002,NUTS,2010,BE,0,0.0524
2003,NUTS,2010,BE,0,0.0539
2004,NUTS,2010,BE,0,0.0591
2005,NUTS,2010,BE,0,0.0598
2006,NUTS,2010,BE,0,0.0606
2007,NUTS,2010,BE,0,0.061
2008,NUTS,2010,BE,0,0.07
2009,NUTS,2010,BE,0,0.0741
2010,NUTS,2010,BE,0,0.069
2011,NUTS,2010,BE,0,0.0719
2012,NUTS,2010,BE,0,0.0885
2013,NUTS,2010,BE,0,0.0905
2014,NUTS,2010,BE,0,0.0994
2015,NUTS,2010,BE,0,0.1
2016,NUTS,2010,BE,0,0.105
2017,NUTS,2010,BE,0,0.108
2018,NUTS,2010,BE,0,0.123
2019,NUTS,2010,BE,0,0.126
2002,NUTS,2010,BE1,1,0.1828
2003,NUTS,2010,BE1,1,0.1777
2004,NUTS,2010,BE1,1,0.1948
2005,NUTS,2010,BE1,1,0.1999
2006,NUTS,2010,BE1,1,0.2413
