year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_hes_f
1998,NUTS,2010,AT,0,0.5439
2002,NUTS,2010,AT,0,0.6274
2004,NUTS,2010,AT,0,0.7632
2006,NUTS,2010,AT,0,0.8318
2007,NUTS,2010,AT,0,0.8958
2009,NUTS,2010,AT,0,0.9732
2011,NUTS,2010,AT,0,1.0423
2013,NUTS,2010,AT,0,1.0943
2015,NUTS,2010,AT,0,1.1421
2017,NUTS,2010,AT,0,1.1486
2019,NUTS,2010,AT,0,1.2413
2011,NUTS,2010,AT1,1,1.3057
2013,NUTS,2010,AT1,1,1.3895
2019,NUTS,2010,AT1,1,1.5334
2011,NUTS,2010,AT11,2,0.0801
2013,NUTS,2010,AT11,2,0.121
2019,NUTS,2010,AT11,2,0.1516
2002,NUTS,2010,AT12,2,0.0197
2004,NUTS,2010,AT12,2,0.0264
2006,NUTS,2010,AT12,2,0.0491
2007,NUTS,2010,AT12,2,0.0562
2009,NUTS,2010,AT12,2,0.0675
2011,NUTS,2010,AT12,2,0.0723
2013,NUTS,2010,AT12,2,0.1434
2015,NUTS,2010,AT12,2,0.1692
2017,NUTS,2010,AT12,2,0.2279
2019,NUTS,2010,AT12,2,0.2935
2002,NUTS,2010,AT13,2,1.7118
2004,NUTS,2010,AT13,2,2.1931
2006,NUTS,2010,AT13,2,2.2737
2007,NUTS,2010,AT13,2,2.4461
2009,NUTS,2010,AT13,2,2.6137
2011,NUTS,2010,AT13,2,2.709
2013,NUTS,2010,AT13,2,2.7667
2015,NUTS,2010,AT13,2,2.816
2017,NUTS,2010,AT13,2,2.7157
2019,NUTS,2010,AT13,2,2.9005
2006,NUTS,2010,AT2,1,0.7927
2007,NUTS,2010,AT2,1,0.8997
2009,NUTS,2010,AT2,1,1.0108
2011,NUTS,2010,AT2,1,1.1025
2013,NUTS,2010,AT2,1,1.1245
2017,NUTS,2010,AT2,1,1.2376
2019,NUTS,2010,AT2,1,1.355
2006,NUTS,2010,AT21,2,0.31
2007,NUTS,2010,AT21,2,0.3324
2009,NUTS,2010,AT21,2,0.3342
2011,NUTS,2010,AT21,2,0.3679
2013,NUTS,2010,AT21,2,0.348
2015,NUTS,2010,AT21,2,0.3331
2017,NUTS,2010,AT21,2,0.3748
2019,NUTS,2010,AT21,2,0.4715
2002,NUTS,2010,AT22,2,0.8623
2004,NUTS,2010,AT22,2,0.9211
2006,NUTS,2010,AT22,2,1.0048
2007,NUTS,2010,AT22,2,1.151
2009,NUTS,2010,AT22,2,1.3113
2011,NUTS,2010,AT22,2,1.425
2013,NUTS,2010,AT22,2,1.473
2015,NUTS,2010,AT22,2,1.5996
2017,NUTS,2010,AT22,2,1.6151
2019,NUTS,2010,AT22,2,1.736
2002,NUTS,2010,AT3,1,0.367
2011,NUTS,2010,AT3,1,0.6685
2013,NUTS,2010,AT3,1,0.7035
2019,NUTS,2010,AT3,1,0.8089
2002,NUTS,2010,AT31,2,0.1785
2004,NUTS,2010,AT31,2,0.2231
2006,NUTS,2010,AT31,2,0.2491
2007,NUTS,2010,AT31,2,0.245
2009,NUTS,2010,AT31,2,0.273
2011,NUTS,2010,AT31,2,0.3311
2013,NUTS,2010,AT31,2,0.332
2015,NUTS,2010,AT31,2,0.3745
2017,NUTS,2010,AT31,2,0.3734
2019,NUTS,2010,AT31,2,0.3917
2006,NUTS,2010,AT32,2,0.6309
2007,NUTS,2010,AT32,2,0.6456
2009,NUTS,2010,AT32,2,0.7448
2011,NUTS,2010,AT32,2,0.8555
2013,NUTS,2010,AT32,2,0.9508
2015,NUTS,2010,AT32,2,1.0773
2017,NUTS,2010,AT32,2,1.151
2019,NUTS,2010,AT32,2,1.1725
2002,NUTS,2010,AT33,2,0.8987
2004,NUTS,2010,AT33,2,1.1436
2006,NUTS,2010,AT33,2,1.2642
2007,NUTS,2010,AT33,2,1.3852
2009,NUTS,2010,AT33,2,1.3912
2011,NUTS,2010,AT33,2,1.5129
2013,NUTS,2010,AT33,2,1.5633
2015,NUTS,2010,AT33,2,1.5714
2017,NUTS,2010,AT33,2,1.6163
2019,NUTS,2010,AT33,2,1.7207
2011,NUTS,2010,AT34,2,0.0207
2013,NUTS,2010,AT34,2,0.0395
2019,NUTS,2010,AT34,2,0.067
2002,NUTS,2010,BE,0,0.7456
2003,NUTS,2010,BE,0,0.753
2004,NUTS,2010,BE,0,0.8122
2005,NUTS,2010,BE,0,0.8203
