year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_total_t
1998,NUTS,2010,AT,0,1.4497
2002,NUTS,2010,AT,0,1.785
2004,NUTS,2010,AT,0,2.0321
2006,NUTS,2010,AT,0,2.2196
2007,NUTS,2010,AT,0,2.3152
2009,NUTS,2010,AT,0,2.4687
2011,NUTS,2010,AT,0,2.7109
2013,NUTS,2010,AT,0,2.9043
2015,NUTS,2010,AT,0,3.1015
2017,NUTS,2010,AT,0,3.131
2019,NUTS,2010,AT,0,3.3672
2002,NUTS,2010,AT1,1,2.2088
2004,NUTS,2010,AT1,1,2.4884
2006,NUTS,2010,AT1,1,2.5744
2007,NUTS,2010,AT1,1,2.647
2009,NUTS,2010,AT1,1,2.7526
2011,NUTS,2010,AT1,1,2.9355
2013,NUTS,2010,AT1,1,3.0642
2015,NUTS,2010,AT1,1,3.1982
2017,NUTS,2010,AT1,1,3.1786
2019,NUTS,2010,AT1,1,3.4522
2002,NUTS,2010,AT11,2,0.3951
2004,NUTS,2010,AT11,2,0.453
2006,NUTS,2010,AT11,2,0.4211
2007,NUTS,2010,AT11,2,0.4826
2009,NUTS,2010,AT11,2,0.5942
2011,NUTS,2010,AT11,2,0.7491
2013,NUTS,2010,AT11,2,0.891
2015,NUTS,2010,AT11,2,0.9467
2017,NUTS,2010,AT11,2,0.9653
2019,NUTS,2010,AT11,2,1.0198
2002,NUTS,2010,AT12,2,0.5798
2004,NUTS,2010,AT12,2,0.6678
2006,NUTS,2010,AT12,2,0.7706
2007,NUTS,2010,AT12,2,0.7796
2009,NUTS,2010,AT12,2,0.922
2011,NUTS,2010,AT12,2,1.0415
2013,NUTS,2010,AT12,2,1.1975
2015,NUTS,2010,AT12,2,1.3284
2017,NUTS,2010,AT12,2,1.3879
2019,NUTS,2010,AT12,2,1.5525
2002,NUTS,2010,AT13,2,4.1298
2004,NUTS,2010,AT13,2,4.6838
2006,NUTS,2010,AT13,2,4.7675
2007,NUTS,2010,AT13,2,4.949
2009,NUTS,2010,AT13,2,4.9844
2011,NUTS,2010,AT13,2,5.2275
2013,NUTS,2010,AT13,2,5.2648
2015,NUTS,2010,AT13,2,5.4215
2017,NUTS,2010,AT13,2,5.2779
2019,NUTS,2010,AT13,2,5.6168
2002,NUTS,2010,AT2,1,1.8814
2004,NUTS,2010,AT2,1,2.1756
2006,NUTS,2010,AT2,1,2.3633
2007,NUTS,2010,AT2,1,2.5271
2009,NUTS,2010,AT2,1,2.7271
2011,NUTS,2010,AT2,1,3.1044
2013,NUTS,2010,AT2,1,3.4055
2015,NUTS,2010,AT2,1,3.727
2017,NUTS,2010,AT2,1,3.7222
2019,NUTS,2010,AT2,1,4.0521
2002,NUTS,2010,AT21,2,0.979
2004,NUTS,2010,AT21,2,1.1819
2006,NUTS,2010,AT21,2,1.3705
2007,NUTS,2010,AT21,2,1.419
2009,NUTS,2010,AT21,2,1.4973
2011,NUTS,2010,AT21,2,1.6441
2013,NUTS,2010,AT21,2,1.6983
2015,NUTS,2010,AT21,2,1.8017
2017,NUTS,2010,AT21,2,1.8006
2019,NUTS,2010,AT21,2,2.0547
2002,NUTS,2010,AT22,2,2.2995
2004,NUTS,2010,AT22,2,2.619
2006,NUTS,2010,AT22,2,2.8026
2007,NUTS,2010,AT22,2,3.0211
2009,NUTS,2010,AT22,2,3.2779
2011,NUTS,2010,AT22,2,3.7463
2013,NUTS,2010,AT22,2,4.1575
2015,NUTS,2010,AT22,2,4.567
2017,NUTS,2010,AT22,2,4.5564
2019,NUTS,2010,AT22,2,4.9125
2002,NUTS,2010,AT3,1,1.2698
2004,NUTS,2010,AT3,1,1.5128
2006,NUTS,2010,AT3,1,1.6768
2007,NUTS,2010,AT3,1,1.7359
2009,NUTS,2010,AT3,1,1.8919
2011,NUTS,2010,AT3,1,2.12
2013,NUTS,2010,AT3,1,2.3152
2015,NUTS,2010,AT3,1,2.4998
2017,NUTS,2010,AT3,1,2.6144
2019,NUTS,2010,AT3,1,2.7509
2002,NUTS,2010,AT31,2,1.1991
2004,NUTS,2010,AT31,2,1.44
2006,NUTS,2010,AT31,2,1.6893
2007,NUTS,2010,AT31,2,1.7433
2009,NUTS,2010,AT31,2,1.8845
2011,NUTS,2010,AT31,2,2.1595
2013,NUTS,2010,AT31,2,2.4214
2015,NUTS,2010,AT31,2,2.656
2017,NUTS,2010,AT31,2,2.7035
2019,NUTS,2010,AT31,2,2.899
2002,NUTS,2010,AT32,2,1.0468
2004,NUTS,2010,AT32,2,1.2492
2006,NUTS,2010,AT32,2,1.3546
2007,NUTS,2010,AT32,2,1.3711
2009,NUTS,2010,AT32,2,1.598
2011,NUTS,2010,AT32,2,1.8145
2013,NUTS,2010,AT32,2,1.9978
2015,NUTS,2010,AT32,2,2.2086
2017,NUTS,2010,AT32,2,2.3913
2019,NUTS,2010,AT32,2,2.5493
2002,NUTS,2010,AT33,2,1.7328
2004,NUTS,2010,AT33,2,2.0682
2006,NUTS,2010,AT33,2,2.1507
2007,NUTS,2010,AT33,2,2.2685
2009,NUTS,2010,AT33,2,2.348
2011,NUTS,2010,AT33,2,2.6267
2013,NUTS,2010,AT33,2,2.7426
2015,NUTS,2010,AT33,2,2.7986
2017,NUTS,2010,AT33,2,2.9596
2019,NUTS,2010,AT33,2,3.096
2002,NUTS,2010,AT34,2,0.9944
2004,NUTS,2010,AT34,2,1.1169
2006,NUTS,2010,AT34,2,1.1839
2007,NUTS,2010,AT34,2,1.2052
2009,NUTS,2010,AT34,2,1.4552
2011,NUTS,2010,AT34,2,1.4299
2013,NUTS,2010,AT34,2,1.5277
2015,NUTS,2010,AT34,2,1.7428
2017,NUTS,2010,AT34,2,1.9402
2019,NUTS,2010,AT34,2,1.8238
2002,NUTS,2010,BE,0,1.8084
2003,NUTS,2010,BE,0,1.8193
2004,NUTS,2010,BE,0,1.8556
2005,NUTS,2010,BE,0,1.8697
2006,NUTS,2010,BE,0,1.9026
2007,NUTS,2010,BE,0,1.9213
2008,NUTS,2010,BE,0,1.9652
2009,NUTS,2010,BE,0,2.0226
2010,NUTS,2010,BE,0,1.9951
2011,NUTS,2010,BE,0,2.1124
2013,NUTS,2010,BE,0,2.2391
2015,NUTS,2010,BE,0,2.5245
2017,NUTS,2010,BE,0,2.8123
2019,NUTS,2010,BE,0,3.1034
2002,NUTS,2010,BE1,1,3.8101
2003,NUTS,2010,BE1,1,3.6258
2004,NUTS,2010,BE1,1,3.6028
2005,NUTS,2010,BE1,1,3.6279
2006,NUTS,2010,BE1,1,3.9461
2007,NUTS,2010,BE1,1,3.9464
2008,NUTS,2010,BE1,1,3.8867
2009,NUTS,2010,BE1,1,3.9054
2010,NUTS,2010,BE1,1,3.6248
2011,NUTS,2010,BE1,1,3.7017
2013,NUTS,2010,BE1,1,4.2235
2015,NUTS,2010,BE1,1,4.4542
2017,NUTS,2010,BE1,1,4.8063
2019,NUTS,2010,BE1,1,5.8295
2002,NUTS,2010,BE10,2,3.8101
2003,NUTS,2010,BE10,2,3.6258
2004,NUTS,2010,BE10,2,3.6028
2005,NUTS,2010,BE10,2,3.6279
2006,NUTS,2010,BE10,2,3.9461
2007,NUTS,2010,BE10,2,3.9464
2008,NUTS,2010,BE10,2,3.8867
2009,NUTS,2010,BE10,2,3.9054
2010,NUTS,2010,BE10,2,3.6248
2011,NUTS,2010,BE10,2,3.7017
2013,NUTS,2010,BE10,2,4.2235
2015,NUTS,2010,BE10,2,4.4542
2017,NUTS,2010,BE10,2,4.8063
2019,NUTS,2010,BE10,2,5.8295
2002,NUTS,2010,BE2,1,1.6902
2003,NUTS,2010,BE2,1,1.7059
2004,NUTS,2010,BE2,1,1.783
2005,NUTS,2010,BE2,1,1.7924
2006,NUTS,2010,BE2,1,1.7993
2007,NUTS,2010,BE2,1,1.8123
2008,NUTS,2010,BE2,1,1.8784
2009,NUTS,2010,BE2,1,1.9296
2010,NUTS,2010,BE2,1,1.9455
2011,NUTS,2010,BE2,1,2.0362
2013,NUTS,2010,BE2,1,2.203
2015,NUTS,2010,BE2,1,2.5125
2017,NUTS,2010,BE2,1,2.7733
2019,NUTS,2010,BE2,1,3.1384
2006,NUTS,2010,BE21,2,1.9556
2007,NUTS,2010,BE21,2,1.9239
2008,NUTS,2010,BE21,2,1.8723
2009,NUTS,2010,BE21,2,1.9469
2010,NUTS,2010,BE21,2,1.9562
2011,NUTS,2010,BE21,2,2.105
2013,NUTS,2010,BE21,2,2.032
2015,NUTS,2010,BE21,2,2.3764
2006,NUTS,2010,BE22,2,0.8216
2007,NUTS,2010,BE22,2,0.8554
2008,NUTS,2010,BE22,2,0.8716
2009,NUTS,2010,BE22,2,0.9181
2010,NUTS,2010,BE22,2,0.8908
2011,NUTS,2010,BE22,2,0.9372
2013,NUTS,2010,BE22,2,1.1259
2015,NUTS,2010,BE22,2,1.4745
2006,NUTS,2010,BE23,2,1.8985
2007,NUTS,2010,BE23,2,1.9697
2008,NUTS,2010,BE23,2,2.0705
2009,NUTS,2010,BE23,2,2.1648
2010,NUTS,2010,BE23,2,2.2521
2011,NUTS,2010,BE23,2,2.3376
2013,NUTS,2010,BE23,2,2.6154
2015,NUTS,2010,BE23,2,2.8795
2006,NUTS,2010,BE24,2,3.1662
2007,NUTS,2010,BE24,2,3.1739
2008,NUTS,2010,BE24,2,3.4978
2009,NUTS,2010,BE24,2,3.4875
2010,NUTS,2010,BE24,2,3.5435
2011,NUTS,2010,BE24,2,3.5696
2013,NUTS,2010,BE24,2,3.8795
2015,NUTS,2010,BE24,2,4.3118
2006,NUTS,2010,BE25,2,0.8562
2007,NUTS,2010,BE25,2,0.8571
2008,NUTS,2010,BE25,2,0.8312
2009,NUTS,2010,BE25,2,0.8517
2010,NUTS,2010,BE25,2,0.7963
2011,NUTS,2010,BE25,2,0.8923
2013,NUTS,2010,BE25,2,1.1075
2015,NUTS,2010,BE25,2,1.2666
2002,NUTS,2010,BE3,1,1.4867
2003,NUTS,2010,BE3,1,1.515
2004,NUTS,2010,BE3,1,1.435
2005,NUTS,2010,BE3,1,1.4552
2006,NUTS,2010,BE3,1,1.4782
2007,NUTS,2010,BE3,1,1.5042
2008,NUTS,2010,BE3,1,1.5181
2009,NUTS,2010,BE3,1,1.5831
2010,NUTS,2010,BE3,1,1.5365
2011,NUTS,2010,BE3,1,1.7166
2013,NUTS,2010,BE3,1,1.6285
2015,NUTS,2010,BE3,1,1.819
2017,NUTS,2010,BE3,1,2.1214
2019,NUTS,2010,BE3,1,1.9742
2006,NUTS,2010,BE31,2,4.6823
2007,NUTS,2010,BE31,2,4.6068
2008,NUTS,2010,BE31,2,4.2366
2009,NUTS,2010,BE31,2,4.3791
2010,NUTS,2010,BE31,2,3.9506
2011,NUTS,2010,BE31,2,5.3129
2013,NUTS,2010,BE31,2,5.6072
2015,NUTS,2010,BE31,2,5.5015
2006,NUTS,2010,BE32,2,0.7603
2007,NUTS,2010,BE32,2,0.7784
2008,NUTS,2010,BE32,2,0.9106
2009,NUTS,2010,BE32,2,1.0029
2010,NUTS,2010,BE32,2,1.0617
2011,NUTS,2010,BE32,2,1.1264
2013,NUTS,2010,BE32,2,0.8839
2015,NUTS,2010,BE32,2,1.1887
2006,NUTS,2010,BE33,2,1.4585
2007,NUTS,2010,BE33,2,1.5467
2008,NUTS,2010,BE33,2,1.5157
2009,NUTS,2010,BE33,2,1.5489
2010,NUTS,2010,BE33,2,1.6397
2011,NUTS,2010,BE33,2,1.6224
2013,NUTS,2010,BE33,2,1.6367
2015,NUTS,2010,BE33,2,1.6976
2006,NUTS,2010,BE34,2,0.3439
2007,NUTS,2010,BE34,2,0.3261
2008,NUTS,2010,BE34,2,0.3
2009,NUTS,2010,BE34,2,0.2802
2010,NUTS,2010,BE34,2,0.3848
2011,NUTS,2010,BE34,2,0.3321
2013,NUTS,2010,BE34,2,0.2014
2015,NUTS,2010,BE34,2,0.244
2006,NUTS,2010,BE35,2,1.2942
2007,NUTS,2010,BE35,2,1.3069
2008,NUTS,2010,BE35,2,1.4568
2009,NUTS,2010,BE35,2,1.5111
2010,NUTS,2010,BE35,2,1.1456
2011,NUTS,2010,BE35,2,1.189
2013,NUTS,2010,BE35,2,0.9128
2015,NUTS,2010,BE35,2,1.3745
2000,NUTS,2010,BG,0,0.6089
2001,NUTS,2010,BG,0,0.6239
2002,NUTS,2010,BG,0,0.6221
2003,NUTS,2010,BG,0,0.6248
2004,NUTS,2010,BG,0,0.6265
2005,NUTS,2010,BG,0,0.6324
2006,NUTS,2010,BG,0,0.6183
2007,NUTS,2010,BG,0,0.6212
2008,NUTS,2010,BG,0,0.6079
2009,NUTS,2010,BG,0,0.6962
2010,NUTS,2010,BG,0,0.6962
2011,NUTS,2010,BG,0,0.7213
2012,NUTS,2010,BG,0,0.7595
2013,NUTS,2010,BG,0,0.783
2014,NUTS,2010,BG,0,0.8827
2015,NUTS,2010,BG,0,1.0086
2016,NUTS,2010,BG,0,1.1083
2017,NUTS,2010,BG,0,1.0297
2018,NUTS,2010,BG,0,1.1426
2019,NUTS,2010,BG,0,1.1304
2003,NUTS,2010,BG3,1,0.2649
2004,NUTS,2010,BG3,1,0.2788
2005,NUTS,2010,BG3,1,0.3041
2006,NUTS,2010,BG3,1,0.3221
2007,NUTS,2010,BG3,1,0.3351
2008,NUTS,2010,BG3,1,0.3445
2009,NUTS,2010,BG3,1,0.3787
2010,NUTS,2010,BG3,1,0.3876
2011,NUTS,2010,BG3,1,0.3902
2012,NUTS,2010,BG3,1,0.4335
