year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_f_hc_rse
1998,NUTS,2010,AT,0,71.0
2002,NUTS,2010,AT,0,144.0
2004,NUTS,2010,AT,0,156.0
2006,NUTS,2010,AT,0,147.0
2007,NUTS,2010,AT,0,108.0
2009,NUTS,2010,AT,0,195.0
2011,NUTS,2010,AT,0,230.0
2013,NUTS,2010,AT,0,237.0
2015,NUTS,2010,AT,0,303.0
2017,NUTS,2010,AT,0,313.0
2019,NUTS,2010,AT,0,408.0
2007,NUTS,2010,AT1,1,89.0
2009,NUTS,2010,AT1,1,185.0
2011,NUTS,2010,AT1,1,204.0
2013,NUTS,2010,AT1,1,208.0
2015,NUTS,2010,AT1,1,277.0
2017,NUTS,2010,AT1,1,274.0
2019,NUTS,2010,AT1,1,354.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,10.0
2004,NUTS,2010,AT12,2,11.0
2006,NUTS,2010,AT12,2,9.0
2007,NUTS,2010,AT12,2,10.0
2009,NUTS,2010,AT12,2,55.0
2011,NUTS,2010,AT12,2,68.0
2013,NUTS,2010,AT12,2,74.0
2015,NUTS,2010,AT12,2,81.0
2017,NUTS,2010,AT12,2,93.0
2002,NUTS,2010,AT13,2,84.0
2004,NUTS,2010,AT13,2,105.0
2006,NUTS,2010,AT13,2,107.0
2007,NUTS,2010,AT13,2,79.0
2009,NUTS,2010,AT13,2,130.0
2011,NUTS,2010,AT13,2,136.0
2013,NUTS,2010,AT13,2,134.0
2015,NUTS,2010,AT13,2,196.0
2017,NUTS,2010,AT13,2,181.0
2019,NUTS,2010,AT13,2,246.0
2006,NUTS,2010,AT2,1,17.0
2019,NUTS,2010,AT2,1,16.0
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,5.0
2002,NUTS,2010,AT22,2,22.0
2004,NUTS,2010,AT22,2,21.0
2006,NUTS,2010,AT22,2,17.0
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,24.0
2004,NUTS,2010,AT3,1,19.0
2007,NUTS,2010,AT3,1,16.0
2019,NUTS,2010,AT3,1,38.0
2002,NUTS,2010,AT31,2,6.0
2004,NUTS,2010,AT31,2,3.0
2006,NUTS,2010,AT31,2,10.0
2009,NUTS,2010,AT31,2,3.0
2011,NUTS,2010,AT31,2,12.0
2013,NUTS,2010,AT31,2,19.0
2015,NUTS,2010,AT31,2,3.0
2017,NUTS,2010,AT31,2,5.0
2019,NUTS,2010,AT31,2,12.0
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,17.0
2017,NUTS,2010,AT32,2,27.0
2019,NUTS,2010,AT32,2,25.0
2002,NUTS,2010,AT33,2,14.0
2004,NUTS,2010,AT33,2,15.0
2006,NUTS,2010,AT33,2,4.0
2013,NUTS,2010,AT33,2,2.0
2019,NUTS,2010,AT33,2,1.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,2.0
2019,NUTS,2010,BA,0,0.0
2002,NUTS,2010,BE,0,114.0
2003,NUTS,2010,BE,0,113.0
2004,NUTS,2010,BE,0,113.0
2005,NUTS,2010,BE,0,107.0
