year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_hc_rse_t
2011,NUTS,2010,AT,0,530.0
2013,NUTS,2010,AT,0,552.0
2015,NUTS,2010,AT,0,621.0
2017,NUTS,2010,AT,0,644.0
2019,NUTS,2010,AT,0,834.0
2011,NUTS,2010,AT1,1,468.0
2013,NUTS,2010,AT1,1,479.0
2015,NUTS,2010,AT1,1,569.0
2017,NUTS,2010,AT1,1,581.0
2019,NUTS,2010,AT1,1,727.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,209.0
2013,NUTS,2010,AT12,2,228.0
2015,NUTS,2010,AT12,2,243.0
2017,NUTS,2010,AT12,2,250.0
2011,NUTS,2010,AT13,2,259.0
2013,NUTS,2010,AT13,2,251.0
2015,NUTS,2010,AT13,2,326.0
2017,NUTS,2010,AT13,2,331.0
2019,NUTS,2010,AT13,2,431.0
2019,NUTS,2010,AT2,1,39.0
2011,NUTS,2010,AT21,2,10.0
2019,NUTS,2010,AT3,1,68.0
2011,NUTS,2010,AT31,2,37.0
2013,NUTS,2010,AT31,2,49.0
2015,NUTS,2010,AT31,2,12.0
2017,NUTS,2010,AT31,2,15.0
2019,NUTS,2010,AT31,2,26.0
2015,NUTS,2010,AT32,2,25.0
2017,NUTS,2010,AT32,2,35.0
2019,NUTS,2010,AT32,2,33.0
2013,NUTS,2010,AT33,2,5.0
2019,NUTS,2010,AT33,2,9.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,3.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,4.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,314.0
2012,NUTS,2010,BE,0,207.0
2013,NUTS,2010,BE,0,212.0
2014,NUTS,2010,BE,0,258.0
2015,NUTS,2010,BE,0,352.0
2016,NUTS,2010,BE,0,556.0
2017,NUTS,2010,BE,0,590.0
2018,NUTS,2010,BE,0,1229.0
2019,NUTS,2010,BE,0,1284.0
2011,NUTS,2010,BE1,1,76.0
2012,NUTS,2010,BE1,1,132.0
2013,NUTS,2010,BE1,1,125.0
2014,NUTS,2010,BE1,1,147.0
2015,NUTS,2010,BE1,1,191.0
2016,NUTS,2010,BE1,1,215.0
2017,NUTS,2010,BE1,1,233.0
2018,NUTS,2010,BE1,1,857.0
2019,NUTS,2010,BE1,1,867.0
2011,NUTS,2010,BE10,2,76.0
2012,NUTS,2010,BE10,2,132.0
2013,NUTS,2010,BE10,2,125.0
2014,NUTS,2010,BE10,2,147.0
2015,NUTS,2010,BE10,2,191.0
2016,NUTS,2010,BE10,2,215.0
2017,NUTS,2010,BE10,2,233.0
2018,NUTS,2010,BE10,2,857.0
2019,NUTS,2010,BE10,2,867.0
2011,NUTS,2010,BE2,1,238.0
2012,NUTS,2010,BE2,1,75.0
2013,NUTS,2010,BE2,1,87.0
2014,NUTS,2010,BE2,1,107.0
2015,NUTS,2010,BE2,1,157.0
2016,NUTS,2010,BE2,1,310.0
2017,NUTS,2010,BE2,1,333.0
2018,NUTS,2010,BE2,1,345.0
2019,NUTS,2010,BE2,1,388.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,4.0
