year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_total_t
2011,NUTS,2010,AT,0,0.0098
2012,NUTS,2010,AT,0,0.0094
2013,NUTS,2010,AT,0,0.0093
2014,NUTS,2010,AT,0,0.0112
2015,NUTS,2010,AT,0,0.0117
2016,NUTS,2010,AT,0,0.0131
2017,NUTS,2010,AT,0,0.0131
2018,NUTS,2010,AT,0,0.0138
2019,NUTS,2010,AT,0,0.0139
2020,NUTS,2010,AT,0,0.0164
2011,NUTS,2010,AT1,1,0.0212
2013,NUTS,2010,AT1,1,0.02
2015,NUTS,2010,AT1,1,0.0249
2017,NUTS,2010,AT1,1,0.0276
2019,NUTS,2010,AT1,1,0.0289
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.0238
2013,NUTS,2010,AT12,2,0.0222
2015,NUTS,2010,AT12,2,0.0264
2017,NUTS,2010,AT12,2,0.0306
2011,NUTS,2010,AT13,2,0.0222
2013,NUTS,2010,AT13,2,0.0211
2015,NUTS,2010,AT13,2,0.0274
2017,NUTS,2010,AT13,2,0.029
2019,NUTS,2010,AT13,2,0.0296
2019,NUTS,2010,AT2,1,0.0009
2011,NUTS,2010,AT21,2,0.0031
2019,NUTS,2010,AT3,1,0.0028
2011,NUTS,2010,AT31,2,0.0017
2013,NUTS,2010,AT31,2,0.0019
2015,NUTS,2010,AT31,2,0.001
2017,NUTS,2010,AT31,2,0.0012
2019,NUTS,2010,AT31,2,0.0017
2015,NUTS,2010,AT32,2,0.0074
2017,NUTS,2010,AT32,2,0.0105
2019,NUTS,2010,AT32,2,0.0095
2013,NUTS,2010,AT33,2,0.0007
2019,NUTS,2010,AT33,2,0.0017
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.0125
2012,NUTS,2010,BE,0,0.0064
2013,NUTS,2010,BE,0,0.0064
2014,NUTS,2010,BE,0,0.0059
2015,NUTS,2010,BE,0,0.0078
2016,NUTS,2010,BE,0,0.0101
2017,NUTS,2010,BE,0,0.0116
2018,NUTS,2010,BE,0,0.0439
2019,NUTS,2010,BE,0,0.044
2020,NUTS,2010,BE,0,0.0458
2011,NUTS,2010,BE1,1,0.0426
2012,NUTS,2010,BE1,1,0.0409
2013,NUTS,2010,BE1,1,0.0397
2014,NUTS,2010,BE1,1,0.0314
2015,NUTS,2010,BE1,1,0.0388
2016,NUTS,2010,BE1,1,0.0386
2017,NUTS,2010,BE1,1,0.051
2018,NUTS,2010,BE1,1,0.3548
2019,NUTS,2010,BE1,1,0.3537
2011,NUTS,2010,BE10,2,0.0426
2012,NUTS,2010,BE10,2,0.0409
2013,NUTS,2010,BE10,2,0.0397
2014,NUTS,2010,BE10,2,0.0314
2015,NUTS,2010,BE10,2,0.0388
2016,NUTS,2010,BE10,2,0.0386
2017,NUTS,2010,BE10,2,0.051
2018,NUTS,2010,BE10,2,0.3548
2019,NUTS,2010,BE10,2,0.3537
2011,NUTS,2010,BE2,1,0.0135
2012,NUTS,2010,BE2,1,0.0035
2013,NUTS,2010,BE2,1,0.0038
2014,NUTS,2010,BE2,1,0.0042
2015,NUTS,2010,BE2,1,0.0062
2016,NUTS,2010,BE2,1,0.009
2017,NUTS,2010,BE2,1,0.0095
2018,NUTS,2010,BE2,1,0.0093
2019,NUTS,2010,BE2,1,0.0098
2011,NUTS,2010,BE3,1,0.0001
2014,NUTS,2010,BE3,1,0.0001
2015,NUTS,2010,BE3,1,0.0001
2016,NUTS,2010,BE3,1,0.0018
2017,NUTS,2010,BE3,1,0.0014
2018,NUTS,2010,BE3,1,0.0015
2019,NUTS,2010,BE3,1,0.0014
2011,NUTS,2010,BG,0,0.0028
2012,NUTS,2010,BG,0,0.0037
