year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2011,NUTS,2010,AT,0,0.0067
2012,NUTS,2010,AT,0,0.0065
2013,NUTS,2010,AT,0,0.0065
2014,NUTS,2010,AT,0,0.0081
2015,NUTS,2010,AT,0,0.0086
2016,NUTS,2010,AT,0,0.0094
2017,NUTS,2010,AT,0,0.0094
2018,NUTS,2010,AT,0,0.0098
2019,NUTS,2010,AT,0,0.0103
2020,NUTS,2010,AT,0,0.0124
2011,NUTS,2010,AT1,1,0.0144
2013,NUTS,2010,AT1,1,0.0138
2015,NUTS,2010,AT1,1,0.0185
2017,NUTS,2010,AT1,1,0.0198
2019,NUTS,2010,AT1,1,0.0215
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.0144
2013,NUTS,2010,AT12,2,0.015
2015,NUTS,2010,AT12,2,0.0184
2017,NUTS,2010,AT12,2,0.0199
2011,NUTS,2010,AT13,2,0.017
2013,NUTS,2010,AT13,2,0.015
2015,NUTS,2010,AT13,2,0.0216
2017,NUTS,2010,AT13,2,0.023
2019,NUTS,2010,AT13,2,0.0247
2019,NUTS,2010,AT2,1,0.0009
2011,NUTS,2010,AT21,2,0.0026
2019,NUTS,2010,AT3,1,0.0024
2011,NUTS,2010,AT31,2,0.0014
2013,NUTS,2010,AT31,2,0.0015
2015,NUTS,2010,AT31,2,0.0008
2017,NUTS,2010,AT31,2,0.0011
2019,NUTS,2010,AT31,2,0.0016
2015,NUTS,2010,AT32,2,0.0058
2017,NUTS,2010,AT32,2,0.0087
2019,NUTS,2010,AT32,2,0.0075
2013,NUTS,2010,AT33,2,0.0006
2019,NUTS,2010,AT33,2,0.0016
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.0066
2012,NUTS,2010,BE,0,0.004
2013,NUTS,2010,BE,0,0.0042
