year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_f
2011,NUTS,2010,AT,0,111.0
2013,NUTS,2010,AT,0,103.0
2015,NUTS,2010,AT,0,162.0
2017,NUTS,2010,AT,0,183.0
2019,NUTS,2010,AT,0,197.0
2011,NUTS,2010,AT1,1,100.0
2013,NUTS,2010,AT1,1,93.0
2015,NUTS,2010,AT1,1,147.0
2017,NUTS,2010,AT1,1,162.0
2019,NUTS,2010,AT1,1,175.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,31.0
2013,NUTS,2010,AT12,2,33.0
2015,NUTS,2010,AT12,2,47.0
2017,NUTS,2010,AT12,2,54.0
2011,NUTS,2010,AT13,2,69.0
2013,NUTS,2010,AT13,2,60.0
2015,NUTS,2010,AT13,2,101.0
2017,NUTS,2010,AT13,2,108.0
2019,NUTS,2010,AT13,2,117.0
2019,NUTS,2010,AT2,1,2.0
2011,NUTS,2010,AT21,2,3.0
2019,NUTS,2010,AT3,1,21.0
2011,NUTS,2010,AT31,2,5.0
2013,NUTS,2010,AT31,2,5.0
2015,NUTS,2010,AT31,2,1.0
2017,NUTS,2010,AT31,2,1.0
2019,NUTS,2010,AT31,2,4.0
2015,NUTS,2010,AT32,2,10.0
2017,NUTS,2010,AT32,2,18.0
2019,NUTS,2010,AT32,2,15.0
2013,NUTS,2010,AT33,2,0.0
2019,NUTS,2010,AT33,2,1.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,2.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,108.0
2012,NUTS,2010,BE,0,81.0
2013,NUTS,2010,BE,0,81.0
2014,NUTS,2010,BE,0,89.0
2015,NUTS,2010,BE,0,140.0
2016,NUTS,2010,BE,0,194.0
2017,NUTS,2010,BE,0,223.0
2018,NUTS,2010,BE,0,457.0
2019,NUTS,2010,BE,0,478.0
2011,NUTS,2010,BE1,1,34.0
2012,NUTS,2010,BE1,1,60.0
2013,NUTS,2010,BE1,1,59.0
2014,NUTS,2010,BE1,1,64.0
2015,NUTS,2010,BE1,1,94.0
2016,NUTS,2010,BE1,1,100.0
2017,NUTS,2010,BE1,1,122.0
2018,NUTS,2010,BE1,1,368.0
2019,NUTS,2010,BE1,1,372.0
2011,NUTS,2010,BE10,2,34.0
2012,NUTS,2010,BE10,2,60.0
2013,NUTS,2010,BE10,2,59.0
2014,NUTS,2010,BE10,2,64.0
2015,NUTS,2010,BE10,2,94.0
2016,NUTS,2010,BE10,2,100.0
2017,NUTS,2010,BE10,2,122.0
2018,NUTS,2010,BE10,2,368.0
2019,NUTS,2010,BE10,2,372.0
2011,NUTS,2010,BE2,1,73.0
2012,NUTS,2010,BE2,1,20.0
2013,NUTS,2010,BE2,1,23.0
2014,NUTS,2010,BE2,1,24.0
2015,NUTS,2010,BE2,1,46.0
2016,NUTS,2010,BE2,1,87.0
2017,NUTS,2010,BE2,1,93.0
2018,NUTS,2010,BE2,1,81.0
2019,NUTS,2010,BE2,1,98.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0
2015,NUTS,2010,BE3,1,0.0
