year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_t
2011,NUTS,2010,AT,0,266.0
2012,NUTS,2010,AT,0,262.0
2013,NUTS,2010,AT,0,261.0
2014,NUTS,2010,AT,0,329.0
2015,NUTS,2010,AT,0,350.0
2016,NUTS,2010,AT,0,390.0
2017,NUTS,2010,AT,0,395.0
2018,NUTS,2010,AT,0,416.0
2019,NUTS,2010,AT,0,441.0
2020,NUTS,2010,AT,0,517.0
2011,NUTS,2010,AT1,1,244.0
2013,NUTS,2010,AT1,1,237.0
2015,NUTS,2010,AT1,1,321.0
2017,NUTS,2010,AT1,1,357.0
2019,NUTS,2010,AT1,1,394.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,113.0
2013,NUTS,2010,AT12,2,117.0
2015,NUTS,2010,AT12,2,147.0
2017,NUTS,2010,AT12,2,163.0
2011,NUTS,2010,AT13,2,131.0
2013,NUTS,2010,AT13,2,120.0
2015,NUTS,2010,AT13,2,174.0
2017,NUTS,2010,AT13,2,194.0
2019,NUTS,2010,AT13,2,217.0
2019,NUTS,2010,AT2,1,8.0
2011,NUTS,2010,AT21,2,7.0
2019,NUTS,2010,AT3,1,39.0
2011,NUTS,2010,AT31,2,10.0
2013,NUTS,2010,AT31,2,11.0
2015,NUTS,2010,AT31,2,6.0
2017,NUTS,2010,AT31,2,8.0
2019,NUTS,2010,AT31,2,12.0
2015,NUTS,2010,AT32,2,16.0
2017,NUTS,2010,AT32,2,24.0
2019,NUTS,2010,AT32,2,22.0
2013,NUTS,2010,AT33,2,2.0
2019,NUTS,2010,AT33,2,6.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,3.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,3.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,294.0
2012,NUTS,2010,BE,0,181.0
2013,NUTS,2010,BE,0,189.0
2014,NUTS,2010,BE,0,217.0
2015,NUTS,2010,BE,0,302.0
2016,NUTS,2010,BE,0,420.0
2017,NUTS,2010,BE,0,462.0
2018,NUTS,2010,BE,0,951.0
2019,NUTS,2010,BE,0,971.0
2020,NUTS,2010,BE,0,1071.0
2011,NUTS,2010,BE1,1,72.0
2012,NUTS,2010,BE1,1,115.0
2013,NUTS,2010,BE1,1,111.0
2014,NUTS,2010,BE1,1,125.0
2015,NUTS,2010,BE1,1,164.0
2016,NUTS,2010,BE1,1,173.0
2017,NUTS,2010,BE1,1,209.0
2018,NUTS,2010,BE1,1,703.0
2019,NUTS,2010,BE1,1,703.0
2011,NUTS,2010,BE10,2,72.0
2012,NUTS,2010,BE10,2,115.0
2013,NUTS,2010,BE10,2,111.0
2014,NUTS,2010,BE10,2,125.0
2015,NUTS,2010,BE10,2,164.0
2016,NUTS,2010,BE10,2,173.0
2017,NUTS,2010,BE10,2,209.0
2018,NUTS,2010,BE10,2,703.0
2019,NUTS,2010,BE10,2,703.0
2011,NUTS,2010,BE2,1,222.0
2012,NUTS,2010,BE2,1,67.0
2013,NUTS,2010,BE2,1,77.0
2014,NUTS,2010,BE2,1,91.0
2015,NUTS,2010,BE2,1,137.0
2016,NUTS,2010,BE2,1,220.0
2017,NUTS,2010,BE2,1,231.0
2018,NUTS,2010,BE2,1,225.0
2019,NUTS,2010,BE2,1,246.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,1.0
2015,NUTS,2010,BE3,1,1.0
2016,NUTS,2010,BE3,1,27.0
2017,NUTS,2010,BE3,1,21.0
2018,NUTS,2010,BE3,1,23.0
2019,NUTS,2010,BE3,1,21.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
