year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2011,NUTS,2010,AT,0,0.0063
2012,NUTS,2010,AT,0,0.0062
2013,NUTS,2010,AT,0,0.0061
2014,NUTS,2010,AT,0,0.0076
2015,NUTS,2010,AT,0,0.0081
2016,NUTS,2010,AT,0,0.0088
2017,NUTS,2010,AT,0,0.0089
2018,NUTS,2010,AT,0,0.0093
2019,NUTS,2010,AT,0,0.0098
2020,NUTS,2010,AT,0,0.0116
2011,NUTS,2010,AT1,1,0.0136
2013,NUTS,2010,AT1,1,0.0129
2015,NUTS,2010,AT1,1,0.017
2017,NUTS,2010,AT1,1,0.0183
2019,NUTS,2010,AT1,1,0.02
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.0138
2013,NUTS,2010,AT12,2,0.0142
2015,NUTS,2010,AT12,2,0.0175
2017,NUTS,2010,AT12,2,0.0189
2011,NUTS,2010,AT13,2,0.0156
2013,NUTS,2010,AT13,2,0.0136
2015,NUTS,2010,AT13,2,0.0193
2017,NUTS,2010,AT13,2,0.0206
2019,NUTS,2010,AT13,2,0.0224
2019,NUTS,2010,AT2,1,0.0008
2011,NUTS,2010,AT21,2,0.0025
2019,NUTS,2010,AT3,1,0.0023
2011,NUTS,2010,AT31,2,0.0013
2013,NUTS,2010,AT31,2,0.0015
2015,NUTS,2010,AT31,2,0.0008
2017,NUTS,2010,AT31,2,0.001
2019,NUTS,2010,AT31,2,0.0015
2015,NUTS,2010,AT32,2,0.0056
2017,NUTS,2010,AT32,2,0.0085
2019,NUTS,2010,AT32,2,0.0073
2013,NUTS,2010,AT33,2,0.0006
2019,NUTS,2010,AT33,2,0.0015
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.0061
2012,NUTS,2010,BE,0,0.0037
2013,NUTS,2010,BE,0,0.0038
2014,NUTS,2010,BE,0,0.0044
2015,NUTS,2010,BE,0,0.0061
2016,NUTS,2010,BE,0,0.0085
2017,NUTS,2010,BE,0,0.0093
2018,NUTS,2010,BE,0,0.019
2019,NUTS,2010,BE,0,0.0192
2020,NUTS,2010,BE,0,0.0214
2011,NUTS,2010,BE1,1,0.0145
2012,NUTS,2010,BE1,1,0.0226
2013,NUTS,2010,BE1,1,0.0218
2014,NUTS,2010,BE1,1,0.0237
2015,NUTS,2010,BE1,1,0.0312
2016,NUTS,2010,BE1,1,0.0324
2017,NUTS,2010,BE1,1,0.0394
2018,NUTS,2010,BE1,1,0.1317
2019,NUTS,2010,BE1,1,0.1311
2011,NUTS,2010,BE10,2,0.0145
2012,NUTS,2010,BE10,2,0.0226
2013,NUTS,2010,BE10,2,0.0218
2014,NUTS,2010,BE10,2,0.0237
2015,NUTS,2010,BE10,2,0.0312
2016,NUTS,2010,BE10,2,0.0324
2017,NUTS,2010,BE10,2,0.0394
2018,NUTS,2010,BE10,2,0.1317
2019,NUTS,2010,BE10,2,0.1311
2011,NUTS,2010,BE2,1,0.0077
2012,NUTS,2010,BE2,1,0.0023
2013,NUTS,2010,BE2,1,0.0026
2014,NUTS,2010,BE2,1,0.0031
2015,NUTS,2010,BE2,1,0.0047
2016,NUTS,2010,BE2,1,0.0075
2017,NUTS,2010,BE2,1,0.0078
