year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_emp_fte_f
2011,NUTS,2010,AT,0,0.006
2013,NUTS,2010,AT,0,0.0054
2015,NUTS,2010,AT,0,0.0084
2017,NUTS,2010,AT,0,0.0093
2019,NUTS,2010,AT,0,0.0098
2011,NUTS,2010,AT1,1,0.0125
2013,NUTS,2010,AT1,1,0.0114
2015,NUTS,2010,AT1,1,0.0177
2017,NUTS,2010,AT1,1,0.0189
2019,NUTS,2010,AT1,1,0.0202
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.0084
2013,NUTS,2010,AT12,2,0.009
2015,NUTS,2010,AT12,2,0.0123
2017,NUTS,2010,AT12,2,0.0138
2011,NUTS,2010,AT13,2,0.0185
2013,NUTS,2010,AT13,2,0.0155
2015,NUTS,2010,AT13,2,0.0256
2017,NUTS,2010,AT13,2,0.0267
2019,NUTS,2010,AT13,2,0.0283
2019,NUTS,2010,AT2,1,0.0005
2011,NUTS,2010,AT21,2,0.0024
2019,NUTS,2010,AT3,1,0.0027
2011,NUTS,2010,AT31,2,0.0014
2013,NUTS,2010,AT31,2,0.0016
2015,NUTS,2010,AT31,2,0.0003
2017,NUTS,2010,AT31,2,0.0004
2019,NUTS,2010,AT31,2,0.0012
2015,NUTS,2010,AT32,2,0.008
2017,NUTS,2010,AT32,2,0.0134
2019,NUTS,2010,AT32,2,0.0111
2013,NUTS,2010,AT33,2,0.0002
2019,NUTS,2010,AT33,2,0.0005
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.0053
2012,NUTS,2010,BE,0,0.0039
2013,NUTS,2010,BE,0,0.0039
2014,NUTS,2010,BE,0,0.0042
2015,NUTS,2010,BE,0,0.0067
2016,NUTS,2010,BE,0,0.0092
2017,NUTS,2010,BE,0,0.0105
2018,NUTS,2010,BE,0,0.0207
2019,NUTS,2010,BE,0,0.0213
2011,NUTS,2010,BE1,1,0.0184
2012,NUTS,2010,BE1,1,0.0319
2013,NUTS,2010,BE1,1,0.0308
2014,NUTS,2010,BE1,1,0.0324
2015,NUTS,2010,BE1,1,0.0477
2016,NUTS,2010,BE1,1,0.0492
2017,NUTS,2010,BE1,1,0.06
2018,NUTS,2010,BE1,1,0.1723
2019,NUTS,2010,BE1,1,0.1748
2011,NUTS,2010,BE10,2,0.0184
2012,NUTS,2010,BE10,2,0.0319
2013,NUTS,2010,BE10,2,0.0308
2014,NUTS,2010,BE10,2,0.0324
2015,NUTS,2010,BE10,2,0.0477
2016,NUTS,2010,BE10,2,0.0492
2017,NUTS,2010,BE10,2,0.06
2018,NUTS,2010,BE10,2,0.1723
2019,NUTS,2010,BE10,2,0.1748
2011,NUTS,2010,BE2,1,0.0058
2012,NUTS,2010,BE2,1,0.0016
2013,NUTS,2010,BE2,1,0.0018
2014,NUTS,2010,BE2,1,0.0019
2015,NUTS,2010,BE2,1,0.0035
2016,NUTS,2010,BE2,1,0.0067
2017,NUTS,2010,BE2,1,0.0071
2018,NUTS,2010,BE2,1,0.0059
2019,NUTS,2010,BE2,1,0.0071
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0
2015,NUTS,2010,BE3,1,0.0
2016,NUTS,2010,BE3,1,0.0012
2017,NUTS,2010,BE3,1,0.0012
2018,NUTS,2010,BE3,1,0.0012
2019,NUTS,2010,BE3,1,0.0011
2011,NUTS,2010,BG,0,0.0027
2012,NUTS,2010,BG,0,0.0043
2013,NUTS,2010,BG,0,0.0034
2014,NUTS,2010,BG,0,0.0037
2015,NUTS,2010,BG,0,0.0043
2016,NUTS,2010,BG,0,0.0014
2017,NUTS,2010,BG,0,0.0033
2018,NUTS,2010,BG,0,0.0032
2019,NUTS,2010,BG,0,0.0037
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2011,NUTS,2010,BG33,2,0.0
