year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_t_pc_emp_hc
2011,NUTS,2010,AT,0,0.0133
2013,NUTS,2010,AT,0,0.0137
2015,NUTS,2010,AT,0,0.0153
2017,NUTS,2010,AT,0,0.0154
2019,NUTS,2010,AT,0,0.0195
2011,NUTS,2010,AT1,1,0.0277
2013,NUTS,2010,AT1,1,0.028
2015,NUTS,2010,AT1,1,0.0327
2017,NUTS,2010,AT1,1,0.0323
2019,NUTS,2010,AT1,1,0.0396
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.0268
2013,NUTS,2010,AT12,2,0.0291
2015,NUTS,2010,AT12,2,0.0304
2017,NUTS,2010,AT12,2,0.0305
2011,NUTS,2010,AT13,2,0.0335
2013,NUTS,2010,AT13,2,0.0315
2015,NUTS,2010,AT13,2,0.0404
2017,NUTS,2010,AT13,2,0.0393
2019,NUTS,2010,AT13,2,0.0492
2019,NUTS,2010,AT2,1,0.0044
2011,NUTS,2010,AT21,2,0.0039
2019,NUTS,2010,AT3,1,0.0041
2011,NUTS,2010,AT31,2,0.0052
2013,NUTS,2010,AT31,2,0.0068
2015,NUTS,2010,AT31,2,0.0016
2017,NUTS,2010,AT31,2,0.002
2019,NUTS,2010,AT31,2,0.0034
2015,NUTS,2010,AT32,2,0.0092
2017,NUTS,2010,AT32,2,0.0125
2019,NUTS,2010,AT32,2,0.0115
2013,NUTS,2010,AT33,2,0.0014
2019,NUTS,2010,AT33,2,0.0023
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.007
2012,NUTS,2010,BE,0,0.0046
2013,NUTS,2010,BE,0,0.0047
2014,NUTS,2010,BE,0,0.0057
2015,NUTS,2010,BE,0,0.0078
2016,NUTS,2010,BE,0,0.0122
2017,NUTS,2010,BE,0,0.0129
2018,NUTS,2010,BE,0,0.0262
2019,NUTS,2010,BE,0,0.0269
2011,NUTS,2010,BE1,1,0.0184
