year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_f_fte
2011,NUTS,2010,AT,0,215.0
2013,NUTS,2010,AT,0,206.0
2015,NUTS,2010,AT,0,278.0
2017,NUTS,2010,AT,0,314.0
2019,NUTS,2010,AT,0,314.0
2012,NUTS,2010,BA,0,2.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,4.0
2019,NUTS,2010,BA,0,0.0
2011,NUTS,2010,BE,0,289.0
2012,NUTS,2010,BE,0,156.0
2013,NUTS,2010,BE,0,154.0
2014,NUTS,2010,BE,0,131.0
2015,NUTS,2010,BE,0,186.0
2016,NUTS,2010,BE,0,232.0
2017,NUTS,2010,BE,0,280.0
2018,NUTS,2010,BE,0,1075.0
2019,NUTS,2010,BE,0,1103.0
2011,NUTS,2010,BG,0,51.0
2012,NUTS,2010,BG,0,62.0
2013,NUTS,2010,BG,0,59.0
2014,NUTS,2010,BG,0,62.0
2015,NUTS,2010,BG,0,78.0
2016,NUTS,2010,BG,0,25.0
2017,NUTS,2010,BG,0,73.0
2018,NUTS,2010,BG,0,64.0
2019,NUTS,2010,BG,0,77.0
2011,NUTS,2010,CY,0,72.0
2012,NUTS,2010,CY,0,72.0
2013,NUTS,2010,CY,0,66.0
2014,NUTS,2010,CY,0,92.0
2015,NUTS,2010,CY,0,79.0
2016,NUTS,2010,CY,0,80.0
2017,NUTS,2010,CY,0,88.0
2018,NUTS,2010,CY,0,91.0
2019,NUTS,2010,CY,0,143.0
2011,NUTS,2010,CZ,0,141.0
2012,NUTS,2010,CZ,0,162.0
2013,NUTS,2010,CZ,0,121.0
2014,NUTS,2010,CZ,0,128.0
2015,NUTS,2010,CZ,0,113.0
2016,NUTS,2010,CZ,0,102.0
2017,NUTS,2010,CZ,0,122.0
2018,NUTS,2010,CZ,0,102.0
2019,NUTS,2010,CZ,0,129.0
2020,NUTS,2010,CZ,0,130.0
2011,NUTS,2010,DK,0,191.0
2012,NUTS,2010,DK,0,213.0
2013,NUTS,2010,DK,0,204.0
2014,NUTS,2010,DK,0,208.0
2015,NUTS,2010,DK,0,214.0
2016,NUTS,2010,DK,0,227.0
2017,NUTS,2010,DK,0,187.0
2018,NUTS,2010,DK,0,154.0
2019,NUTS,2010,DK,0,168.0
2011,NUTS,2010,EE,0,56.0
2012,NUTS,2010,EE,0,57.0
2013,NUTS,2010,EE,0,56.0
2014,NUTS,2010,EE,0,57.0
2015,NUTS,2010,EE,0,49.0
2016,NUTS,2010,EE,0,56.0
2017,NUTS,2010,EE,0,56.0
2018,NUTS,2010,EE,0,76.0
2019,NUTS,2010,EE,0,55.0
2011,NUTS,2010,EL,0,159.0
2013,NUTS,2010,EL,0,312.0
2015,NUTS,2010,EL,0,300.0
2017,NUTS,2010,EL,0,298.0
2019,NUTS,2010,EL,0,247.0
2011,NUTS,2010,ES,0,226.0
2012,NUTS,2010,ES,0,239.0
2013,NUTS,2010,ES,0,223.0
2014,NUTS,2010,ES,0,224.0
2015,NUTS,2010,ES,0,224.0
2016,NUTS,2010,ES,0,297.0
2017,NUTS,2010,ES,0,270.0
2018,NUTS,2010,ES,0,300.0
2019,NUTS,2010,ES,0,297.0
2011,NUTS,2010,FR,0,3108.0
2012,NUTS,2010,FR,0,3348.0
2013,NUTS,2010,FR,0,3547.0
2014,NUTS,2010,FR,0,3891.0
2016,NUTS,2010,FR,0,3984.0
2017,NUTS,2010,FR,0,3942.0
2011,NUTS,2010,HR,0,9.0
2011,NUTS,2010,IS,0,60.0
2011,NUTS,2010,IT,0,3192.0
2012,NUTS,2010,IT,0,3295.0
2013,NUTS,2010,IT,0,3314.0
2014,NUTS,2010,IT,0,3471.0
2015,NUTS,2010,IT,0,3844.0
2016,NUTS,2010,IT,0,3828.0
2017,NUTS,2010,IT,0,3653.0
2018,NUTS,2010,IT,0,3389.0
2019,NUTS,2010,IT,0,3940.0
2011,NUTS,2010,ME,0,5.0
2013,NUTS,2010,ME,0,12.0
2014,NUTS,2010,ME,0,16.0
2015,NUTS,2010,ME,0,14.0
2017,NUTS,2010,ME,0,8.0
2018,NUTS,2010,ME,0,13.0
2019,NUTS,2010,ME,0,1.0
2015,NUTS,2010,MK,0,10.0
2016,NUTS,2010,MK,0,39.0
2017,NUTS,2010,MK,0,28.0
2018,NUTS,2010,MK,0,27.0
2019,NUTS,2010,MK,0,19.0
2015,NUTS,2010,PL,0,83.0
2016,NUTS,2010,PL,0,358.0
2017,NUTS,2010,PL,0,596.0
2018,NUTS,2010,PL,0,662.0
2019,NUTS,2010,PL,0,409.0
2011,NUTS,2010,PT,0,2695.0
2012,NUTS,2010,PT,0,2339.0
2013,NUTS,2010,PT,0,345.0
2014,NUTS,2010,PT,0,335.0
2015,NUTS,2010,PT,0,348.0
2016,NUTS,2010,PT,0,367.0
2017,NUTS,2010,PT,0,363.0
2018,NUTS,2010,PT,0,420.0
2019,NUTS,2010,PT,0,434.0
2020,NUTS,2010,PT,0,588.0
2011,NUTS,2010,RO,0,89.0
2012,NUTS,2010,RO,0,88.0
2013,NUTS,2010,RO,0,58.0
2014,NUTS,2010,RO,0,46.0
2015,NUTS,2010,RO,0,59.0
2016,NUTS,2010,RO,0,73.0
2017,NUTS,2010,RO,0,52.0
2018,NUTS,2010,RO,0,67.0
2019,NUTS,2010,RO,0,85.0
2011,NUTS,2010,RS,0,11.0
2012,NUTS,2010,RS,0,8.0
2013,NUTS,2010,RS,0,3.0
2014,NUTS,2010,RS,0,3.0
2015,NUTS,2010,RS,0,13.0
2016,NUTS,2010,RS,0,16.0
2017,NUTS,2010,RS,0,15.0
2018,NUTS,2010,RS,0,1.0
2019,NUTS,2010,RS,0,1.0
2020,NUTS,2010,RS,0,2.0
2011,NUTS,2010,SE,0,119.0
2013,NUTS,2010,SE,0,163.0
2015,NUTS,2010,SE,0,96.0
2017,NUTS,2010,SE,0,80.0
2011,NUTS,2010,SI,0,9.0
2012,NUTS,2010,SI,0,5.0
2013,NUTS,2010,SI,0,5.0
2014,NUTS,2010,SI,0,1.0
2015,NUTS,2010,SI,0,2.0
2016,NUTS,2010,SI,0,1.0
2017,NUTS,2010,SI,0,18.0
2018,NUTS,2010,SI,0,29.0
2019,NUTS,2010,SI,0,59.0
2011,NUTS,2010,SK,0,25.0
2012,NUTS,2010,SK,0,22.0
2013,NUTS,2010,SK,0,15.0
2014,NUTS,2010,SK,0,9.0
2015,NUTS,2010,SK,0,18.0
2016,NUTS,2010,SK,0,23.0
2017,NUTS,2010,SK,0,23.0
2018,NUTS,2010,SK,0,16.0
2019,NUTS,2010,SK,0,3.0
2020,NUTS,2010,SK,0,5.0
