year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_f_pc_act_fte
2011,NUTS,2010,AT,0,0.011
2013,NUTS,2010,AT,0,0.0102
2015,NUTS,2010,AT,0,0.0136
2017,NUTS,2010,AT,0,0.015
2019,NUTS,2010,AT,0,0.0149
2011,NUTS,2010,BE,0,0.0132
2012,NUTS,2010,BE,0,0.0071
2013,NUTS,2010,BE,0,0.0068
2014,NUTS,2010,BE,0,0.0057
2015,NUTS,2010,BE,0,0.0081
2016,NUTS,2010,BE,0,0.0102
2017,NUTS,2010,BE,0,0.0122
2018,NUTS,2010,BE,0,0.046
2019,NUTS,2010,BE,0,0.0467
2011,NUTS,2010,BG,0,0.0033
2012,NUTS,2010,BG,0,0.004
2013,NUTS,2010,BG,0,0.0038
2014,NUTS,2010,BG,0,0.004
2015,NUTS,2010,BG,0,0.0051
2016,NUTS,2010,BG,0,0.0017
2017,NUTS,2010,BG,0,0.0048
2018,NUTS,2010,BG,0,0.0043
2019,NUTS,2010,BG,0,0.0051
2011,NUTS,2010,CY,0,0.0357
2012,NUTS,2010,CY,0,0.0354
2013,NUTS,2010,CY,0,0.0324
2014,NUTS,2010,CY,0,0.0444
2015,NUTS,2010,CY,0,0.0389
2016,NUTS,2010,CY,0,0.0404
2017,NUTS,2010,CY,0,0.0434
2018,NUTS,2010,CY,0,0.044
2019,NUTS,2010,CY,0,0.0684
2011,NUTS,2010,CZ,0,0.0063
2012,NUTS,2010,CZ,0,0.0071
2013,NUTS,2010,CZ,0,0.0053
2014,NUTS,2010,CZ,0,0.0056
2015,NUTS,2010,CZ,0,0.0049
2016,NUTS,2010,CZ,0,0.0044
2017,NUTS,2010,CZ,0,0.0052
2018,NUTS,2010,CZ,0,0.0044
2019,NUTS,2010,CZ,0,0.0055
2020,NUTS,2010,CZ,0,0.0056
2011,NUTS,2010,DK,0,0.0143
2012,NUTS,2010,DK,0,0.016
2013,NUTS,2010,DK,0,0.0153
2014,NUTS,2010,DK,0,0.0157
2015,NUTS,2010,DK,0,0.0161
2016,NUTS,2010,DK,0,0.0167
2017,NUTS,2010,DK,0,0.0137
2018,NUTS,2010,DK,0,0.0112
2019,NUTS,2010,DK,0,0.012
2011,NUTS,2010,EE,0,0.017
2012,NUTS,2010,EE,0,0.0174
2013,NUTS,2010,EE,0,0.0172
2014,NUTS,2010,EE,0,0.0179
2015,NUTS,2010,EE,0,0.0153
2016,NUTS,2010,EE,0,0.0176
2017,NUTS,2010,EE,0,0.0172
2018,NUTS,2010,EE,0,0.0235
2019,NUTS,2010,EE,0,0.017
2011,NUTS,2010,EL,0,0.0076
2013,NUTS,2010,EL,0,0.015
2015,NUTS,2010,EL,0,0.0143
2017,NUTS,2010,EL,0,0.0143
2019,NUTS,2010,EL,0,0.012
2011,NUTS,2010,ES,0,0.0021
2012,NUTS,2010,ES,0,0.0022
2013,NUTS,2010,ES,0,0.0021
2014,NUTS,2010,ES,0,0.0021
2015,NUTS,2010,ES,0,0.0021
2016,NUTS,2010,ES,0,0.0028
2017,NUTS,2010,ES,0,0.0026
2018,NUTS,2010,ES,0,0.0028
2019,NUTS,2010,ES,0,0.0028
2011,NUTS,2010,FR,0,0.0222
2012,NUTS,2010,FR,0,0.0238
2013,NUTS,2010,FR,0,0.0249
2014,NUTS,2010,FR,0,0.0272
2016,NUTS,2010,FR,0,0.0277
2017,NUTS,2010,FR,0,0.0275
2011,NUTS,2010,HR,0,0.0011
2011,NUTS,2010,IS,0,0.0732
2011,NUTS,2010,IT,0,0.0316
2012,NUTS,2010,IT,0,0.0315
2013,NUTS,2010,IT,0,0.0316
2014,NUTS,2010,IT,0,0.0327
2015,NUTS,2010,IT,0,0.0366
2016,NUTS,2010,IT,0,0.0359
2017,NUTS,2010,IT,0,0.0339
2018,NUTS,2010,IT,0,0.0315
2019,NUTS,2010,IT,0,0.0366
2011,NUTS,2010,ME,0,0.0047
2013,NUTS,2010,ME,0,0.0106
2014,NUTS,2010,ME,0,0.0138
2015,NUTS,2010,ME,0,0.0118
2017,NUTS,2010,ME,0,0.0067
2018,NUTS,2010,ME,0,0.0107
2019,NUTS,2010,ME,0,0.0008
2015,NUTS,2010,MK,0,0.0027
2016,NUTS,2010,MK,0,0.0107
2017,NUTS,2010,MK,0,0.0077
2018,NUTS,2010,MK,0,0.0072
2019,NUTS,2010,MK,0,0.005
2015,NUTS,2010,PL,0,0.0011
2016,NUTS,2010,PL,0,0.0047
2017,NUTS,2010,PL,0,0.0079
2018,NUTS,2010,PL,0,0.0088
2019,NUTS,2010,PL,0,0.0055
2011,NUTS,2010,PT,0,0.1119
2012,NUTS,2010,PT,0,0.0972
2013,NUTS,2010,PT,0,0.0144
2014,NUTS,2010,PT,0,0.0139
2015,NUTS,2010,PT,0,0.0144
2016,NUTS,2010,PT,0,0.0152
2017,NUTS,2010,PT,0,0.0149
2018,NUTS,2010,PT,0,0.0171
2019,NUTS,2010,PT,0,0.0175
2020,NUTS,2010,PT,0,0.024
2011,NUTS,2010,RO,0,0.0027
2012,NUTS,2010,RO,0,0.0027
2013,NUTS,2010,RO,0,0.0018
2014,NUTS,2010,RO,0,0.0014
2015,NUTS,2010,RO,0,0.0018
2016,NUTS,2010,RO,0,0.0022
2017,NUTS,2010,RO,0,0.0015
2018,NUTS,2010,RO,0,0.002
2019,NUTS,2010,RO,0,0.0025
2011,NUTS,2010,RS,0,0.0008
2012,NUTS,2010,RS,0,0.0006
2013,NUTS,2010,RS,0,0.0002
2014,NUTS,2010,RS,0,0.0002
2015,NUTS,2010,RS,0,0.001
2016,NUTS,2010,RS,0,0.0012
2017,NUTS,2010,RS,0,0.0011
2018,NUTS,2010,RS,0,0.0
2019,NUTS,2010,RS,0,0.0
2020,NUTS,2010,RS,0,0.0001
2011,NUTS,2010,SE,0,0.0052
2013,NUTS,2010,SE,0,0.007
2015,NUTS,2010,SE,0,0.004
2017,NUTS,2010,SE,0,0.0033
2011,NUTS,2010,SI,0,0.002
2012,NUTS,2010,SI,0,0.0011
2013,NUTS,2010,SI,0,0.0011
2014,NUTS,2010,SI,0,0.0002
2015,NUTS,2010,SI,0,0.0004
2016,NUTS,2010,SI,0,0.0002
2017,NUTS,2010,SI,0,0.0038
2018,NUTS,2010,SI,0,0.0062
2019,NUTS,2010,SI,0,0.0127
2011,NUTS,2010,SK,0,0.002
2012,NUTS,2010,SK,0,0.0017
2013,NUTS,2010,SK,0,0.0011
2014,NUTS,2010,SK,0,0.0007
2015,NUTS,2010,SK,0,0.0014
2016,NUTS,2010,SK,0,0.0017
2017,NUTS,2010,SK,0,0.0017
2018,NUTS,2010,SK,0,0.0012
