year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_bes_rse_pc_act_fte
1998,NUTS,2010,AT,0,0.3065
2002,NUTS,2010,AT,0,0.4172
2004,NUTS,2010,AT,0,0.4271
2005,NUTS,2010,AT,0,0.4615
2006,NUTS,2010,AT,0,0.4625
2007,NUTS,2010,AT,0,0.4935
2008,NUTS,2010,AT,0,0.533
2009,NUTS,2010,AT,0,0.5207
2010,NUTS,2010,AT,0,0.5477
2011,NUTS,2010,AT,0,0.5521
2012,NUTS,2010,AT,0,0.5943
2013,NUTS,2010,AT,0,0.6018
2014,NUTS,2010,AT,0,0.6367
2015,NUTS,2010,AT,0,0.6425
2016,NUTS,2010,AT,0,0.6681
2017,NUTS,2010,AT,0,0.6727
2018,NUTS,2010,AT,0,0.7056
2019,NUTS,2010,AT,0,0.7526
2020,NUTS,2010,AT,0,0.7313
2002,NUTS,2010,AT1,1,0.4923
2004,NUTS,2010,AT1,1,0.4599
2006,NUTS,2010,AT1,1,0.4721
2007,NUTS,2010,AT1,1,0.5039
2009,NUTS,2010,AT1,1,0.5055
2011,NUTS,2010,AT1,1,0.5187
2013,NUTS,2010,AT1,1,0.5357
2015,NUTS,2010,AT1,1,0.5397
2017,NUTS,2010,AT1,1,0.5223
2019,NUTS,2010,AT1,1,0.5498
2002,NUTS,2010,AT11,2,0.1169
2004,NUTS,2010,AT11,2,0.1098
2006,NUTS,2010,AT11,2,0.107
2007,NUTS,2010,AT11,2,0.1209
2009,NUTS,2010,AT11,2,0.104
2011,NUTS,2010,AT11,2,0.1873
2013,NUTS,2010,AT11,2,0.2426
2015,NUTS,2010,AT11,2,0.2537
2017,NUTS,2010,AT11,2,0.2997
2019,NUTS,2010,AT11,2,0.3114
2002,NUTS,2010,AT12,2,0.1957
2004,NUTS,2010,AT12,2,0.1905
2006,NUTS,2010,AT12,2,0.2327
2007,NUTS,2010,AT12,2,0.2278
2009,NUTS,2010,AT12,2,0.238
2011,NUTS,2010,AT12,2,0.2975
2013,NUTS,2010,AT12,2,0.2865
2015,NUTS,2010,AT12,2,0.2886
2017,NUTS,2010,AT12,2,0.2963
2019,NUTS,2010,AT12,2,0.363
2002,NUTS,2010,AT13,2,0.8388
2004,NUTS,2010,AT13,2,0.7728
2006,NUTS,2010,AT13,2,0.7609
2007,NUTS,2010,AT13,2,0.8364
2009,NUTS,2010,AT13,2,0.8324
2011,NUTS,2010,AT13,2,0.7888
2013,NUTS,2010,AT13,2,0.8164
2015,NUTS,2010,AT13,2,0.8188
2017,NUTS,2010,AT13,2,0.7633
2019,NUTS,2010,AT13,2,0.7506
2002,NUTS,2010,AT2,1,0.4468
2004,NUTS,2010,AT2,1,0.5282
2006,NUTS,2010,AT2,1,0.5985
2007,NUTS,2010,AT2,1,0.6142
2009,NUTS,2010,AT2,1,0.6724
2011,NUTS,2010,AT2,1,0.7353
2013,NUTS,2010,AT2,1,0.7425
2015,NUTS,2010,AT2,1,0.8434
2017,NUTS,2010,AT2,1,0.9394
2019,NUTS,2010,AT2,1,1.1461
2002,NUTS,2010,AT21,2,0.3964
2004,NUTS,2010,AT21,2,0.5109
2006,NUTS,2010,AT21,2,0.5811
2007,NUTS,2010,AT21,2,0.6065
2009,NUTS,2010,AT21,2,0.6623
2011,NUTS,2010,AT21,2,0.6286
2013,NUTS,2010,AT21,2,0.6302
2015,NUTS,2010,AT21,2,0.7246
2017,NUTS,2010,AT21,2,0.7916
2019,NUTS,2010,AT21,2,0.9159
2002,NUTS,2010,AT22,2,0.47
2004,NUTS,2010,AT22,2,0.5361
2006,NUTS,2010,AT22,2,0.6063
2007,NUTS,2010,AT22,2,0.6176
2009,NUTS,2010,AT22,2,0.6767
2011,NUTS,2010,AT22,2,0.7825
2013,NUTS,2010,AT22,2,0.7924
2015,NUTS,2010,AT22,2,0.896
2017,NUTS,2010,AT22,2,1.0036
2019,NUTS,2010,AT22,2,1.2457
2002,NUTS,2010,AT3,1,0.3068
2004,NUTS,2010,AT3,1,0.3436
2006,NUTS,2010,AT3,1,0.361
2007,NUTS,2010,AT3,1,0.3946
2009,NUTS,2010,AT3,1,0.4346
2011,NUTS,2010,AT3,1,0.4691
2013,NUTS,2010,AT3,1,0.5787
2015,NUTS,2010,AT3,1,0.6276
2017,NUTS,2010,AT3,1,0.6818
2019,NUTS,2010,AT3,1,0.75
2002,NUTS,2010,AT31,2,0.3513
2004,NUTS,2010,AT31,2,0.3902
2006,NUTS,2010,AT31,2,0.4306
2007,NUTS,2010,AT31,2,0.4658
2009,NUTS,2010,AT31,2,0.5058
2011,NUTS,2010,AT31,2,0.5427
2013,NUTS,2010,AT31,2,0.7164
2015,NUTS,2010,AT31,2,0.7744
2017,NUTS,2010,AT31,2,0.8022
2019,NUTS,2010,AT31,2,0.9145
2002,NUTS,2010,AT32,2,0.1925
2004,NUTS,2010,AT32,2,0.2021
2006,NUTS,2010,AT32,2,0.2208
2007,NUTS,2010,AT32,2,0.2377
2009,NUTS,2010,AT32,2,0.2606
2011,NUTS,2010,AT32,2,0.3159
2013,NUTS,2010,AT32,2,0.3388
2015,NUTS,2010,AT32,2,0.3706
2017,NUTS,2010,AT32,2,0.492
2019,NUTS,2010,AT32,2,0.5574
2002,NUTS,2010,AT33,2,0.2935
2004,NUTS,2010,AT33,2,0.3563
2006,NUTS,2010,AT33,2,0.336
2007,NUTS,2010,AT33,2,0.3762
2009,NUTS,2010,AT33,2,0.4283
2011,NUTS,2010,AT33,2,0.4681
2013,NUTS,2010,AT33,2,0.4777
2015,NUTS,2010,AT33,2,0.5278
2017,NUTS,2010,AT33,2,0.6139
2019,NUTS,2010,AT33,2,0.6107
2002,NUTS,2010,AT34,2,0.3325
2004,NUTS,2010,AT34,2,0.3463
2006,NUTS,2010,AT34,2,0.344
2007,NUTS,2010,AT34,2,0.3852
2009,NUTS,2010,AT34,2,0.4225
2011,NUTS,2010,AT34,2,0.4094
2013,NUTS,2010,AT34,2,0.594
2015,NUTS,2010,AT34,2,0.6218
2017,NUTS,2010,AT34,2,0.626
2019,NUTS,2010,AT34,2,0.6704
1993,NUTS,2010,BE,0,0.2549
1994,NUTS,2010,BE,0,0.2764
1995,NUTS,2010,BE,0,0.2882
1996,NUTS,2010,BE,0,0.3341
1997,NUTS,2010,BE,0,0.3436
1998,NUTS,2010,BE,0,0.3506
1999,NUTS,2010,BE,0,0.3673
2000,NUTS,2010,BE,0,0.3813
2001,NUTS,2010,BE,0,0.4165
2002,NUTS,2010,BE,0,0.3738
2003,NUTS,2010,BE,0,0.3684
2004,NUTS,2010,BE,0,0.3645
2005,NUTS,2010,BE,0,0.3654
2006,NUTS,2010,BE,0,0.3788
2007,NUTS,2010,BE,0,0.3843
2008,NUTS,2010,BE,0,0.3659
2009,NUTS,2010,BE,0,0.3745
2010,NUTS,2010,BE,0,0.4117
2011,NUTS,2010,BE,0,0.4436
2012,NUTS,2010,BE,0,0.4836
2013,NUTS,2010,BE,0,0.4842
2014,NUTS,2010,BE,0,0.5558
2015,NUTS,2010,BE,0,0.5777
2016,NUTS,2010,BE,0,0.5535
2017,NUTS,2010,BE,0,0.5938
2018,NUTS,2010,BE,0,0.6253
2019,NUTS,2010,BE,0,0.6713
2020,NUTS,2010,BE,0,0.7549
1999,NUTS,2010,BE1,1,0.4161
2000,NUTS,2010,BE1,1,0.4726
2001,NUTS,2010,BE1,1,0.5248
2002,NUTS,2010,BE1,1,0.4375
2003,NUTS,2010,BE1,1,0.4115
2004,NUTS,2010,BE1,1,0.3937
2005,NUTS,2010,BE1,1,0.3852
2006,NUTS,2010,BE1,1,0.4432
2007,NUTS,2010,BE1,1,0.4569
2008,NUTS,2010,BE1,1,0.4588
2009,NUTS,2010,BE1,1,0.463
2010,NUTS,2010,BE1,1,0.4236
2011,NUTS,2010,BE1,1,0.4581
2013,NUTS,2010,BE1,1,0.6054
2014,NUTS,2010,BE1,1,0.5853
2015,NUTS,2010,BE1,1,0.6251
2017,NUTS,2010,BE1,1,0.7861
2019,NUTS,2010,BE1,1,0.947
1999,NUTS,2010,BE10,2,0.4161
2000,NUTS,2010,BE10,2,0.4726
2001,NUTS,2010,BE10,2,0.5248
2002,NUTS,2010,BE10,2,0.4375
2003,NUTS,2010,BE10,2,0.4115
2004,NUTS,2010,BE10,2,0.3937
2005,NUTS,2010,BE10,2,0.3852
2006,NUTS,2010,BE10,2,0.4432
2007,NUTS,2010,BE10,2,0.4569
2008,NUTS,2010,BE10,2,0.4588
2009,NUTS,2010,BE10,2,0.463
2010,NUTS,2010,BE10,2,0.4236
2011,NUTS,2010,BE10,2,0.4581
2013,NUTS,2010,BE10,2,0.6054
2014,NUTS,2010,BE10,2,0.5853
2015,NUTS,2010,BE10,2,0.6251
2017,NUTS,2010,BE10,2,0.7861
2019,NUTS,2010,BE10,2,0.947
1999,NUTS,2010,BE2,1,0.4093
2000,NUTS,2010,BE2,1,0.4217
2001,NUTS,2010,BE2,1,0.4659
2002,NUTS,2010,BE2,1,0.4032
2003,NUTS,2010,BE2,1,0.3947
2004,NUTS,2010,BE2,1,0.3933
2005,NUTS,2010,BE2,1,0.3906
2006,NUTS,2010,BE2,1,0.4223
2007,NUTS,2010,BE2,1,0.4239
2008,NUTS,2010,BE2,1,0.3973
2009,NUTS,2010,BE2,1,0.3984
2010,NUTS,2010,BE2,1,0.4504
2011,NUTS,2010,BE2,1,0.4806
2013,NUTS,2010,BE2,1,0.505
2014,NUTS,2010,BE2,1,0.564
2015,NUTS,2010,BE2,1,0.5949
2017,NUTS,2010,BE2,1,0.597
2019,NUTS,2010,BE2,1,0.6939
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,0.6678
2015,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,0.3424
2015,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,0.4943
2015,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,0.8034
2015,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,0.4278
2015,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
1999,NUTS,2010,BE3,1,0.2707
2000,NUTS,2010,BE3,1,0.2665
2001,NUTS,2010,BE3,1,0.2939
2002,NUTS,2010,BE3,1,0.3033
2003,NUTS,2010,BE3,1,0.3078
2004,NUTS,2010,BE3,1,0.3047
2005,NUTS,2010,BE3,1,0.3011
2006,NUTS,2010,BE3,1,0.2668
2007,NUTS,2010,BE3,1,0.2757
2008,NUTS,2010,BE3,1,0.2671
2009,NUTS,2010,BE3,1,0.2919
2010,NUTS,2010,BE3,1,0.3231
2011,NUTS,2010,BE3,1,0.3556
2013,NUTS,2010,BE3,1,0.3904
2014,NUTS,2010,BE3,1,0.5149
2015,NUTS,2010,BE3,1,0.5105
2017,NUTS,2010,BE3,1,0.5006
2019,NUTS,2010,BE3,1,0.5004
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,2.1473
2015,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,0.3203
2015,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,0.3323
2015,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,0.1023
2015,NUTS,2010,BE34,2,
2017,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,0.2789
2015,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
2000,NUTS,2010,BG,0,0.0341
2001,NUTS,2010,BG,0,0.0322
2002,NUTS,2010,BG,0,0.0289
2003,NUTS,2010,BG,0,0.0379
2004,NUTS,2010,BG,0,0.0378
2005,NUTS,2010,BG,0,0.0353
2006,NUTS,2010,BG,0,0.0386
2007,NUTS,2010,BG,0,0.0382
2008,NUTS,2010,BG,0,0.0425
2009,NUTS,2010,BG,0,0.0501
2010,NUTS,2010,BG,0,0.0455
2011,NUTS,2010,BG,0,0.0469
2012,NUTS,2010,BG,0,0.0635
2013,NUTS,2010,BG,0,0.0832
2014,NUTS,2010,BG,0,0.1078
2015,NUTS,2010,BG,0,0.1682
2016,NUTS,2010,BG,0,0.1912
2017,NUTS,2010,BG,0,0.2001
2018,NUTS,2010,BG,0,0.2479
2019,NUTS,2010,BG,0,0.2596
2020,NUTS,2010,BG,0,0.2582
2003,NUTS,2010,BG3,1,0.0171
2004,NUTS,2010,BG3,1,0.0161
2005,NUTS,2010,BG3,1,0.0089
2006,NUTS,2010,BG3,1,0.0228
2007,NUTS,2010,BG3,1,0.0231
2008,NUTS,2010,BG3,1,0.0286
2009,NUTS,2010,BG3,1,0.0318
2010,NUTS,2010,BG3,1,0.0209
2011,NUTS,2010,BG3,1,0.0173
2012,NUTS,2010,BG3,1,0.0305
2013,NUTS,2010,BG3,1,
2014,NUTS,2010,BG3,1,0.0369
2015,NUTS,2010,BG3,1,0.0898
2016,NUTS,2010,BG3,1,0.0861
2017,NUTS,2010,BG3,1,0.1025
2018,NUTS,2010,BG3,1,0.1243
2019,NUTS,2010,BG3,1,0.1283
2003,NUTS,2010,BG31,2,
2004,NUTS,2010,BG31,2,
2005,NUTS,2010,BG31,2,
2006,NUTS,2010,BG31,2,
2007,NUTS,2010,BG31,2,
2008,NUTS,2010,BG31,2,0.0132
2009,NUTS,2010,BG31,2,
2010,NUTS,2010,BG31,2,
2011,NUTS,2010,BG31,2,
2012,NUTS,2010,BG31,2,
2013,NUTS,2010,BG31,2,
2014,NUTS,2010,BG31,2,
2015,NUTS,2010,BG31,2,
