year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_fte_hes_rse
1981,NUTS,2010,AT,0,3051.0
1985,NUTS,2010,AT,0,3474.0
1989,NUTS,2010,AT,0,3977.0
1993,NUTS,2010,AT,0,4857.0
1998,NUTS,2010,AT,0,5955.0
2002,NUTS,2010,AT,0,6977.0
2004,NUTS,2010,AT,0,8281.0
2005,NUTS,2010,AT,0,8962.0
2006,NUTS,2010,AT,0,9261.0
2007,NUTS,2010,AT,0,10112.0
2008,NUTS,2010,AT,0,11016.0
2009,NUTS,2010,AT,0,11262.0
2010,NUTS,2010,AT,0,11954.0
2011,NUTS,2010,AT,0,12199.0
2012,NUTS,2010,AT,0,12704.0
2013,NUTS,2010,AT,0,12846.0
2014,NUTS,2010,AT,0,13462.0
2015,NUTS,2010,AT,0,13658.0
2016,NUTS,2010,AT,0,13363.0
2017,NUTS,2010,AT,0,13513.0
2018,NUTS,2010,AT,0,14258.0
2019,NUTS,2010,AT,0,14669.0
2020,NUTS,2010,AT,0,14985.0
2011,NUTS,2010,AT1,1,6588.0
2013,NUTS,2010,AT1,1,7036.0
2019,NUTS,2010,AT1,1,7980.0
2011,NUTS,2010,AT11,2,26.0
2013,NUTS,2010,AT11,2,36.0
2019,NUTS,2010,AT11,2,68.0
2002,NUTS,2010,AT12,2,24.0
2004,NUTS,2010,AT12,2,50.0
2006,NUTS,2010,AT12,2,92.0
2007,NUTS,2010,AT12,2,113.0
2009,NUTS,2010,AT12,2,167.0
2011,NUTS,2010,AT12,2,258.0
2013,NUTS,2010,AT12,2,484.0
2015,NUTS,2010,AT12,2,586.0
2017,NUTS,2010,AT12,2,778.0
2019,NUTS,2010,AT12,2,1085.0
2002,NUTS,2010,AT13,2,3767.0
2004,NUTS,2010,AT13,2,4408.0
2006,NUTS,2010,AT13,2,4830.0
2007,NUTS,2010,AT13,2,5343.0
2009,NUTS,2010,AT13,2,5896.0
2011,NUTS,2010,AT13,2,6304.0
2013,NUTS,2010,AT13,2,6516.0
2015,NUTS,2010,AT13,2,6863.0
2017,NUTS,2010,AT13,2,6476.0
2019,NUTS,2010,AT13,2,6827.0
2006,NUTS,2010,AT2,1,2041.0
2007,NUTS,2010,AT2,1,2167.0
2009,NUTS,2010,AT2,1,2418.0
2011,NUTS,2010,AT2,1,2596.0
2013,NUTS,2010,AT2,1,2689.0
2017,NUTS,2010,AT2,1,2930.0
2019,NUTS,2010,AT2,1,3096.0
2006,NUTS,2010,AT21,2,200.0
2007,NUTS,2010,AT21,2,219.0
2009,NUTS,2010,AT21,2,244.0
2011,NUTS,2010,AT21,2,292.0
2013,NUTS,2010,AT21,2,292.0
2015,NUTS,2010,AT21,2,245.0
2017,NUTS,2010,AT21,2,281.0
2019,NUTS,2010,AT21,2,278.0
2002,NUTS,2010,AT22,2,1474.0
2004,NUTS,2010,AT22,2,1678.0
2006,NUTS,2010,AT22,2,1841.0
2007,NUTS,2010,AT22,2,1948.0
2009,NUTS,2010,AT22,2,2174.0
2011,NUTS,2010,AT22,2,2304.0
2013,NUTS,2010,AT22,2,2397.0
2015,NUTS,2010,AT22,2,2663.0
2017,NUTS,2010,AT22,2,2649.0
2019,NUTS,2010,AT22,2,2818.0
2002,NUTS,2010,AT3,1,1553.0
2004,NUTS,2010,AT3,1,1964.0
2011,NUTS,2010,AT3,1,3015.0
2013,NUTS,2010,AT3,1,3121.0
2019,NUTS,2010,AT3,1,3593.0
2002,NUTS,2010,AT31,2,423.0
2004,NUTS,2010,AT31,2,538.0
2006,NUTS,2010,AT31,2,653.0
2007,NUTS,2010,AT31,2,719.0
2009,NUTS,2010,AT31,2,827.0
2011,NUTS,2010,AT31,2,995.0
2013,NUTS,2010,AT31,2,1016.0
2015,NUTS,2010,AT31,2,988.0
2017,NUTS,2010,AT31,2,980.0
2019,NUTS,2010,AT31,2,1054.0
2006,NUTS,2010,AT32,2,459.0
2007,NUTS,2010,AT32,2,502.0
2009,NUTS,2010,AT32,2,568.0
2011,NUTS,2010,AT32,2,583.0
2013,NUTS,2010,AT32,2,607.0
2015,NUTS,2010,AT32,2,718.0
2017,NUTS,2010,AT32,2,731.0
2019,NUTS,2010,AT32,2,825.0
2002,NUTS,2010,AT33,2,799.0
2004,NUTS,2010,AT33,2,999.0
2006,NUTS,2010,AT33,2,1149.0
2007,NUTS,2010,AT33,2,1228.0
2009,NUTS,2010,AT33,2,1335.0
2011,NUTS,2010,AT33,2,1396.0
2013,NUTS,2010,AT33,2,1447.0
2015,NUTS,2010,AT33,2,1505.0
2017,NUTS,2010,AT33,2,1496.0
2019,NUTS,2010,AT33,2,1639.0
2011,NUTS,2010,AT34,2,41.0
2013,NUTS,2010,AT34,2,50.0
2019,NUTS,2010,AT34,2,74.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,404.0
2013,NUTS,2010,BA,0,641.0
2014,NUTS,2010,BA,0,895.0
2019,NUTS,2010,BA,0,1302.0
1981,NUTS,2010,BE,0,6588.0
1982,NUTS,2010,BE,0,6608.0
1983,NUTS,2010,BE,0,6589.0
1984,NUTS,2010,BE,0,6570.0
1985,NUTS,2010,BE,0,6650.0
1986,NUTS,2010,BE,0,6731.0
1987,NUTS,2010,BE,0,6793.0
1988,NUTS,2010,BE,0,7020.0
1989,NUTS,2010,BE,0,8245.0
1991,NUTS,2010,BE,0,8405.0
1993,NUTS,2010,BE,0,9229.0
1994,NUTS,2010,BE,0,9697.0
1995,NUTS,2010,BE,0,9824.0
1996,NUTS,2010,BE,0,9386.0
1997,NUTS,2010,BE,0,9860.0
1998,NUTS,2010,BE,0,10662.0
1999,NUTS,2010,BE,0,11673.0
2000,NUTS,2010,BE,0,11778.0
2001,NUTS,2010,BE,0,12034.0
2002,NUTS,2010,BE,0,12066.0
2003,NUTS,2010,BE,0,12389.0
2004,NUTS,2010,BE,0,13549.0
2005,NUTS,2010,BE,0,13853.0
2006,NUTS,2010,BE,0,14713.0
2007,NUTS,2010,BE,0,15461.0
2008,NUTS,2010,BE,0,16462.0
2009,NUTS,2010,BE,0,17252.0
2010,NUTS,2010,BE,0,17878.0
2011,NUTS,2010,BE,0,18228.0
2012,NUTS,2010,BE,0,18361.0
2013,NUTS,2010,BE,0,18750.0
2014,NUTS,2010,BE,0,19157.0
2015,NUTS,2010,BE,0,20362.0
2016,NUTS,2010,BE,0,19601.0
2017,NUTS,2010,BE,0,19705.0
2018,NUTS,2010,BE,0,19934.0
2019,NUTS,2010,BE,0,20272.0
2020,NUTS,2010,BE,0,21890.0
2002,NUTS,2010,BE1,1,2497.0
2003,NUTS,2010,BE1,1,2529.0
2004,NUTS,2010,BE1,1,2751.0
2005,NUTS,2010,BE1,1,2759.0
2006,NUTS,2010,BE1,1,2889.0
2007,NUTS,2010,BE1,1,3038.0
2008,NUTS,2010,BE1,1,3232.0
2009,NUTS,2010,BE1,1,3352.0
2010,NUTS,2010,BE1,1,3241.0
2011,NUTS,2010,BE1,1,3250.0
2012,NUTS,2010,BE1,1,3303.0
2013,NUTS,2010,BE1,1,3401.0
2014,NUTS,2010,BE1,1,3715.0
2015,NUTS,2010,BE1,1,4182.0
2016,NUTS,2010,BE1,1,4017.0
2017,NUTS,2010,BE1,1,4051.0
2018,NUTS,2010,BE1,1,3795.0
2019,NUTS,2010,BE1,1,3746.0
2002,NUTS,2010,BE10,2,2497.0
2003,NUTS,2010,BE10,2,2529.0
2004,NUTS,2010,BE10,2,2751.0
2005,NUTS,2010,BE10,2,2759.0
2006,NUTS,2010,BE10,2,2889.0
2007,NUTS,2010,BE10,2,3038.0
2008,NUTS,2010,BE10,2,3232.0
2009,NUTS,2010,BE10,2,3352.0
2010,NUTS,2010,BE10,2,3241.0
2011,NUTS,2010,BE10,2,3250.0
2012,NUTS,2010,BE10,2,3303.0
2013,NUTS,2010,BE10,2,3401.0
2014,NUTS,2010,BE10,2,3715.0
2015,NUTS,2010,BE10,2,4182.0
2016,NUTS,2010,BE10,2,4017.0
2017,NUTS,2010,BE10,2,4051.0
2018,NUTS,2010,BE10,2,3795.0
2019,NUTS,2010,BE10,2,3746.0
2002,NUTS,2010,BE2,1,6226.0
2003,NUTS,2010,BE2,1,6505.0
2004,NUTS,2010,BE2,1,7533.0
2005,NUTS,2010,BE2,1,7728.0
2006,NUTS,2010,BE2,1,8209.0
2007,NUTS,2010,BE2,1,8665.0
2008,NUTS,2010,BE2,1,9231.0
2009,NUTS,2010,BE2,1,9755.0
2010,NUTS,2010,BE2,1,10438.0
2011,NUTS,2010,BE2,1,10704.0
2012,NUTS,2010,BE2,1,10970.0
2013,NUTS,2010,BE2,1,11276.0
2014,NUTS,2010,BE2,1,11402.0
2015,NUTS,2010,BE2,1,11524.0
2016,NUTS,2010,BE2,1,11309.0
2017,NUTS,2010,BE2,1,11455.0
2018,NUTS,2010,BE2,1,11992.0
2019,NUTS,2010,BE2,1,12392.0
2002,NUTS,2010,BE3,1,3343.0
2003,NUTS,2010,BE3,1,3356.0
2004,NUTS,2010,BE3,1,3266.0
2005,NUTS,2010,BE3,1,3366.0
2006,NUTS,2010,BE3,1,3615.0
2007,NUTS,2010,BE3,1,3758.0
2008,NUTS,2010,BE3,1,3999.0
2009,NUTS,2010,BE3,1,4145.0
2010,NUTS,2010,BE3,1,4199.0
2011,NUTS,2010,BE3,1,4274.0
2012,NUTS,2010,BE3,1,4088.0
2013,NUTS,2010,BE3,1,4073.0
2014,NUTS,2010,BE3,1,4040.0
2015,NUTS,2010,BE3,1,4656.0
2016,NUTS,2010,BE3,1,4275.0
