year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hc_rse_bes
1998,NUTS,2010,AT,0,13966.0
2002,NUTS,2010,AT,0,19395.0
2004,NUTS,2010,AT,0,20587.0
2006,NUTS,2010,AT,0,22915.0
2007,NUTS,2010,AT,0,24615.0
2009,NUTS,2010,AT,0,26682.0
2011,NUTS,2010,AT,0,29734.0
2013,NUTS,2010,AT,0,33643.0
2015,NUTS,2010,AT,0,36984.0
2017,NUTS,2010,AT,0,39073.0
2019,NUTS,2010,AT,0,44287.0
2002,NUTS,2010,AT1,1,9583.0
2004,NUTS,2010,AT1,1,9417.0
2006,NUTS,2010,AT1,1,10097.0
2007,NUTS,2010,AT1,1,10812.0
2009,NUTS,2010,AT1,1,11235.0
2011,NUTS,2010,AT1,1,12260.0
2013,NUTS,2010,AT1,1,13649.0
2015,NUTS,2010,AT1,1,14388.0
2017,NUTS,2010,AT1,1,14117.0
2019,NUTS,2010,AT1,1,15378.0
2002,NUTS,2010,AT11,2,194.0
2004,NUTS,2010,AT11,2,183.0
2006,NUTS,2010,AT11,2,183.0
2007,NUTS,2010,AT11,2,224.0
2009,NUTS,2010,AT11,2,215.0
2011,NUTS,2010,AT11,2,364.0
2013,NUTS,2010,AT11,2,465.0
2015,NUTS,2010,AT11,2,487.0
2017,NUTS,2010,AT11,2,544.0
2019,NUTS,2010,AT11,2,586.0
2002,NUTS,2010,AT12,2,1943.0
2004,NUTS,2010,AT12,2,1903.0
2006,NUTS,2010,AT12,2,2314.0
2007,NUTS,2010,AT12,2,2345.0
2009,NUTS,2010,AT12,2,2567.0
2011,NUTS,2010,AT12,2,3326.0
2013,NUTS,2010,AT12,2,3232.0
2015,NUTS,2010,AT12,2,3511.0
2017,NUTS,2010,AT12,2,3586.0
2019,NUTS,2010,AT12,2,4358.0
2002,NUTS,2010,AT13,2,7446.0
2004,NUTS,2010,AT13,2,7331.0
2006,NUTS,2010,AT13,2,7600.0
2007,NUTS,2010,AT13,2,8243.0
2009,NUTS,2010,AT13,2,8453.0
2011,NUTS,2010,AT13,2,8570.0
2013,NUTS,2010,AT13,2,9952.0
2015,NUTS,2010,AT13,2,10390.0
2017,NUTS,2010,AT13,2,9987.0
2019,NUTS,2010,AT13,2,10434.0
2002,NUTS,2010,AT2,1,4395.0
2004,NUTS,2010,AT2,1,5088.0
2006,NUTS,2010,AT2,1,5983.0
2007,NUTS,2010,AT2,1,6409.0
2009,NUTS,2010,AT2,1,7037.0
2011,NUTS,2010,AT2,1,8099.0
2013,NUTS,2010,AT2,1,8471.0
2015,NUTS,2010,AT2,1,9671.0
2017,NUTS,2010,AT2,1,10462.0
2019,NUTS,2010,AT2,1,12947.0
2002,NUTS,2010,AT21,2,1179.0
2004,NUTS,2010,AT21,2,1429.0
2006,NUTS,2010,AT21,2,1671.0
2007,NUTS,2010,AT21,2,1781.0
2009,NUTS,2010,AT21,2,1958.0
2011,NUTS,2010,AT21,2,1886.0
2013,NUTS,2010,AT21,2,1936.0
2015,NUTS,2010,AT21,2,2287.0
2017,NUTS,2010,AT21,2,2437.0
2019,NUTS,2010,AT21,2,2913.0
2002,NUTS,2010,AT22,2,3216.0
2004,NUTS,2010,AT22,2,3659.0
2006,NUTS,2010,AT22,2,4312.0
2007,NUTS,2010,AT22,2,4628.0
2009,NUTS,2010,AT22,2,5079.0
2011,NUTS,2010,AT22,2,6213.0
2013,NUTS,2010,AT22,2,6535.0
2015,NUTS,2010,AT22,2,7384.0
2017,NUTS,2010,AT22,2,8025.0
2019,NUTS,2010,AT22,2,10034.0
2002,NUTS,2010,AT3,1,5417.0
2004,NUTS,2010,AT3,1,6082.0
2006,NUTS,2010,AT3,1,6835.0
2007,NUTS,2010,AT3,1,7394.0
2009,NUTS,2010,AT3,1,8410.0
2011,NUTS,2010,AT3,1,9375.0
2013,NUTS,2010,AT3,1,11523.0
2015,NUTS,2010,AT3,1,12925.0
2017,NUTS,2010,AT3,1,14494.0
2019,NUTS,2010,AT3,1,15962.0
2002,NUTS,2010,AT31,2,2871.0
2004,NUTS,2010,AT31,2,3244.0
2006,NUTS,2010,AT31,2,3812.0
2007,NUTS,2010,AT31,2,4108.0
2009,NUTS,2010,AT31,2,4592.0
2011,NUTS,2010,AT31,2,5104.0
2013,NUTS,2010,AT31,2,6568.0
2015,NUTS,2010,AT31,2,7431.0
2017,NUTS,2010,AT31,2,7891.0
2019,NUTS,2010,AT31,2,9093.0
2002,NUTS,2010,AT32,2,683.0
2004,NUTS,2010,AT32,2,657.0
2006,NUTS,2010,AT32,2,766.0
2007,NUTS,2010,AT32,2,822.0
2009,NUTS,2010,AT32,2,955.0
2011,NUTS,2010,AT32,2,1160.0
2013,NUTS,2010,AT32,2,1231.0
