year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_act_fte_pnp_rse
1998,NUTS,2010,AT,0,0.0023
2002,NUTS,2010,AT,0,0.0038
2004,NUTS,2010,AT,0,0.0035
2005,NUTS,2010,AT,0,0.0031
2006,NUTS,2010,AT,0,0.003
2007,NUTS,2010,AT,0,0.0029
2008,NUTS,2010,AT,0,0.0031
2009,NUTS,2010,AT,0,0.0059
2010,NUTS,2010,AT,0,0.0062
2011,NUTS,2010,AT,0,0.0063
2012,NUTS,2010,AT,0,0.0062
2013,NUTS,2010,AT,0,0.0061
2014,NUTS,2010,AT,0,0.0076
2015,NUTS,2010,AT,0,0.0081
2016,NUTS,2010,AT,0,0.0088
2017,NUTS,2010,AT,0,0.0089
2018,NUTS,2010,AT,0,0.0093
2019,NUTS,2010,AT,0,0.0098
2020,NUTS,2010,AT,0,0.0116
2006,NUTS,2010,AT1,1,0.0062
2007,NUTS,2010,AT1,1,0.0056
2009,NUTS,2010,AT1,1,0.0134
2011,NUTS,2010,AT1,1,0.0136
2013,NUTS,2010,AT1,1,0.0129
2015,NUTS,2010,AT1,1,0.017
2017,NUTS,2010,AT1,1,0.0183
2019,NUTS,2010,AT1,1,0.02
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.0011
2004,NUTS,2010,AT12,2,0.0009
2006,NUTS,2010,AT12,2,0.0012
2007,NUTS,2010,AT12,2,0.0013
2009,NUTS,2010,AT12,2,0.0136
2011,NUTS,2010,AT12,2,0.0138
2013,NUTS,2010,AT12,2,0.0142
2015,NUTS,2010,AT12,2,0.0175
2017,NUTS,2010,AT12,2,0.0189
2002,NUTS,2010,AT13,2,0.0137
2004,NUTS,2010,AT13,2,0.0142
2006,NUTS,2010,AT13,2,0.0119
2007,NUTS,2010,AT13,2,0.0106
2009,NUTS,2010,AT13,2,0.0155
2011,NUTS,2010,AT13,2,0.0156
2013,NUTS,2010,AT13,2,0.0136
2015,NUTS,2010,AT13,2,0.0193
2017,NUTS,2010,AT13,2,0.0206
2019,NUTS,2010,AT13,2,0.0224
2006,NUTS,2010,AT2,1,0.0006
2019,NUTS,2010,AT2,1,0.0008
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.0025
2002,NUTS,2010,AT22,2,0.0012
2004,NUTS,2010,AT22,2,0.0017
2006,NUTS,2010,AT22,2,0.0009
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,0.0015
2004,NUTS,2010,AT3,1,0.0008
2006,NUTS,2010,AT3,1,0.0005
2007,NUTS,2010,AT3,1,0.0012
2019,NUTS,2010,AT3,1,0.0023
2002,NUTS,2010,AT31,2,0.0009
2004,NUTS,2010,AT31,2,0.0005
2006,NUTS,2010,AT31,2,0.001
2009,NUTS,2010,AT31,2,0.0005
2011,NUTS,2010,AT31,2,0.0013
2013,NUTS,2010,AT31,2,0.0015
2015,NUTS,2010,AT31,2,0.0008
2017,NUTS,2010,AT31,2,0.001
2019,NUTS,2010,AT31,2,0.0015
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,0.0056
2017,NUTS,2010,AT32,2,0.0085
2019,NUTS,2010,AT32,2,0.0073
2002,NUTS,2010,AT33,2,0.0037
2004,NUTS,2010,AT33,2,0.0023
2006,NUTS,2010,AT33,2,0.0002
2013,NUTS,2010,AT33,2,0.0006
2019,NUTS,2010,AT33,2,0.0015
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
1993,NUTS,2010,BE,0,0.0053
1994,NUTS,2010,BE,0,0.0064
1995,NUTS,2010,BE,0,0.0067
1996,NUTS,2010,BE,0,0.0072
1997,NUTS,2010,BE,0,0.0073
1998,NUTS,2010,BE,0,0.0072
1999,NUTS,2010,BE,0,0.0074
2000,NUTS,2010,BE,0,0.0061
2001,NUTS,2010,BE,0,0.0063
2002,NUTS,2010,BE,0,0.0059
2003,NUTS,2010,BE,0,0.0059
2004,NUTS,2010,BE,0,0.0058
2005,NUTS,2010,BE,0,0.0055
2006,NUTS,2010,BE,0,0.0056
2007,NUTS,2010,BE,0,0.0057
2008,NUTS,2010,BE,0,0.0059
2009,NUTS,2010,BE,0,0.0059
2010,NUTS,2010,BE,0,0.0061
2011,NUTS,2010,BE,0,0.0061
2012,NUTS,2010,BE,0,0.0037
2013,NUTS,2010,BE,0,0.0038
2014,NUTS,2010,BE,0,0.0044
2015,NUTS,2010,BE,0,0.0061
2016,NUTS,2010,BE,0,0.0085
2017,NUTS,2010,BE,0,0.0093
2018,NUTS,2010,BE,0,0.019
2019,NUTS,2010,BE,0,0.0192
2020,NUTS,2010,BE,0,0.0214
1999,NUTS,2010,BE1,1,0.0296
2000,NUTS,2010,BE1,1,0.0189
2001,NUTS,2010,BE1,1,0.019
2002,NUTS,2010,BE1,1,0.0176
2003,NUTS,2010,BE1,1,0.0172
2004,NUTS,2010,BE1,1,0.0155
2005,NUTS,2010,BE1,1,0.0133
2006,NUTS,2010,BE1,1,0.0154
2007,NUTS,2010,BE1,1,0.0167
2008,NUTS,2010,BE1,1,0.0165
2009,NUTS,2010,BE1,1,0.016
2010,NUTS,2010,BE1,1,0.016
2011,NUTS,2010,BE1,1,0.0145
2012,NUTS,2010,BE1,1,0.0226
2013,NUTS,2010,BE1,1,0.0218
2014,NUTS,2010,BE1,1,0.0237
2015,NUTS,2010,BE1,1,0.0312
2016,NUTS,2010,BE1,1,0.0324
2017,NUTS,2010,BE1,1,0.0394
2018,NUTS,2010,BE1,1,0.1317
2019,NUTS,2010,BE1,1,0.1311
1999,NUTS,2010,BE10,2,0.0296
2000,NUTS,2010,BE10,2,0.0189
2001,NUTS,2010,BE10,2,0.019
2002,NUTS,2010,BE10,2,0.0176
2003,NUTS,2010,BE10,2,0.0172
2004,NUTS,2010,BE10,2,0.0155
2005,NUTS,2010,BE10,2,0.0133
2006,NUTS,2010,BE10,2,0.0154
2007,NUTS,2010,BE10,2,0.0167
2008,NUTS,2010,BE10,2,0.0165
2009,NUTS,2010,BE10,2,0.016
2010,NUTS,2010,BE10,2,0.016
2011,NUTS,2010,BE10,2,0.0145
2012,NUTS,2010,BE10,2,0.0226
2013,NUTS,2010,BE10,2,0.0218
2014,NUTS,2010,BE10,2,0.0237
2015,NUTS,2010,BE10,2,0.0312
2016,NUTS,2010,BE10,2,0.0324
2017,NUTS,2010,BE10,2,0.0394
2018,NUTS,2010,BE10,2,0.1317
2019,NUTS,2010,BE10,2,0.1311
1999,NUTS,2010,BE2,1,0.0079
