year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_act_fte_rse_hes
1998,NUTS,2010,AT,0,0.1558
2002,NUTS,2010,AT,0,0.1819
2004,NUTS,2010,AT,0,0.2143
2005,NUTS,2010,AT,0,0.2278
2006,NUTS,2010,AT,0,0.2319
2007,NUTS,2010,AT,0,0.2488
2008,NUTS,2010,AT,0,0.2687
2009,NUTS,2010,AT,0,0.2715
2010,NUTS,2010,AT,0,0.2871
2011,NUTS,2010,AT,0,0.2911
2012,NUTS,2010,AT,0,0.2998
2013,NUTS,2010,AT,0,0.3002
2014,NUTS,2010,AT,0,0.3133
2015,NUTS,2010,AT,0,0.3148
2016,NUTS,2010,AT,0,0.3014
2017,NUTS,2010,AT,0,0.3035
2018,NUTS,2010,AT,0,0.3184
2019,NUTS,2010,AT,0,0.326
2020,NUTS,2010,AT,0,0.3363
2011,NUTS,2010,AT1,1,0.3666
2013,NUTS,2010,AT1,1,0.3823
2019,NUTS,2010,AT1,1,0.4063
2011,NUTS,2010,AT11,2,0.0186
2013,NUTS,2010,AT11,2,0.0256
2019,NUTS,2010,AT11,2,0.0481
2002,NUTS,2010,AT12,2,0.0033
2004,NUTS,2010,AT12,2,0.0069
2006,NUTS,2010,AT12,2,0.0119
2007,NUTS,2010,AT12,2,0.0143
2009,NUTS,2010,AT12,2,0.0207
2011,NUTS,2010,AT12,2,0.0316
2013,NUTS,2010,AT12,2,0.0588
2015,NUTS,2010,AT12,2,0.0695
2017,NUTS,2010,AT12,2,0.0902
2019,NUTS,2010,AT12,2,0.1266
2002,NUTS,2010,AT13,2,0.4886
2004,NUTS,2010,AT13,2,0.5732
2006,NUTS,2010,AT13,2,0.5968
2007,NUTS,2010,AT13,2,0.6558
2009,NUTS,2010,AT13,2,0.7106
2011,NUTS,2010,AT13,2,0.7501
2013,NUTS,2010,AT13,2,0.7428
2015,NUTS,2010,AT13,2,0.761
2017,NUTS,2010,AT13,2,0.6886
2019,NUTS,2010,AT13,2,0.7073
2006,NUTS,2010,AT2,1,0.2436
2007,NUTS,2010,AT2,1,0.253
2009,NUTS,2010,AT2,1,0.2781
2011,NUTS,2010,AT2,1,0.297
2013,NUTS,2010,AT2,1,0.3037
2017,NUTS,2010,AT2,1,0.3261
2019,NUTS,2010,AT2,1,0.34
2006,NUTS,2010,AT21,2,0.0775
2007,NUTS,2010,AT21,2,0.0828
2009,NUTS,2010,AT21,2,0.091
2011,NUTS,2010,AT21,2,0.1088
2013,NUTS,2010,AT21,2,0.1073
2015,NUTS,2010,AT21,2,0.0901
2017,NUTS,2010,AT21,2,0.1031
2019,NUTS,2010,AT21,2,0.1011
2002,NUTS,2010,AT22,2,0.2656
2004,NUTS,2010,AT22,2,0.3082
2006,NUTS,2010,AT22,2,0.3174
2007,NUTS,2010,AT22,2,0.3289
2009,NUTS,2010,AT22,2,0.3615
2011,NUTS,2010,AT22,2,0.3802
2013,NUTS,2010,AT22,2,0.391
