year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_emp_hc_hes_total
1998,NUTS,2010,AT,0,0.6004
2002,NUTS,2010,AT,0,0.6809
2004,NUTS,2010,AT,0,0.8041
2006,NUTS,2010,AT,0,0.8648
2007,NUTS,2010,AT,0,0.9128
2009,NUTS,2010,AT,0,0.9998
2011,NUTS,2010,AT,0,1.0621
2013,NUTS,2010,AT,0,1.1067
2015,NUTS,2010,AT,0,1.1692
2017,NUTS,2010,AT,0,1.1556
2019,NUTS,2010,AT,0,1.2304
2011,NUTS,2010,AT1,1,1.3016
2013,NUTS,2010,AT1,1,1.3844
2019,NUTS,2010,AT1,1,1.4827
2011,NUTS,2010,AT11,2,0.0695
2013,NUTS,2010,AT11,2,0.1149
2019,NUTS,2010,AT11,2,0.1524
2002,NUTS,2010,AT12,2,0.0192
2004,NUTS,2010,AT12,2,0.0284
2006,NUTS,2010,AT12,2,0.0446
2007,NUTS,2010,AT12,2,0.0497
2009,NUTS,2010,AT12,2,0.067
2011,NUTS,2010,AT12,2,0.0801
2013,NUTS,2010,AT12,2,0.158
2015,NUTS,2010,AT12,2,0.1853
2017,NUTS,2010,AT12,2,0.2451
2019,NUTS,2010,AT12,2,0.2988
2002,NUTS,2010,AT13,2,1.8833
2004,NUTS,2010,AT13,2,2.278
2006,NUTS,2010,AT13,2,2.3318
2007,NUTS,2010,AT13,2,2.454
2009,NUTS,2010,AT13,2,2.6499
2011,NUTS,2010,AT13,2,2.749
2013,NUTS,2010,AT13,2,2.8034
2015,NUTS,2010,AT13,2,2.8802
2017,NUTS,2010,AT13,2,2.7249
2019,NUTS,2010,AT13,2,2.8027
2006,NUTS,2010,AT2,1,0.8961
2007,NUTS,2010,AT2,1,0.9888
2009,NUTS,2010,AT2,1,1.1084
2011,NUTS,2010,AT2,1,1.1772
2013,NUTS,2010,AT2,1,1.1841
2017,NUTS,2010,AT2,1,1.2915
2019,NUTS,2010,AT2,1,1.3992
2006,NUTS,2010,AT21,2,0.294
2007,NUTS,2010,AT21,2,0.3124
2009,NUTS,2010,AT21,2,0.3198
2011,NUTS,2010,AT21,2,0.3536
2013,NUTS,2010,AT21,2,0.3328
2015,NUTS,2010,AT21,2,0.3129
2017,NUTS,2010,AT21,2,0.3386
2019,NUTS,2010,AT21,2,0.4088
2002,NUTS,2010,AT22,2,1.0055
2004,NUTS,2010,AT22,2,1.1217
2006,NUTS,2010,AT22,2,1.1625
2007,NUTS,2010,AT22,2,1.2904
2009,NUTS,2010,AT22,2,1.4616
2011,NUTS,2010,AT22,2,1.5391
2013,NUTS,2010,AT22,2,1.559
2015,NUTS,2010,AT22,2,1.7465
2017,NUTS,2010,AT22,2,1.7051
2019,NUTS,2010,AT22,2,1.8258
2002,NUTS,2010,AT3,1,0.4169
2004,NUTS,2010,AT3,1,0.5178
2011,NUTS,2010,AT3,1,0.6843
2013,NUTS,2010,AT3,1,0.7046
2019,NUTS,2010,AT3,1,0.8014
2002,NUTS,2010,AT31,2,0.231
2004,NUTS,2010,AT31,2,0.2759
2006,NUTS,2010,AT31,2,0.3131
2007,NUTS,2010,AT31,2,0.2979
2009,NUTS,2010,AT31,2,0.339
2011,NUTS,2010,AT31,2,0.4041
2013,NUTS,2010,AT31,2,0.4053
2015,NUTS,2010,AT31,2,0.439
2017,NUTS,2010,AT31,2,0.4346
2019,NUTS,2010,AT31,2,0.465
2006,NUTS,2010,AT32,2,0.6251
2007,NUTS,2010,AT32,2,0.6355
2009,NUTS,2010,AT32,2,0.7308
2011,NUTS,2010,AT32,2,0.8074
2013,NUTS,2010,AT32,2,0.8619
2015,NUTS,2010,AT32,2,0.9971
2017,NUTS,2010,AT32,2,1.0143
2019,NUTS,2010,AT32,2,1.0408
2002,NUTS,2010,AT33,2,0.9847
2004,NUTS,2010,AT33,2,1.1995
2006,NUTS,2010,AT33,2,1.3031
2007,NUTS,2010,AT33,2,1.386
2009,NUTS,2010,AT33,2,1.3843
2011,NUTS,2010,AT33,2,1.4821
2013,NUTS,2010,AT33,2,1.5016
2015,NUTS,2010,AT33,2,1.5108
2017,NUTS,2010,AT33,2,1.5546
2019,NUTS,2010,AT33,2,1.6593
2011,NUTS,2010,AT34,2,0.0408
2013,NUTS,2010,AT34,2,0.0502
2019,NUTS,2010,AT34,2,0.0781
1993,NUTS,2010,BE,0,0.563
1994,NUTS,2010,BE,0,0.581
1995,NUTS,2010,BE,0,0.5805
1996,NUTS,2010,BE,0,0.5649
1997,NUTS,2010,BE,0,0.586
1998,NUTS,2010,BE,0,0.6297
1999,NUTS,2010,BE,0,0.668
2000,NUTS,2010,BE,0,0.654
2002,NUTS,2010,BE,0,0.7711
2003,NUTS,2010,BE,0,0.773
2004,NUTS,2010,BE,0,0.8409
2005,NUTS,2010,BE,0,0.8458
2006,NUTS,2010,BE,0,0.8735
2007,NUTS,2010,BE,0,0.8799
2008,NUTS,2010,BE,0,0.9009
2009,NUTS,2010,BE,0,0.935
2010,NUTS,2010,BE,0,0.932
2011,NUTS,2010,BE,0,0.9472
2012,NUTS,2010,BE,0,0.9457
2013,NUTS,2010,BE,0,0.9583
2014,NUTS,2010,BE,0,1.0408
2015,NUTS,2010,BE,0,0.9971
2016,NUTS,2010,BE,0,1.0101
2017,NUTS,2010,BE,0,1.0113
2018,NUTS,2010,BE,0,1.0681
2019,NUTS,2010,BE,0,1.0514
2002,NUTS,2010,BE1,1,2.3858
2003,NUTS,2010,BE1,1,2.2644
2004,NUTS,2010,BE1,1,2.2281
2005,NUTS,2010,BE1,1,2.2375
2006,NUTS,2010,BE1,1,2.3128
2007,NUTS,2010,BE1,1,2.2959
2008,NUTS,2010,BE1,1,2.2814
2009,NUTS,2010,BE1,1,2.293
2010,NUTS,2010,BE1,1,2.1462
2011,NUTS,2010,BE1,1,2.1709
2012,NUTS,2010,BE1,1,2.1095
2013,NUTS,2010,BE1,1,2.1607
2014,NUTS,2010,BE1,1,2.3104
2015,NUTS,2010,BE1,1,2.0278
2016,NUTS,2010,BE1,1,2.0195
2017,NUTS,2010,BE1,1,1.9338
2018,NUTS,2010,BE1,1,2.2479
2019,NUTS,2010,BE1,1,2.1055
2002,NUTS,2010,BE10,2,2.3858
2003,NUTS,2010,BE10,2,2.2644
2004,NUTS,2010,BE10,2,2.2281
2005,NUTS,2010,BE10,2,2.2375
2006,NUTS,2010,BE10,2,2.3128
2007,NUTS,2010,BE10,2,2.2959
2008,NUTS,2010,BE10,2,2.2814
2009,NUTS,2010,BE10,2,2.293
2010,NUTS,2010,BE10,2,2.1462
2011,NUTS,2010,BE10,2,2.1709
2012,NUTS,2010,BE10,2,2.1095
2013,NUTS,2010,BE10,2,2.1607
2014,NUTS,2010,BE10,2,2.3104
2015,NUTS,2010,BE10,2,2.0278
2016,NUTS,2010,BE10,2,2.0195
2017,NUTS,2010,BE10,2,1.9338
2018,NUTS,2010,BE10,2,2.2479
2019,NUTS,2010,BE10,2,2.1055
2002,NUTS,2010,BE2,1,0.5787
2003,NUTS,2010,BE2,1,0.593
2004,NUTS,2010,BE2,1,0.7191
2005,NUTS,2010,BE2,1,0.7243
2006,NUTS,2010,BE2,1,0.7359
2007,NUTS,2010,BE2,1,0.7438
2008,NUTS,2010,BE2,1,0.7707
2009,NUTS,2010,BE2,1,0.803
2010,NUTS,2010,BE2,1,0.8359
2011,NUTS,2010,BE2,1,0.8563
2012,NUTS,2010,BE2,1,0.8652
2013,NUTS,2010,BE2,1,0.8823
2014,NUTS,2010,BE2,1,0.949
2015,NUTS,2010,BE2,1,0.9582
2016,NUTS,2010,BE2,1,0.9501
2017,NUTS,2010,BE2,1,0.9422
2018,NUTS,2010,BE2,1,0.9587
2019,NUTS,2010,BE2,1,0.9615
2002,NUTS,2010,BE3,1,0.714
