year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_total_f
2011,NUTS,2010,AT,0,33014.0
2013,NUTS,2010,AT,0,35719.0
2015,NUTS,2010,AT,0,38084.0
2017,NUTS,2010,AT,0,40094.0
2019,NUTS,2010,AT,0,44293.0
2011,NUTS,2010,AT1,1,17957.0
2013,NUTS,2010,AT1,1,19317.0
2015,NUTS,2010,AT1,1,20245.0
2017,NUTS,2010,AT1,1,20952.0
2019,NUTS,2010,AT1,1,23169.0
2011,NUTS,2010,AT11,2,241.0
2013,NUTS,2010,AT11,2,289.0
2015,NUTS,2010,AT11,2,253.0
2017,NUTS,2010,AT11,2,290.0
2019,NUTS,2010,AT11,2,268.0
2011,NUTS,2010,AT12,2,1777.0
2013,NUTS,2010,AT12,2,2164.0
2015,NUTS,2010,AT12,2,2433.0
2017,NUTS,2010,AT12,2,2715.0
2019,NUTS,2010,AT12,2,3265.0
2011,NUTS,2010,AT13,2,15939.0
2013,NUTS,2010,AT13,2,16864.0
2015,NUTS,2010,AT13,2,17559.0
2017,NUTS,2010,AT13,2,17947.0
2019,NUTS,2010,AT13,2,19635.0
2011,NUTS,2010,AT2,1,7323.0
2013,NUTS,2010,AT2,1,7675.0
2015,NUTS,2010,AT2,1,8289.0
2017,NUTS,2010,AT2,1,8732.0
2019,NUTS,2010,AT2,1,9809.0
2011,NUTS,2010,AT21,2,915.0
2013,NUTS,2010,AT21,2,932.0
2015,NUTS,2010,AT21,2,973.0
2017,NUTS,2010,AT21,2,1213.0
2019,NUTS,2010,AT21,2,1441.0
2011,NUTS,2010,AT22,2,6408.0
2013,NUTS,2010,AT22,2,6743.0
2015,NUTS,2010,AT22,2,7316.0
2017,NUTS,2010,AT22,2,7519.0
2019,NUTS,2010,AT22,2,8368.0
2011,NUTS,2010,AT3,1,7734.0
2013,NUTS,2010,AT3,1,8727.0
2015,NUTS,2010,AT3,1,9550.0
2017,NUTS,2010,AT3,1,10410.0
2019,NUTS,2010,AT3,1,11315.0
2011,NUTS,2010,AT31,2,2510.0
2013,NUTS,2010,AT31,2,2793.0
2015,NUTS,2010,AT31,2,3168.0
2017,NUTS,2010,AT31,2,3288.0
2019,NUTS,2010,AT31,2,3895.0
2011,NUTS,2010,AT32,2,1441.0
2013,NUTS,2010,AT32,2,1748.0
2015,NUTS,2010,AT32,2,1989.0
2017,NUTS,2010,AT32,2,2207.0
2019,NUTS,2010,AT32,2,2348.0
2011,NUTS,2010,AT33,2,3427.0
2013,NUTS,2010,AT33,2,3782.0
2015,NUTS,2010,AT33,2,3906.0
2017,NUTS,2010,AT33,2,4322.0
2019,NUTS,2010,AT33,2,4463.0
2011,NUTS,2010,AT34,2,356.0
2013,NUTS,2010,AT34,2,404.0
2015,NUTS,2010,AT34,2,487.0
2017,NUTS,2010,AT34,2,593.0
