year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2011,NUTS,2010,AT,0,1.687
2013,NUTS,2010,AT,0,1.7779
2015,NUTS,2010,AT,0,1.8687
2017,NUTS,2010,AT,0,1.9202
2019,NUTS,2010,AT,0,2.0982
2011,NUTS,2010,AT1,1,2.1178
2013,NUTS,2010,AT1,1,2.2132
2015,NUTS,2010,AT1,1,2.2648
2017,NUTS,2010,AT1,1,2.2831
2019,NUTS,2010,AT1,1,2.52
2011,NUTS,2010,AT11,2,0.3777
2013,NUTS,2010,AT11,2,0.4446
2015,NUTS,2010,AT11,2,0.3857
2017,NUTS,2010,AT11,2,0.4328
2019,NUTS,2010,AT11,2,0.4018
2011,NUTS,2010,AT12,2,0.4664
2013,NUTS,2010,AT12,2,0.5631
2015,NUTS,2010,AT12,2,0.6121
2017,NUTS,2010,AT12,2,0.6697
2019,NUTS,2010,AT12,2,0.8138
2011,NUTS,2010,AT13,2,3.9541
2013,NUTS,2010,AT13,2,3.9821
2015,NUTS,2010,AT13,2,4.0759
2017,NUTS,2010,AT13,2,4.0312
2019,NUTS,2010,AT13,2,4.3488
2011,NUTS,2010,AT2,1,1.8117
2013,NUTS,2010,AT2,1,1.8747
2015,NUTS,2010,AT2,1,2.0095
2017,NUTS,2010,AT2,1,2.0815
2019,NUTS,2010,AT2,1,2.3113
2011,NUTS,2010,AT21,2,0.7367
2013,NUTS,2010,AT21,2,0.731
2015,NUTS,2010,AT21,2,0.7649
2017,NUTS,2010,AT21,2,0.9447
2019,NUTS,2010,AT21,2,1.1197
2011,NUTS,2010,AT22,2,2.2886
2013,NUTS,2010,AT22,2,2.392
2015,NUTS,2010,AT22,2,2.5643
2017,NUTS,2010,AT22,2,2.583
2019,NUTS,2010,AT22,2,2.8299
2011,NUTS,2010,AT3,1,1.0612
2013,NUTS,2010,AT3,1,1.1639
2015,NUTS,2010,AT3,1,1.2611
2017,NUTS,2010,AT3,1,1.3429
2019,NUTS,2010,AT3,1,1.4306
2011,NUTS,2010,AT31,2,0.7376
2013,NUTS,2010,AT31,2,0.8024
2015,NUTS,2010,AT31,2,0.9023
2017,NUTS,2010,AT31,2,0.9192
