year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2011,NUTS,2010,AT,0,65609.0
2013,NUTS,2010,AT,0,71448.0
2015,NUTS,2010,AT,0,78051.0
2017,NUTS,2010,AT,0,83648.0
2019,NUTS,2010,AT,0,93179.0
2011,NUTS,2010,AT1,1,31951.0
2013,NUTS,2010,AT1,1,34836.0
2015,NUTS,2010,AT1,1,37047.0
2017,NUTS,2010,AT1,1,39140.0
2019,NUTS,2010,AT1,1,42780.0
2011,NUTS,2010,AT11,2,484.0
2013,NUTS,2010,AT11,2,632.0
2015,NUTS,2010,AT11,2,663.0
2017,NUTS,2010,AT11,2,720.0
2019,NUTS,2010,AT11,2,797.0
2011,NUTS,2010,AT12,2,4254.0
2013,NUTS,2010,AT12,2,4637.0
2015,NUTS,2010,AT12,2,5248.0
2017,NUTS,2010,AT12,2,5771.0
2019,NUTS,2010,AT12,2,7038.0
2011,NUTS,2010,AT13,2,27213.0
2013,NUTS,2010,AT13,2,29567.0
2015,NUTS,2010,AT13,2,31136.0
2017,NUTS,2010,AT13,2,32649.0
2019,NUTS,2010,AT13,2,34945.0
2011,NUTS,2010,AT2,1,15725.0
2013,NUTS,2010,AT2,1,16044.0
2015,NUTS,2010,AT2,1,18303.0
2017,NUTS,2010,AT2,1,19494.0
2019,NUTS,2010,AT2,1,23106.0
2011,NUTS,2010,AT21,2,2675.0
2013,NUTS,2010,AT21,2,2716.0
2015,NUTS,2010,AT21,2,2987.0
2017,NUTS,2010,AT21,2,3240.0
2019,NUTS,2010,AT21,2,3837.0
2011,NUTS,2010,AT22,2,13050.0
2013,NUTS,2010,AT22,2,13328.0
2015,NUTS,2010,AT22,2,15316.0
2017,NUTS,2010,AT22,2,16254.0
2019,NUTS,2010,AT22,2,19269.0
2011,NUTS,2010,AT3,1,17933.0
2013,NUTS,2010,AT3,1,20568.0
2015,NUTS,2010,AT3,1,22701.0
2017,NUTS,2010,AT3,1,25014.0
2019,NUTS,2010,AT3,1,27293.0
2011,NUTS,2010,AT31,2,7668.0
2013,NUTS,2010,AT31,2,9065.0
2015,NUTS,2010,AT31,2,10141.0
2017,NUTS,2010,AT31,2,10832.0
2019,NUTS,2010,AT31,2,12309.0
2011,NUTS,2010,AT32,2,3090.0
2013,NUTS,2010,AT32,2,3399.0
2015,NUTS,2010,AT32,2,3844.0
2017,NUTS,2010,AT32,2,4560.0
2019,NUTS,2010,AT32,2,4889.0
2011,NUTS,2010,AT33,2,6046.0
2013,NUTS,2010,AT33,2,6543.0
2015,NUTS,2010,AT33,2,6938.0
2017,NUTS,2010,AT33,2,7731.0
2019,NUTS,2010,AT33,2,8196.0
2011,NUTS,2010,AT34,2,1129.0
2013,NUTS,2010,AT34,2,1561.0
2015,NUTS,2010,AT34,2,1778.0
2017,NUTS,2010,AT34,2,1891.0
2019,NUTS,2010,AT34,2,1900.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,799.0
