year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_t_fte_total
1981,NUTS,2010,AT,0,18599.0
1985,NUTS,2010,AT,0,20161.0
1989,NUTS,2010,AT,0,23084.0
1993,NUTS,2010,AT,0,24458.0
1998,NUTS,2010,AT,0,31308.0
2002,NUTS,2010,AT,0,38893.0
2004,NUTS,2010,AT,0,42891.0
2005,NUTS,2010,AT,0,47625.0
2006,NUTS,2010,AT,0,49377.0
2007,NUTS,2010,AT,0,53252.0
2008,NUTS,2010,AT,0,58014.0
2009,NUTS,2010,AT,0,56438.0
2010,NUTS,2010,AT,0,59923.0
2011,NUTS,2010,AT,0,61171.0
2012,NUTS,2010,AT,0,65088.0
2013,NUTS,2010,AT,0,66186.0
2014,NUTS,2010,AT,0,70138.0
2015,NUTS,2010,AT,0,71396.0
2016,NUTS,2010,AT,0,75165.0
2017,NUTS,2010,AT,0,76010.0
2018,NUTS,2010,AT,0,80198.0
2019,NUTS,2010,AT,0,83660.0
2020,NUTS,2010,AT,0,81808.0
1981,NUTS,2010,AT1,1,9836.0
1989,NUTS,2010,AT1,1,12968.0
1993,NUTS,2010,AT1,1,14169.0
1998,NUTS,2010,AT1,1,16597.0
2002,NUTS,2010,AT1,1,19615.0
2004,NUTS,2010,AT1,1,20818.0
2006,NUTS,2010,AT1,1,23541.0
2007,NUTS,2010,AT1,1,25111.0
2009,NUTS,2010,AT1,1,25489.0
2011,NUTS,2010,AT1,1,26615.0
2013,NUTS,2010,AT1,1,26970.0
2015,NUTS,2010,AT1,1,28628.0
2017,NUTS,2010,AT1,1,30483.0
2019,NUTS,2010,AT1,1,33480.0
1981,NUTS,2010,AT11,2,77.0
1989,NUTS,2010,AT11,2,97.0
1993,NUTS,2010,AT11,2,158.0
1998,NUTS,2010,AT11,2,92.0
2002,NUTS,2010,AT11,2,298.0
2004,NUTS,2010,AT11,2,328.0
2006,NUTS,2010,AT11,2,336.0
2007,NUTS,2010,AT11,2,385.0
2009,NUTS,2010,AT11,2,464.0
2011,NUTS,2010,AT11,2,574.0
2013,NUTS,2010,AT11,2,666.0
2015,NUTS,2010,AT11,2,723.0
2017,NUTS,2010,AT11,2,754.0
2019,NUTS,2010,AT11,2,789.0
1981,NUTS,2010,AT12,2,1091.0
1989,NUTS,2010,AT12,2,1515.0
1993,NUTS,2010,AT12,2,1251.0
1998,NUTS,2010,AT12,2,2119.0
2002,NUTS,2010,AT12,2,2766.0
2004,NUTS,2010,AT12,2,3107.0
2006,NUTS,2010,AT12,2,3999.0
2007,NUTS,2010,AT12,2,4274.0
2009,NUTS,2010,AT12,2,4771.0
2011,NUTS,2010,AT12,2,5324.0
2013,NUTS,2010,AT12,2,5848.0
2015,NUTS,2010,AT12,2,6691.0
2017,NUTS,2010,AT12,2,7430.0
2019,NUTS,2010,AT12,2,8518.0
1981,NUTS,2010,AT13,2,8667.0
1989,NUTS,2010,AT13,2,11356.0
1993,NUTS,2010,AT13,2,12760.0
1998,NUTS,2010,AT13,2,14387.0
2002,NUTS,2010,AT13,2,16551.0
2004,NUTS,2010,AT13,2,17383.0
2006,NUTS,2010,AT13,2,19207.0
2007,NUTS,2010,AT13,2,20452.0
2009,NUTS,2010,AT13,2,20254.0
2011,NUTS,2010,AT13,2,20717.0
2013,NUTS,2010,AT13,2,20456.0
2015,NUTS,2010,AT13,2,21214.0
2017,NUTS,2010,AT13,2,22299.0
2019,NUTS,2010,AT13,2,24173.0
1981,NUTS,2010,AT2,1,3864.0
1989,NUTS,2010,AT2,1,4235.0
1993,NUTS,2010,AT2,1,4399.0
1998,NUTS,2010,AT2,1,6807.0
2002,NUTS,2010,AT2,1,8822.0
2004,NUTS,2010,AT2,1,9917.0
