year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_t_pc_act_fte_total
1998,NUTS,2010,AT,0,0.8189
2002,NUTS,2010,AT,0,1.0142
2004,NUTS,2010,AT,0,1.1097
2005,NUTS,2010,AT,0,1.2106
2006,NUTS,2010,AT,0,1.2363
2007,NUTS,2010,AT,0,1.3103
2008,NUTS,2010,AT,0,1.415
2009,NUTS,2010,AT,0,1.3606
2010,NUTS,2010,AT,0,1.4394
2011,NUTS,2010,AT,0,1.4596
2012,NUTS,2010,AT,0,1.5362
2013,NUTS,2010,AT,0,1.5468
2014,NUTS,2010,AT,0,1.6323
2015,NUTS,2010,AT,0,1.6458
2016,NUTS,2010,AT,0,1.6956
2017,NUTS,2010,AT,0,1.7073
2018,NUTS,2010,AT,0,1.7909
2019,NUTS,2010,AT,0,1.8591
2020,NUTS,2010,AT,0,1.8359
2002,NUTS,2010,AT1,1,1.198
2004,NUTS,2010,AT1,1,1.2814
2006,NUTS,2010,AT1,1,1.373
2007,NUTS,2010,AT1,1,1.4413
2009,NUTS,2010,AT1,1,1.4373
2011,NUTS,2010,AT1,1,1.481
2013,NUTS,2010,AT1,1,1.4653
2015,NUTS,2010,AT1,1,1.5188
2017,NUTS,2010,AT1,1,1.5667
2019,NUTS,2010,AT1,1,1.7045
2002,NUTS,2010,AT11,2,0.2321
2004,NUTS,2010,AT11,2,0.2599
2006,NUTS,2010,AT11,2,0.2483
2007,NUTS,2010,AT11,2,0.279
2009,NUTS,2010,AT11,2,0.3297
2011,NUTS,2010,AT11,2,0.4121
2013,NUTS,2010,AT11,2,0.4754
2015,NUTS,2010,AT11,2,0.5143
2017,NUTS,2010,AT11,2,0.5279
2019,NUTS,2010,AT11,2,0.5566
2002,NUTS,2010,AT12,2,0.3748
2004,NUTS,2010,AT12,2,0.4258
2006,NUTS,2010,AT12,2,0.5192
2007,NUTS,2010,AT12,2,0.5413
2009,NUTS,2010,AT12,2,0.5942
2011,NUTS,2010,AT12,2,0.6514
2013,NUTS,2010,AT12,2,0.7104
2015,NUTS,2010,AT12,2,0.7942
2017,NUTS,2010,AT12,2,0.8617
2019,NUTS,2010,AT12,2,0.9936
2002,NUTS,2010,AT13,2,2.147
2004,NUTS,2010,AT13,2,2.2605
2006,NUTS,2010,AT13,2,2.3732
2007,NUTS,2010,AT13,2,2.5103
2009,NUTS,2010,AT13,2,2.4412
2011,NUTS,2010,AT13,2,2.4648
2013,NUTS,2010,AT13,2,2.3319
2015,NUTS,2010,AT13,2,2.3522
2017,NUTS,2010,AT13,2,2.3709
2019,NUTS,2010,AT13,2,2.5045
2002,NUTS,2010,AT2,1,1.0905
2004,NUTS,2010,AT2,1,1.2531
2006,NUTS,2010,AT2,1,1.3866
2007,NUTS,2010,AT2,1,1.4617
2009,NUTS,2010,AT2,1,1.5402
2011,NUTS,2010,AT2,1,1.7363
2013,NUTS,2010,AT2,1,1.9075
2015,NUTS,2010,AT2,1,2.0844
2017,NUTS,2010,AT2,1,2.1938
2019,NUTS,2010,AT2,1,2.388
2002,NUTS,2010,AT21,2,0.6323
2004,NUTS,2010,AT21,2,0.7697
2006,NUTS,2010,AT21,2,0.9025
2007,NUTS,2010,AT21,2,0.9552
2009,NUTS,2010,AT21,2,1.0165
2011,NUTS,2010,AT21,2,1.1375
2013,NUTS,2010,AT21,2,1.1708
2015,NUTS,2010,AT21,2,1.2145
2017,NUTS,2010,AT21,2,1.2435
2019,NUTS,2010,AT21,2,1.388
2002,NUTS,2010,AT22,2,1.3005
2004,NUTS,2010,AT22,2,1.4723
2006,NUTS,2010,AT22,2,1.602
2007,NUTS,2010,AT22,2,1.6879
2009,NUTS,2010,AT22,2,1.7736
2011,NUTS,2010,AT22,2,2.0011
2013,NUTS,2010,AT22,2,2.2347
2015,NUTS,2010,AT22,2,2.4693
2017,NUTS,2010,AT22,2,2.607
2019,NUTS,2010,AT22,2,2.8209
2002,NUTS,2010,AT3,1,0.7417
2004,NUTS,2010,AT3,1,0.86
2006,NUTS,2010,AT3,1,0.9573
2007,NUTS,2010,AT3,1,1.0243
2009,NUTS,2010,AT3,1,1.1239
2011,NUTS,2010,AT3,1,1.2304
2013,NUTS,2010,AT3,1,1.3867
2015,NUTS,2010,AT3,1,1.4912
2017,NUTS,2010,AT3,1,1.5513
2019,NUTS,2010,AT3,1,1.688
2002,NUTS,2010,AT31,2,0.7647
2004,NUTS,2010,AT31,2,0.8956
2006,NUTS,2010,AT31,2,1.0374
2007,NUTS,2010,AT31,2,1.126
2009,NUTS,2010,AT31,2,1.2219
2011,NUTS,2010,AT31,2,1.358
2013,NUTS,2010,AT31,2,1.5878
2015,NUTS,2010,AT31,2,1.7113
2017,NUTS,2010,AT31,2,1.7526
2019,NUTS,2010,AT31,2,1.9344
2002,NUTS,2010,AT32,2,0.5116
2004,NUTS,2010,AT32,2,0.6083
2006,NUTS,2010,AT32,2,0.7021
2007,NUTS,2010,AT32,2,0.7235
2009,NUTS,2010,AT32,2,0.8129
2011,NUTS,2010,AT32,2,0.9225
2013,NUTS,2010,AT32,2,1.0591
2015,NUTS,2010,AT32,2,1.1486
2017,NUTS,2010,AT32,2,1.2676
2019,NUTS,2010,AT32,2,1.3875
2002,NUTS,2010,AT33,2,0.8944
2004,NUTS,2010,AT33,2,1.0657
2006,NUTS,2010,AT33,2,1.0829
2007,NUTS,2010,AT33,2,1.1417
2009,NUTS,2010,AT33,2,1.2487
2011,NUTS,2010,AT33,2,1.3669
2013,NUTS,2010,AT33,2,1.4218
2015,NUTS,2010,AT33,2,1.4726
2017,NUTS,2010,AT33,2,1.5484
2019,NUTS,2010,AT33,2,1.6147
2002,NUTS,2010,AT34,2,0.7111
2004,NUTS,2010,AT34,2,0.704
2006,NUTS,2010,AT34,2,0.7801
2007,NUTS,2010,AT34,2,0.8459
2009,NUTS,2010,AT34,2,0.9534
2011,NUTS,2010,AT34,2,0.9231
2013,NUTS,2010,AT34,2,1.0169
2015,NUTS,2010,AT34,2,1.1715
2017,NUTS,2010,AT34,2,1.2025
2019,NUTS,2010,AT34,2,1.33
1993,NUTS,2010,BE,0,0.9056
1994,NUTS,2010,BE,0,0.9398
1995,NUTS,2010,BE,0,0.9568
1996,NUTS,2010,BE,0,1.0159
1997,NUTS,2010,BE,0,1.0446
1998,NUTS,2010,BE,0,1.0832
1999,NUTS,2010,BE,0,1.1358
2000,NUTS,2010,BE,0,1.2201
2001,NUTS,2010,BE,0,1.2951
2002,NUTS,2010,BE,0,1.189
2003,NUTS,2010,BE,0,1.1852
2004,NUTS,2010,BE,0,1.163
2005,NUTS,2010,BE,0,1.1662
2006,NUTS,2010,BE,0,1.207
2007,NUTS,2010,BE,0,1.233
2008,NUTS,2010,BE,0,1.2318
2009,NUTS,2010,BE,0,1.2522
2010,NUTS,2010,BE,0,1.2361
2011,NUTS,2010,BE,0,1.3049
2012,NUTS,2010,BE,0,1.381
2013,NUTS,2010,BE,0,1.3837
2014,NUTS,2010,BE,0,1.4775
2015,NUTS,2010,BE,0,1.5727
2016,NUTS,2010,BE,0,1.5944
2017,NUTS,2010,BE,0,1.6725
2018,NUTS,2010,BE,0,1.7705
2019,NUTS,2010,BE,0,1.8527
2020,NUTS,2010,BE,0,2.0548
2002,NUTS,2010,BE1,1,1.8225
2003,NUTS,2010,BE1,1,1.7853
2004,NUTS,2010,BE1,1,1.7975
2005,NUTS,2010,BE1,1,1.742
2006,NUTS,2010,BE1,1,1.9395
2007,NUTS,2010,BE1,1,1.9685
2008,NUTS,2010,BE1,1,1.9006
2009,NUTS,2010,BE1,1,1.9251
2010,NUTS,2010,BE1,1,1.7164
2011,NUTS,2010,BE1,1,1.7581
2013,NUTS,2010,BE1,1,2.0343
2014,NUTS,2010,BE1,1,2.1027
2015,NUTS,2010,BE1,1,2.3059
2016,NUTS,2010,BE1,1,2.393
2017,NUTS,2010,BE1,1,2.4888
2018,NUTS,2010,BE1,1,2.9895
2019,NUTS,2010,BE1,1,3.0861
2002,NUTS,2010,BE10,2,1.8225
2003,NUTS,2010,BE10,2,1.7853
2004,NUTS,2010,BE10,2,1.7975
2005,NUTS,2010,BE10,2,1.742
2006,NUTS,2010,BE10,2,1.9395
2007,NUTS,2010,BE10,2,1.9685
2008,NUTS,2010,BE10,2,1.9006
2009,NUTS,2010,BE10,2,1.9251
2010,NUTS,2010,BE10,2,1.7164
2011,NUTS,2010,BE10,2,1.7581
2013,NUTS,2010,BE10,2,2.0343
2014,NUTS,2010,BE10,2,2.1027
2015,NUTS,2010,BE10,2,2.3059
2016,NUTS,2010,BE10,2,2.393
2017,NUTS,2010,BE10,2,2.4888
2018,NUTS,2010,BE10,2,2.9895
2019,NUTS,2010,BE10,2,3.0861
2002,NUTS,2010,BE2,1,1.2142
2003,NUTS,2010,BE2,1,1.2055
2004,NUTS,2010,BE2,1,1.2149
2005,NUTS,2010,BE2,1,1.2094
2006,NUTS,2010,BE2,1,1.2412
2007,NUTS,2010,BE2,1,1.259
2008,NUTS,2010,BE2,1,1.2651
2009,NUTS,2010,BE2,1,1.2847
2010,NUTS,2010,BE2,1,1.2932
2011,NUTS,2010,BE2,1,1.3603
2013,NUTS,2010,BE2,1,1.4291
2014,NUTS,2010,BE2,1,1.5163
2015,NUTS,2010,BE2,1,1.5671
2016,NUTS,2010,BE2,1,1.6322
2017,NUTS,2010,BE2,1,1.7172
2018,NUTS,2010,BE2,1,1.7983
2019,NUTS,2010,BE2,1,1.9326
2006,NUTS,2010,BE21,2,1.4
2007,NUTS,2010,BE21,2,1.3726
2008,NUTS,2010,BE21,2,1.266
2009,NUTS,2010,BE21,2,1.3017
2010,NUTS,2010,BE21,2,1.3359
2011,NUTS,2010,BE21,2,1.4187
2013,NUTS,2010,BE21,2,1.361
2014,NUTS,2010,BE21,2,1.494
2015,NUTS,2010,BE21,2,1.5478
2006,NUTS,2010,BE22,2,0.5526
2007,NUTS,2010,BE22,2,0.5722
2008,NUTS,2010,BE22,2,0.525
2009,NUTS,2010,BE22,2,0.5561
2010,NUTS,2010,BE22,2,0.5718
2011,NUTS,2010,BE22,2,0.6027
2013,NUTS,2010,BE22,2,0.6994
2014,NUTS,2010,BE22,2,0.8006
2015,NUTS,2010,BE22,2,0.8279
2006,NUTS,2010,BE23,2,1.2742
