year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_total_f_pc_emp_fte
2011,NUTS,2010,AT,0,0.8105
2013,NUTS,2010,AT,0,0.8378
2015,NUTS,2010,AT,0,0.8888
2017,NUTS,2010,AT,0,0.9294
2019,NUTS,2010,AT,0,1.0032
2011,NUTS,2010,BE,0,1.0487
2011,NUTS,2010,BG,0,0.6634
2012,NUTS,2010,BG,0,0.6544
2013,NUTS,2010,BG,0,0.6823
2014,NUTS,2010,BG,0,0.7187
2015,NUTS,2010,BG,0,0.7847
2016,NUTS,2010,BG,0,0.8725
2017,NUTS,2010,BG,0,0.7888
2018,NUTS,2010,BG,0,0.8419
2019,NUTS,2010,BG,0,0.8467
2011,NUTS,2010,CY,0,0.2852
2012,NUTS,2010,CY,0,0.2825
2013,NUTS,2010,CY,0,0.2972
2014,NUTS,2010,CY,0,0.3043
2015,NUTS,2010,CY,0,0.2961
2016,NUTS,2010,CY,0,0.3199
2017,NUTS,2010,CY,0,0.3498
2018,NUTS,2010,CY,0,0.376
2019,NUTS,2010,CY,0,0.4309
2011,NUTS,2010,CZ,0,0.8126
2012,NUTS,2010,CZ,0,0.8722
2013,NUTS,2010,CZ,0,0.8799
2014,NUTS,2010,CZ,0,0.8925
2015,NUTS,2010,CZ,0,0.8993
2016,NUTS,2010,CZ,0,0.8443
2017,NUTS,2010,CZ,0,0.8703
2018,NUTS,2010,CZ,0,0.9379
2019,NUTS,2010,CZ,0,0.9973
2020,NUTS,2010,CZ,0,1.0316
2011,NUTS,2010,DE,0,0.901
2013,NUTS,2010,DE,0,0.9142
2015,NUTS,2010,DE,0,0.9625
2017,NUTS,2010,DE,0,0.9952
2019,NUTS,2010,DE,0,1.0445
2011,NUTS,2010,DK,0,1.6354
2012,NUTS,2010,DK,0,1.6971
2013,NUTS,2010,DK,0,1.7534
2015,NUTS,2010,DK,0,1.7263
2017,NUTS,2010,DK,0,1.8569
2019,NUTS,2010,DK,0,1.8325
2011,NUTS,2010,EE,0,0.8731
2012,NUTS,2010,EE,0,0.8869
2013,NUTS,2010,EE,0,0.8768
2014,NUTS,2010,EE,0,0.9187
2015,NUTS,2010,EE,0,0.8827
2016,NUTS,2010,EE,0,0.8512
2017,NUTS,2010,EE,0,0.874
2018,NUTS,2010,EE,0,0.9062
2019,NUTS,2010,EE,0,0.8987
2011,NUTS,2010,EL,0,0.9527
2013,NUTS,2010,EL,0,1.2052
2015,NUTS,2010,EL,0,1.3252
2019,NUTS,2010,EL,0,1.3917
